date,How to delete twitter account ,how to delete a twitter account
2011-01-01,14,2
2011-02-01,10,4
2011-03-01,16,6
2011-04-01,14,4
2011-05-01,18,5
2011-06-01,21,6
2011-07-01,29,9
2011-08-01,24,8
2011-09-01,25,7
2011-10-01,27,10
2011-11-01,31,12
2011-12-01,33,12
2012-01-01,34,14
2012-02-01,33,12
2012-03-01,32,13
2012-04-01,41,12
2012-05-01,41,13
2012-06-01,46,17
2012-07-01,50,20
2012-08-01,57,22
2012-09-01,50,19
2012-10-01,45,18
2012-11-01,45,18
2012-12-01,52,20
2013-01-01,68,22
2013-02-01,65,23
2013-03-01,54,18
2013-04-01,46,14
2013-05-01,61,18
2013-06-01,70,20
2013-07-01,60,17
2013-08-01,56,19
2013-09-01,68,19
2013-10-01,62,18
2013-11-01,47,17
2013-12-01,54,20
2014-01-01,74,23
2014-02-01,91,23
2014-03-01,70,23
2014-04-01,58,19
2014-05-01,57,19
2014-06-01,82,21
2014-07-01,97,25
2014-08-01,80,25
2014-09-01,78,20
2014-10-01,74,23
2014-11-01,73,23
2014-12-01,81,23
2015-01-01,90,27
2015-02-01,79,24
2015-03-01,79,21
2015-04-01,84,19
2015-05-01,75,22
2015-06-01,94,31
2015-07-01,92,23
2015-08-01,85,22
2015-09-01,83,21
2015-10-01,79,24
2015-11-01,75,22
2015-12-01,77,21
2016-01-01,85,22
2016-02-01,75,16
2016-03-01,77,20
2016-04-01,70,21
2016-05-01,67,21
2016-06-01,85,20
2016-07-01,100,23
2016-08-01,95,21
2016-09-01,75,19
2016-10-01,73,19
2016-11-01,80,19
2016-12-01,94,18
2017-01-01,95,25
