date,deleting twitter account,how to delete a twitter account
2011-01-01,5,9
2011-02-01,4,12
2011-03-01,2,19
2011-04-01,4,14
2011-05-01,5,15
2011-06-01,5,20
2011-07-01,7,28
2011-08-01,5,25
2011-09-01,6,22
2011-10-01,5,28
2011-11-01,7,39
2011-12-01,8,37
2012-01-01,8,44
2012-02-01,8,38
2012-03-01,10,41
2012-04-01,11,42
2012-05-01,13,42
2012-06-01,12,55
2012-07-01,11,59
2012-08-01,13,69
2012-09-01,13,63
2012-10-01,9,58
2012-11-01,12,55
2012-12-01,10,62
2013-01-01,13,70
2013-02-01,12,71
2013-03-01,8,57
2013-04-01,14,49
2013-05-01,12,56
2013-06-01,10,61
2013-07-01,12,58
2013-08-01,14,62
2013-09-01,11,59
2013-10-01,13,58
2013-11-01,13,51
2013-12-01,10,61
2014-01-01,15,71
2014-02-01,14,74
2014-03-01,10,71
2014-04-01,12,62
2014-05-01,10,62
2014-06-01,10,68
2014-07-01,11,84
2014-08-01,12,74
2014-09-01,14,61
2014-10-01,11,69
2014-11-01,11,71
2014-12-01,11,72
2015-01-01,16,91
2015-02-01,13,77
2015-03-01,11,65
2015-04-01,10,62
2015-05-01,14,72
2015-06-01,13,100
2015-07-01,14,76
2015-08-01,14,64
2015-09-01,12,68
2015-10-01,11,75
2015-11-01,12,69
2015-12-01,11,67
2016-01-01,11,70
2016-02-01,11,50
2016-03-01,12,64
2016-04-01,11,65
2016-05-01,14,66
2016-06-01,11,67
2016-07-01,10,71
2016-08-01,12,68
2016-09-01,12,60
2016-10-01,8,61
2016-11-01,10,59
2016-12-01,10,59
2017-01-01,15,73
