date,Twitter account - deleting,how to delete a twitter account
2011-01-01,41,0
2011-02-01,42,1
2011-03-01,57,1
2011-04-01,49,1
2011-05-01,58,1
2011-06-01,65,1
2011-07-01,67,1
2011-08-01,65,1
2011-09-01,59,1
2011-10-01,62,1
2011-11-01,70,1
2011-12-01,67,1
2012-01-01,71,2
2012-02-01,71,1
2012-03-01,75,2
2012-04-01,83,2
2012-05-01,83,2
2012-06-01,86,2
2012-07-01,92,2
2012-08-01,99,3
2012-09-01,88,2
2012-10-01,84,2
2012-11-01,85,3
2012-12-01,92,2
2013-01-01,96,3
2013-02-01,97,3
2013-03-01,88,3
2013-04-01,100,2
2013-05-01,94,3
2013-06-01,94,3
2013-07-01,99,3
2013-08-01,97,2
2013-09-01,94,2
2013-10-01,89,2
2013-11-01,83,2
2013-12-01,82,3
2014-01-01,97,3
2014-02-01,96,3
2014-03-01,93,3
2014-04-01,90,2
2014-05-01,90,3
2014-06-01,89,3
2014-07-01,95,3
2014-08-01,96,3
2014-09-01,90,3
2014-10-01,83,3
2014-11-01,79,3
2014-12-01,89,3
2015-01-01,97,4
2015-02-01,90,3
2015-03-01,82,3
2015-04-01,81,3
2015-05-01,84,3
2015-06-01,86,4
2015-07-01,89,3
2015-08-01,85,3
2015-09-01,84,3
2015-10-01,81,3
2015-11-01,83,3
2015-12-01,78,3
2016-01-01,82,3
2016-02-01,76,2
2016-03-01,77,3
2016-04-01,77,3
2016-05-01,75,3
2016-06-01,83,3
2016-07-01,90,3
2016-08-01,83,3
2016-09-01,79,3
2016-10-01,74,3
2016-11-01,81,3
2016-12-01,79,3
2017-01-01,96,3
