date,how delete twitter account,how to delete a twitter account
2011-01-01,16,2
2011-02-01,15,3
2011-03-01,17,5
2011-04-01,18,4
2011-05-01,21,4
2011-06-01,21,6
2011-07-01,29,8
2011-08-01,27,7
2011-09-01,25,6
2011-10-01,28,8
2011-11-01,35,11
2011-12-01,36,10
2012-01-01,42,12
2012-02-01,36,11
2012-03-01,37,12
2012-04-01,44,12
2012-05-01,44,12
2012-06-01,52,15
2012-07-01,55,16
2012-08-01,62,19
2012-09-01,56,18
2012-10-01,49,16
2012-11-01,52,15
2012-12-01,59,17
2013-01-01,76,20
2013-02-01,74,20
2013-03-01,58,16
2013-04-01,54,14
2013-05-01,69,16
2013-06-01,77,17
2013-07-01,64,16
2013-08-01,64,17
2013-09-01,77,16
2013-10-01,68,16
2013-11-01,51,14
2013-12-01,59,17
2014-01-01,79,20
2014-02-01,99,21
2014-03-01,80,20
2014-04-01,62,17
2014-05-01,61,17
2014-06-01,87,19
2014-07-01,98,23
2014-08-01,92,21
2014-09-01,82,17
2014-10-01,74,19
2014-11-01,79,20
2014-12-01,87,20
2015-01-01,95,25
2015-02-01,84,21
2015-03-01,81,18
2015-04-01,82,17
2015-05-01,84,20
2015-06-01,100,28
2015-07-01,97,21
2015-08-01,89,18
2015-09-01,86,19
2015-10-01,85,21
2015-11-01,79,19
2015-12-01,78,19
2016-01-01,86,20
2016-02-01,77,14
2016-03-01,79,18
2016-04-01,74,18
2016-05-01,69,18
2016-06-01,88,19
2016-07-01,100,20
2016-08-01,97,19
2016-09-01,76,17
2016-10-01,74,17
2016-11-01,82,16
2016-12-01,95,16
2017-01-01,94,20
