date,twitter account delete,how to delete a twitter account
2011-01-01,16,2
2011-02-01,15,3
2011-03-01,19,3
2011-04-01,19,3
2011-05-01,23,4
2011-06-01,26,5
2011-07-01,32,6
2011-08-01,27,6
2011-09-01,28,5
2011-10-01,30,7
2011-11-01,36,7
2011-12-01,40,7
2012-01-01,44,9
2012-02-01,41,7
2012-03-01,37,7
2012-04-01,45,8
2012-05-01,47,8
2012-06-01,53,10
2012-07-01,59,12
2012-08-01,66,14
2012-09-01,58,12
2012-10-01,52,11
2012-11-01,57,12
2012-12-01,64,12
2013-01-01,76,14
2013-02-01,76,15
2013-03-01,61,12
2013-04-01,55,10
2013-05-01,68,12
2013-06-01,78,12
2013-07-01,70,13
2013-08-01,71,12
2013-09-01,77,10
2013-10-01,70,11
2013-11-01,60,9
2013-12-01,61,12
2014-01-01,80,15
2014-02-01,93,14
2014-03-01,79,13
2014-04-01,66,12
2014-05-01,66,12
2014-06-01,85,14
2014-07-01,93,15
2014-08-01,93,14
2014-09-01,82,13
2014-10-01,76,15
2014-11-01,78,14
2014-12-01,87,15
2015-01-01,99,18
2015-02-01,87,16
2015-03-01,83,13
2015-04-01,85,13
2015-05-01,81,14
2015-06-01,89,20
2015-07-01,98,15
2015-08-01,89,13
2015-09-01,82,13
2015-10-01,79,16
2015-11-01,80,15
2015-12-01,80,15
2016-01-01,85,14
2016-02-01,80,11
2016-03-01,79,13
2016-04-01,74,13
2016-05-01,72,13
2016-06-01,91,12
2016-07-01,100,14
2016-08-01,90,14
2016-09-01,77,13
2016-10-01,75,12
2016-11-01,82,12
2016-12-01,90,12
2017-01-01,97,16
