date,how to remove twitter,how to delete a twitter account
2011-01-01,41,10
2011-02-01,45,12
2011-03-01,58,18
2011-04-01,56,13
2011-05-01,65,17
2011-06-01,55,23
2011-07-01,71,30
2011-08-01,75,28
2011-09-01,62,24
2011-10-01,63,30
2011-11-01,76,34
2011-12-01,82,35
2012-01-01,85,38
2012-02-01,93,33
2012-03-01,75,38
2012-04-01,94,46
2012-05-01,85,42
2012-06-01,92,52
2012-07-01,97,57
2012-08-01,99,73
2012-09-01,100,65
2012-10-01,89,58
2012-11-01,91,57
2012-12-01,98,56
2013-01-01,91,73
2013-02-01,92,74
2013-03-01,89,59
2013-04-01,89,49
2013-05-01,84,59
2013-06-01,88,59
2013-07-01,100,62
2013-08-01,97,60
2013-09-01,80,54
2013-10-01,78,56
2013-11-01,72,51
2013-12-01,84,60
2014-01-01,88,77
2014-02-01,78,73
2014-03-01,87,65
2014-04-01,82,58
2014-05-01,87,62
2014-06-01,75,67
2014-07-01,82,79
2014-08-01,89,70
2014-09-01,87,66
2014-10-01,82,73
2014-11-01,81,70
2014-12-01,73,75
2015-01-01,88,88
2015-02-01,75,74
2015-03-01,82,66
2015-04-01,91,65
2015-05-01,78,73
2015-06-01,85,99
2015-07-01,85,79
2015-08-01,84,63
2015-09-01,85,65
2015-10-01,75,79
2015-11-01,78,71
2015-12-01,82,74
2016-01-01,87,69
2016-02-01,83,53
2016-03-01,75,64
2016-04-01,83,67
2016-05-01,82,63
2016-06-01,87,65
2016-07-01,91,68
2016-08-01,78,68
2016-09-01,81,62
2016-10-01,73,58
2016-11-01,76,61
2016-12-01,75,61
2017-01-01,86,75
