date,Delete my twitter account,how to delete a twitter account
2011-01-01,11,10
2011-02-01,12,12
2011-03-01,14,18
2011-04-01,12,13
2011-05-01,17,18
2011-06-01,22,23
2011-07-01,21,30
2011-08-01,23,28
2011-09-01,18,24
2011-10-01,18,30
2011-11-01,26,35
2011-12-01,25,35
2012-01-01,31,38
2012-02-01,29,34
2012-03-01,31,38
2012-04-01,37,46
2012-05-01,35,42
2012-06-01,39,53
2012-07-01,46,57
2012-08-01,44,73
2012-09-01,38,65
2012-10-01,37,59
2012-11-01,36,58
2012-12-01,53,56
2013-01-01,53,74
2013-02-01,47,75
2013-03-01,47,59
2013-04-01,45,50
2013-05-01,52,59
2013-06-01,45,60
2013-07-01,49,62
2013-08-01,62,60
2013-09-01,55,55
2013-10-01,44,56
2013-11-01,42,51
2013-12-01,44,61
2014-01-01,58,77
2014-02-01,67,74
2014-03-01,73,65
2014-04-01,41,59
2014-05-01,51,62
2014-06-01,60,68
2014-07-01,63,79
2014-08-01,62,71
2014-09-01,56,66
2014-10-01,48,74
2014-11-01,61,70
2014-12-01,57,75
2015-01-01,65,88
2015-02-01,54,75
2015-03-01,45,67
2015-04-01,56,65
2015-05-01,70,73
2015-06-01,65,100
2015-07-01,58,79
2015-08-01,59,63
2015-09-01,59,66
2015-10-01,62,79
2015-11-01,52,72
2015-12-01,47,75
2016-01-01,62,70
2016-02-01,56,54
2016-03-01,51,64
2016-04-01,48,67
2016-05-01,50,64
2016-06-01,61,65
2016-07-01,69,69
2016-08-01,57,68
2016-09-01,48,62
2016-10-01,51,59
2016-11-01,59,62
2016-12-01,61,62
2017-01-01,64,76
