date,how to delete twitter,how to delete a twitter account
2011-01-01,19,2
2011-02-01,19,2
2011-03-01,22,3
2011-04-01,23,2
2011-05-01,27,3
2011-06-01,31,4
2011-07-01,37,5
2011-08-01,36,5
2011-09-01,32,4
2011-10-01,39,5
2011-11-01,43,6
2011-12-01,48,6
2012-01-01,53,6
2012-02-01,50,6
2012-03-01,50,6
2012-04-01,60,8
2012-05-01,58,7
2012-06-01,70,9
2012-07-01,81,10
2012-08-01,79,12
2012-09-01,69,11
2012-10-01,68,10
2012-11-01,73,10
2012-12-01,83,9
2013-01-01,86,12
2013-02-01,76,13
2013-03-01,80,10
2013-04-01,75,8
2013-05-01,68,10
2013-06-01,74,10
2013-07-01,85,10
2013-08-01,83,10
2013-09-01,73,9
2013-10-01,66,9
2013-11-01,67,9
2013-12-01,76,10
2014-01-01,83,13
2014-02-01,80,12
2014-03-01,82,11
2014-04-01,77,10
2014-05-01,72,10
2014-06-01,76,11
2014-07-01,83,13
2014-08-01,85,12
2014-09-01,74,11
2014-10-01,74,12
2014-11-01,78,12
2014-12-01,82,13
2015-01-01,88,15
2015-02-01,83,13
2015-03-01,82,11
2015-04-01,86,11
2015-05-01,84,12
2015-06-01,88,17
2015-07-01,100,13
2015-08-01,97,11
2015-09-01,85,11
2015-10-01,75,13
2015-11-01,77,12
2015-12-01,83,13
2016-01-01,87,12
2016-02-01,78,9
2016-03-01,77,11
2016-04-01,74,11
2016-05-01,78,11
2016-06-01,89,11
2016-07-01,94,12
2016-08-01,85,11
2016-09-01,78,10
2016-10-01,76,10
2016-11-01,79,10
2016-12-01,78,10
2017-01-01,91,13
