date,Twitter account,how to delete a twitter account
2011-01-01,41,0
2011-02-01,42,1
2011-03-01,56,1
2011-04-01,49,1
2011-05-01,58,1
2011-06-01,61,1
2011-07-01,67,1
2011-08-01,65,1
2011-09-01,56,1
2011-10-01,60,1
2011-11-01,69,2
2011-12-01,67,2
2012-01-01,69,2
2012-02-01,70,2
2012-03-01,74,2
2012-04-01,83,2
2012-05-01,79,2
2012-06-01,85,2
2012-07-01,90,3
2012-08-01,96,3
2012-09-01,87,2
2012-10-01,81,2
2012-11-01,82,2
2012-12-01,90,3
2013-01-01,96,3
2013-02-01,95,3
2013-03-01,85,2
2013-04-01,100,2
2013-05-01,92,2
2013-06-01,94,3
2013-07-01,97,2
2013-08-01,96,3
2013-09-01,90,2
2013-10-01,87,2
2013-11-01,83,2
2013-12-01,83,3
2014-01-01,96,3
2014-02-01,96,3
2014-03-01,91,3
2014-04-01,88,3
2014-05-01,88,3
2014-06-01,87,3
2014-07-01,93,3
2014-08-01,94,3
2014-09-01,90,3
2014-10-01,81,3
2014-11-01,79,3
2014-12-01,85,3
2015-01-01,95,4
2015-02-01,89,3
2015-03-01,81,3
2015-04-01,81,3
2015-05-01,83,3
2015-06-01,85,4
2015-07-01,88,3
2015-08-01,85,3
2015-09-01,82,3
2015-10-01,79,3
2015-11-01,81,3
2015-12-01,75,3
2016-01-01,81,3
2016-02-01,74,2
2016-03-01,75,3
2016-04-01,75,3
2016-05-01,73,3
2016-06-01,82,3
2016-07-01,88,3
2016-08-01,82,3
2016-09-01,79,2
2016-10-01,73,3
2016-11-01,79,2
2016-12-01,78,2
2017-01-01,95,3
