date,Deactivate twitter,how to delete a twitter account
2011-01-01,6,3
2011-02-01,6,4
2011-03-01,10,7
2011-04-01,12,5
2011-05-01,13,5
2011-06-01,12,7
2011-07-01,16,10
2011-08-01,21,9
2011-09-01,18,8
2011-10-01,21,10
2011-11-01,25,14
2011-12-01,26,13
2012-01-01,33,16
2012-02-01,36,14
2012-03-01,34,15
2012-04-01,43,15
2012-05-01,44,15
2012-06-01,53,20
2012-07-01,58,21
2012-08-01,63,25
2012-09-01,58,23
2012-10-01,57,21
2012-11-01,66,20
2012-12-01,76,22
2013-01-01,91,25
2013-02-01,88,26
2013-03-01,73,20
2013-04-01,74,18
2013-05-01,72,20
2013-06-01,81,22
2013-07-01,82,21
2013-08-01,83,22
2013-09-01,73,21
2013-10-01,71,21
2013-11-01,73,18
2013-12-01,79,22
2014-01-01,85,26
2014-02-01,84,27
2014-03-01,83,25
2014-04-01,83,22
2014-05-01,81,22
2014-06-01,84,24
2014-07-01,87,30
2014-08-01,96,27
2014-09-01,75,22
2014-10-01,75,25
2014-11-01,78,26
2014-12-01,89,26
2015-01-01,94,33
2015-02-01,86,28
2015-03-01,83,24
2015-04-01,84,22
2015-05-01,86,26
2015-06-01,94,36
2015-07-01,97,27
2015-08-01,94,23
2015-09-01,85,24
2015-10-01,84,27
2015-11-01,86,25
2015-12-01,89,24
2016-01-01,89,25
2016-02-01,79,18
2016-03-01,82,23
2016-04-01,86,24
2016-05-01,91,24
2016-06-01,99,24
2016-07-01,100,25
2016-08-01,93,25
2016-09-01,85,22
2016-10-01,83,22
2016-11-01,86,21
2016-12-01,86,21
2017-01-01,94,26
