date,how to see who favorited a tweet,private twitter account
2011-01-01,0,6
2011-02-01,0,6
2011-03-01,0,12
2011-04-01,0,17
2011-05-01,0,19
2011-06-01,0,26
2011-07-01,0,18
2011-08-01,0,23
2011-09-01,0,23
2011-10-01,0,42
2011-11-01,0,53
2011-12-01,0,38
2012-01-01,1,27
2012-02-01,0,25
2012-03-01,0,31
2012-04-01,0,36
2012-05-01,0,39
2012-06-01,0,41
2012-07-01,0,46
2012-08-01,0,42
2012-09-01,0,39
2012-10-01,0,41
2012-11-01,0,43
2012-12-01,0,53
2013-01-01,1,59
2013-02-01,1,70
2013-03-01,1,58
2013-04-01,1,53
2013-05-01,1,66
2013-06-01,1,80
2013-07-01,1,100
2013-08-01,1,75
2013-09-01,1,86
2013-10-01,1,68
2013-11-01,1,76
2013-12-01,1,81
2014-01-01,1,84
2014-02-01,1,72
2014-03-01,1,93
2014-04-01,1,93
2014-05-01,1,68
2014-06-01,1,58
2014-07-01,1,81
2014-08-01,1,73
2014-09-01,1,71
2014-10-01,1,61
2014-11-01,2,64
2014-12-01,1,73
2015-01-01,2,65
2015-02-01,1,51
2015-03-01,2,54
2015-04-01,1,52
2015-05-01,1,55
2015-06-01,1,51
2015-07-01,2,54
2015-08-01,1,63
2015-09-01,1,55
2015-10-01,1,50
2015-11-01,1,56
2015-12-01,1,49
2016-01-01,1,55
2016-02-01,1,60
2016-03-01,0,58
2016-04-01,1,54
2016-05-01,1,47
2016-06-01,1,44
2016-07-01,1,52
2016-08-01,0,52
2016-09-01,0,45
2016-10-01,1,45
2016-11-01,0,46
2016-12-01,0,45
2017-01-01,0,48
