date,How to change privacy settings on twitter,private twitter account
2011-01-01,1,10
2011-02-01,0,3
2011-03-01,1,13
2011-04-01,1,19
2011-05-01,1,15
2011-06-01,1,31
2011-07-01,1,20
2011-08-01,2,20
2011-09-01,0,24
2011-10-01,2,57
2011-11-01,3,53
2011-12-01,2,38
2012-01-01,3,30
2012-02-01,2,29
2012-03-01,0,28
2012-04-01,3,32
2012-05-01,2,41
2012-06-01,1,36
2012-07-01,3,45
2012-08-01,4,45
2012-09-01,10,45
2012-10-01,10,52
2012-11-01,8,51
2012-12-01,8,58
2013-01-01,5,63
2013-02-01,6,74
2013-03-01,6,62
2013-04-01,5,60
2013-05-01,4,73
2013-06-01,5,80
2013-07-01,6,99
2013-08-01,6,78
2013-09-01,5,84
2013-10-01,4,70
2013-11-01,3,78
2013-12-01,4,76
2014-01-01,4,88
2014-02-01,5,69
2014-03-01,3,100
2014-04-01,3,95
2014-05-01,2,73
2014-06-01,1,74
2014-07-01,3,76
2014-08-01,4,83
2014-09-01,1,79
2014-10-01,3,64
2014-11-01,3,74
2014-12-01,4,73
2015-01-01,2,65
2015-02-01,3,52
2015-03-01,2,55
2015-04-01,1,55
2015-05-01,1,49
2015-06-01,1,55
2015-07-01,1,65
2015-08-01,1,58
2015-09-01,1,56
2015-10-01,0,52
2015-11-01,1,61
2015-12-01,1,57
2016-01-01,1,60
2016-02-01,1,60
2016-03-01,1,69
2016-04-01,1,55
2016-05-01,0,55
2016-06-01,0,45
2016-07-01,1,50
2016-08-01,1,50
2016-09-01,0,45
2016-10-01,0,41
2016-11-01,0,47
2016-12-01,0,47
2017-01-01,1,48
