date,privacy settings on twitter,private twitter account
2011-01-01,1,7
2011-02-01,3,7
2011-03-01,1,16
2011-04-01,2,18
2011-05-01,3,21
2011-06-01,6,22
2011-07-01,6,22
2011-08-01,6,20
2011-09-01,3,20
2011-10-01,7,42
2011-11-01,8,53
2011-12-01,5,38
2012-01-01,5,29
2012-02-01,5,27
2012-03-01,7,28
2012-04-01,6,36
2012-05-01,4,41
2012-06-01,9,35
2012-07-01,10,44
2012-08-01,8,43
2012-09-01,28,38
2012-10-01,30,50
2012-11-01,22,42
2012-12-01,23,54
2013-01-01,21,60
2013-02-01,16,70
2013-03-01,17,64
2013-04-01,16,55
2013-05-01,17,62
2013-06-01,14,77
2013-07-01,15,94
2013-08-01,14,73
2013-09-01,14,75
2013-10-01,8,64
2013-11-01,8,74
2013-12-01,13,78
2014-01-01,11,78
2014-02-01,11,76
2014-03-01,13,95
2014-04-01,12,100
2014-05-01,10,72
2014-06-01,6,64
2014-07-01,12,73
2014-08-01,12,85
2014-09-01,8,75
2014-10-01,7,72
2014-11-01,11,68
2014-12-01,8,65
2015-01-01,10,62
2015-02-01,6,55
2015-03-01,5,49
2015-04-01,4,53
2015-05-01,4,52
2015-06-01,4,52
2015-07-01,4,50
2015-08-01,4,63
2015-09-01,3,55
2015-10-01,4,47
2015-11-01,4,57
2015-12-01,4,55
2016-01-01,3,57
2016-02-01,3,58
2016-03-01,4,61
2016-04-01,3,56
2016-05-01,2,44
2016-06-01,2,44
2016-07-01,2,46
2016-08-01,1,49
2016-09-01,1,39
2016-10-01,2,36
2016-11-01,3,38
2016-12-01,2,46
2017-01-01,1,52
