date,protected account twitter,private twitter account
2011-01-01,4,9
2011-02-01,4,7
2011-03-01,4,13
2011-04-01,3,16
2011-05-01,3,19
2011-06-01,6,23
2011-07-01,5,21
2011-08-01,5,25
2011-09-01,3,23
2011-10-01,5,42
2011-11-01,3,57
2011-12-01,6,37
2012-01-01,7,25
2012-02-01,10,24
2012-03-01,11,29
2012-04-01,11,35
2012-05-01,11,40
2012-06-01,13,41
2012-07-01,17,44
2012-08-01,14,45
2012-09-01,13,37
2012-10-01,15,45
2012-11-01,13,43
2012-12-01,12,54
2013-01-01,17,60
2013-02-01,15,69
2013-03-01,21,61
2013-04-01,16,54
2013-05-01,17,64
2013-06-01,18,75
2013-07-01,19,100
2013-08-01,20,73
2013-09-01,18,79
2013-10-01,14,66
2013-11-01,13,75
2013-12-01,13,78
2014-01-01,11,83
2014-02-01,11,72
2014-03-01,7,95
2014-04-01,13,94
2014-05-01,9,69
2014-06-01,10,66
2014-07-01,11,81
2014-08-01,9,80
2014-09-01,8,71
2014-10-01,4,65
2014-11-01,6,65
2014-12-01,6,74
2015-01-01,8,66
2015-02-01,6,51
2015-03-01,10,53
2015-04-01,8,52
2015-05-01,6,52
2015-06-01,9,49
2015-07-01,8,56
2015-08-01,6,61
2015-09-01,6,57
2015-10-01,5,51
2015-11-01,5,58
2015-12-01,7,51
2016-01-01,7,57
2016-02-01,4,57
2016-03-01,15,59
2016-04-01,15,54
2016-05-01,15,46
2016-06-01,19,44
2016-07-01,19,51
2016-08-01,15,50
2016-09-01,13,43
2016-10-01,12,39
2016-11-01,10,42
2016-12-01,11,43
2017-01-01,10,48
