date,twitter privacy settings,private twitter account
2011-01-01,5,9
2011-02-01,4,7
2011-03-01,4,13
2011-04-01,9,16
2011-05-01,16,19
2011-06-01,16,23
2011-07-01,17,21
2011-08-01,20,25
2011-09-01,13,23
2011-10-01,17,42
2011-11-01,20,57
2011-12-01,17,37
2012-01-01,19,25
2012-02-01,23,24
2012-03-01,23,29
2012-04-01,19,35
2012-05-01,19,40
2012-06-01,22,41
2012-07-01,20,44
2012-08-01,22,45
2012-09-01,43,37
2012-10-01,46,45
2012-11-01,36,43
2012-12-01,42,54
2013-01-01,41,60
2013-02-01,37,69
2013-03-01,31,61
2013-04-01,37,54
2013-05-01,34,64
2013-06-01,37,75
2013-07-01,35,100
2013-08-01,27,73
2013-09-01,27,79
2013-10-01,19,66
2013-11-01,23,75
2013-12-01,26,78
2014-01-01,27,83
2014-02-01,27,72
2014-03-01,24,95
2014-04-01,25,94
2014-05-01,19,69
2014-06-01,17,66
2014-07-01,26,81
2014-08-01,24,80
2014-09-01,17,71
2014-10-01,17,65
2014-11-01,27,65
2014-12-01,19,74
2015-01-01,19,66
2015-02-01,14,51
2015-03-01,13,53
2015-04-01,11,52
2015-05-01,9,52
2015-06-01,13,49
2015-07-01,10,56
2015-08-01,11,61
2015-09-01,9,57
2015-10-01,9,51
2015-11-01,9,58
2015-12-01,9,51
2016-01-01,8,57
2016-02-01,9,57
2016-03-01,7,59
2016-04-01,7,54
2016-05-01,5,46
2016-06-01,4,44
2016-07-01,6,51
2016-08-01,4,50
2016-09-01,5,43
2016-10-01,5,39
2016-11-01,5,42
2016-12-01,3,43
2017-01-01,5,48
