date,Twitter privacy settings,private twitter account
2011-01-01,5,10
2011-02-01,8,8
2011-03-01,5,15
2011-04-01,12,17
2011-05-01,16,20
2011-06-01,13,25
2011-07-01,17,20
2011-08-01,15,21
2011-09-01,12,21
2011-10-01,14,49
2011-11-01,23,56
2011-12-01,20,37
2012-01-01,19,28
2012-02-01,24,25
2012-03-01,20,28
2012-04-01,16,26
2012-05-01,17,45
2012-06-01,22,32
2012-07-01,27,44
2012-08-01,28,41
2012-09-01,40,38
2012-10-01,53,54
2012-11-01,43,49
2012-12-01,45,54
2013-01-01,45,66
2013-02-01,35,77
2013-03-01,32,59
2013-04-01,34,53
2013-05-01,36,63
2013-06-01,32,78
2013-07-01,33,100
2013-08-01,27,74
2013-09-01,30,74
2013-10-01,20,65
2013-11-01,19,80
2013-12-01,23,79
2014-01-01,25,82
2014-02-01,24,80
2014-03-01,25,99
2014-04-01,25,99
2014-05-01,20,73
2014-06-01,19,69
2014-07-01,24,73
2014-08-01,20,77
2014-09-01,18,77
2014-10-01,21,63
2014-11-01,25,72
2014-12-01,21,64
2015-01-01,19,69
2015-02-01,14,53
2015-03-01,11,52
2015-04-01,12,50
2015-05-01,8,47
2015-06-01,13,50
2015-07-01,10,58
2015-08-01,14,59
2015-09-01,9,55
2015-10-01,10,51
2015-11-01,8,54
2015-12-01,11,55
2016-01-01,8,57
2016-02-01,8,54
2016-03-01,7,55
2016-04-01,8,56
2016-05-01,5,49
2016-06-01,5,46
2016-07-01,5,48
2016-08-01,5,49
2016-09-01,5,44
2016-10-01,5,38
2016-11-01,5,42
2016-12-01,3,47
2017-01-01,5,49
