date,can your internet provider see your history,most private browser
2011-01-01,19,19
2011-02-01,39,49
2011-03-01,19,35
2011-04-01,19,35
2011-05-01,18,35
2011-06-01,18,18
2011-07-01,54,24
2011-08-01,34,34
2011-09-01,33,33
2011-10-01,37,63
2011-11-01,32,16
2011-12-01,21,63
2012-01-01,19,53
2012-02-01,22,54
2012-03-01,63,51
2012-04-01,20,44
2012-05-01,100,27
2012-06-01,80,19
2012-07-01,56,37
2012-08-01,28,41
2012-09-01,46,21
2012-10-01,42,41
2012-11-01,63,13
2012-12-01,42,58
2013-01-01,42,38
2013-02-01,38,42
2013-03-01,26,37
2013-04-01,46,42
2013-05-01,26,37
2013-06-01,42,45
2013-07-01,22,71
2013-08-01,48,59
2013-09-01,36,25
2013-10-01,34,45
2013-11-01,42,49
2013-12-01,64,81
2014-01-01,39,49
2014-02-01,39,50
2014-03-01,35,45
2014-04-01,50,37
2014-05-01,40,71
2014-06-01,60,52
2014-07-01,69,58
2014-08-01,40,66
2014-09-01,38,84
2014-10-01,56,56
2014-11-01,34,54
2014-12-01,33,77
2015-01-01,34,62
2015-02-01,61,44
2015-03-01,40,37
2015-04-01,25,72
2015-05-01,56,58
2015-06-01,53,56
2015-07-01,43,68
2015-08-01,43,89
2015-09-01,45,72
2015-10-01,26,60
2015-11-01,44,73
2015-12-01,56,83
2016-01-01,39,53
2016-02-01,33,58
2016-03-01,52,57
2016-04-01,38,59
2016-05-01,55,84
2016-06-01,49,76
2016-07-01,49,74
2016-08-01,48,56
2016-09-01,40,69
2016-10-01,53,70
2016-11-01,51,58
2016-12-01,50,76
2017-01-01,55,86
