date,secure browser download,most private browser
2011-01-01,37,7
2011-02-01,40,19
2011-03-01,40,13
2011-04-01,24,13
2011-05-01,51,13
2011-06-01,34,7
2011-07-01,43,9
2011-08-01,21,13
2011-09-01,56,13
2011-10-01,24,24
2011-11-01,46,6
2011-12-01,39,24
2012-01-01,38,20
2012-02-01,51,21
2012-03-01,53,19
2012-04-01,29,17
2012-05-01,41,10
2012-06-01,36,7
2012-07-01,35,14
2012-08-01,47,16
2012-09-01,60,8
2012-10-01,45,16
2012-11-01,47,5
2012-12-01,38,22
2013-01-01,45,14
2013-02-01,38,16
2013-03-01,45,14
2013-04-01,59,16
2013-05-01,69,14
2013-06-01,49,17
2013-07-01,49,27
2013-08-01,67,22
2013-09-01,44,10
2013-10-01,65,17
2013-11-01,63,19
2013-12-01,53,31
2014-01-01,75,19
2014-02-01,69,19
2014-03-01,80,17
2014-04-01,92,14
2014-05-01,55,27
2014-06-01,44,20
2014-07-01,56,22
2014-08-01,70,25
2014-09-01,63,32
2014-10-01,61,21
2014-11-01,66,21
2014-12-01,63,29
2015-01-01,63,24
2015-02-01,56,17
2015-03-01,57,14
2015-04-01,80,27
2015-05-01,52,22
2015-06-01,47,21
2015-07-01,39,26
2015-08-01,57,34
2015-09-01,64,27
2015-10-01,63,23
2015-11-01,62,28
2015-12-01,62,31
2016-01-01,73,20
2016-02-01,51,22
2016-03-01,86,22
2016-04-01,100,22
2016-05-01,66,32
2016-06-01,70,29
2016-07-01,70,28
2016-08-01,68,21
2016-09-01,76,26
2016-10-01,87,26
2016-11-01,99,22
2016-12-01,80,29
2017-01-01,97,33
