date,does my internet provider know what websites i visit,most private browser
2011-01-01,0,21
2011-02-01,33,55
2011-03-01,20,40
2011-04-01,20,40
2011-05-01,20,40
2011-06-01,20,21
2011-07-01,20,27
2011-08-01,19,38
2011-09-01,18,37
2011-10-01,18,71
2011-11-01,18,18
2011-12-01,21,70
2012-01-01,24,59
2012-02-01,17,61
2012-03-01,16,58
2012-04-01,17,49
2012-05-01,15,31
2012-06-01,15,21
2012-07-01,16,42
2012-08-01,31,46
2012-09-01,15,23
2012-10-01,14,47
2012-11-01,14,14
2012-12-01,14,66
2013-01-01,13,43
2013-02-01,13,47
2013-03-01,13,42
2013-04-01,12,47
2013-05-01,12,41
2013-06-01,13,51
2013-07-01,13,80
2013-08-01,12,67
2013-09-01,12,29
2013-10-01,12,50
2013-11-01,18,55
2013-12-01,20,92
2014-01-01,22,55
2014-02-01,24,56
2014-03-01,11,51
2014-04-01,11,41
2014-05-01,23,80
2014-06-01,17,59
2014-07-01,12,66
2014-08-01,20,74
2014-09-01,12,94
2014-10-01,11,63
2014-11-01,11,61
2014-12-01,10,86
2015-01-01,10,70
2015-02-01,34,49
2015-03-01,10,42
2015-04-01,11,82
2015-05-01,10,66
2015-06-01,16,64
2015-07-01,10,77
2015-08-01,10,100
2015-09-01,10,81
2015-10-01,19,68
2015-11-01,10,82
2015-12-01,13,93
2016-01-01,19,60
2016-02-01,14,66
2016-03-01,18,64
2016-04-01,14,67
2016-05-01,24,94
2016-06-01,21,85
2016-07-01,18,83
2016-08-01,13,63
2016-09-01,9,77
2016-10-01,34,79
2016-11-01,11,65
2016-12-01,21,85
2017-01-01,12,97
