date,easy hide ip,most private browser
2011-01-01,80,0
2011-02-01,75,1
2011-03-01,71,1
2011-04-01,79,1
2011-05-01,78,1
2011-06-01,84,0
2011-07-01,84,1
2011-08-01,81,1
2011-09-01,75,1
2011-10-01,68,2
2011-11-01,68,0
2011-12-01,72,1
2012-01-01,68,1
2012-02-01,72,1
2012-03-01,73,1
2012-04-01,83,1
2012-05-01,69,1
2012-06-01,76,0
2012-07-01,75,1
2012-08-01,73,1
2012-09-01,74,0
2012-10-01,67,1
2012-11-01,60,0
2012-12-01,100,1
2013-01-01,71,1
2013-02-01,68,1
2013-03-01,59,1
2013-04-01,50,1
2013-05-01,49,1
2013-06-01,42,1
2013-07-01,46,2
2013-08-01,47,1
2013-09-01,44,1
2013-10-01,40,1
2013-11-01,40,1
2013-12-01,37,2
2014-01-01,37,1
2014-02-01,38,1
2014-03-01,36,1
2014-04-01,35,1
2014-05-01,29,2
2014-06-01,31,1
2014-07-01,30,1
2014-08-01,25,2
2014-09-01,31,2
2014-10-01,26,1
2014-11-01,25,1
2014-12-01,25,2
2015-01-01,23,1
2015-02-01,21,1
2015-03-01,21,1
2015-04-01,21,2
2015-05-01,18,1
2015-06-01,15,1
2015-07-01,16,2
2015-08-01,16,2
2015-09-01,17,2
2015-10-01,16,1
2015-11-01,14,2
2015-12-01,16,2
2016-01-01,15,1
2016-02-01,16,1
2016-03-01,14,1
2016-04-01,13,1
2016-05-01,13,2
2016-06-01,11,2
2016-07-01,11,2
2016-08-01,14,1
2016-09-01,12,2
2016-10-01,11,2
2016-11-01,10,1
2016-12-01,9,2
2017-01-01,10,2
