date,how to browse anonymously,most private browser
2011-01-01,46,15
2011-02-01,32,20
2011-03-01,51,18
2011-04-01,51,12
2011-05-01,11,37
2011-06-01,45,23
2011-07-01,45,0
2011-08-01,49,14
2011-09-01,52,31
2011-10-01,46,16
2011-11-01,26,0
2011-12-01,48,13
2012-01-01,56,12
2012-02-01,71,25
2012-03-01,47,20
2012-04-01,55,0
2012-05-01,54,17
2012-06-01,55,12
2012-07-01,64,15
2012-08-01,52,20
2012-09-01,80,11
2012-10-01,49,13
2012-11-01,62,0
2012-12-01,50,18
2013-01-01,64,14
2013-02-01,47,18
2013-03-01,39,19
2013-04-01,50,17
2013-05-01,62,18
2013-06-01,68,16
2013-07-01,42,21
2013-08-01,23,34
2013-09-01,54,16
2013-10-01,37,28
2013-11-01,24,20
2013-12-01,68,28
2014-01-01,53,16
2014-02-01,49,9
2014-03-01,66,26
2014-04-01,64,21
2014-05-01,40,27
2014-06-01,79,28
2014-07-01,100,30
2014-08-01,68,11
2014-09-01,47,28
2014-10-01,64,27
2014-11-01,72,13
2014-12-01,98,33
2015-01-01,65,20
2015-02-01,48,11
2015-03-01,65,25
2015-04-01,73,30
2015-05-01,48,17
2015-06-01,65,14
2015-07-01,73,23
2015-08-01,83,38
2015-09-01,78,22
2015-10-01,72,28
2015-11-01,46,31
2015-12-01,44,28
2016-01-01,33,33
2016-02-01,57,19
2016-03-01,46,37
2016-04-01,34,27
2016-05-01,49,18
2016-06-01,52,25
2016-07-01,64,25
2016-08-01,45,21
2016-09-01,54,33
2016-10-01,50,28
2016-11-01,49,25
2016-12-01,58,21
2017-01-01,39,33
