date,most secure internet browser,most private browser
2011-01-01,44,16
2011-02-01,23,43
2011-03-01,62,31
2011-04-01,25,31
2011-05-01,57,31
2011-06-01,32,16
2011-07-01,37,21
2011-08-01,30,30
2011-09-01,34,29
2011-10-01,21,56
2011-11-01,23,14
2011-12-01,18,55
2012-01-01,32,47
2012-02-01,39,48
2012-03-01,41,45
2012-04-01,17,39
2012-05-01,36,24
2012-06-01,21,17
2012-07-01,37,33
2012-08-01,33,37
2012-09-01,40,18
2012-10-01,22,37
2012-11-01,15,11
2012-12-01,22,52
2013-01-01,47,34
2013-02-01,37,37
2013-03-01,26,33
2013-04-01,30,37
2013-05-01,16,33
2013-06-01,27,40
2013-07-01,36,63
2013-08-01,33,52
2013-09-01,34,22
2013-10-01,34,40
2013-11-01,28,43
2013-12-01,47,72
2014-01-01,38,43
2014-02-01,41,44
2014-03-01,40,40
2014-04-01,100,32
2014-05-01,42,63
2014-06-01,30,46
2014-07-01,29,52
2014-08-01,23,58
2014-09-01,37,74
2014-10-01,26,50
2014-11-01,24,48
2014-12-01,32,68
2015-01-01,22,55
2015-02-01,24,39
2015-03-01,22,33
2015-04-01,33,64
2015-05-01,41,52
2015-06-01,17,50
2015-07-01,37,60
2015-08-01,30,79
2015-09-01,29,63
2015-10-01,13,53
2015-11-01,23,65
2015-12-01,16,73
2016-01-01,20,47
2016-02-01,20,52
2016-03-01,30,51
2016-04-01,14,53
2016-05-01,10,74
2016-06-01,14,67
2016-07-01,19,65
2016-08-01,28,50
2016-09-01,28,61
2016-10-01,27,62
2016-11-01,25,51
2016-12-01,13,67
2017-01-01,21,76
