date,intercept text messages free
2011-01-01,65
2011-02-01,69
2011-03-01,44
2011-04-01,85
2011-05-01,71
2011-06-01,73
2011-07-01,45
2011-08-01,43
2011-09-01,42
2011-10-01,47
2011-11-01,79
2011-12-01,15
2012-01-01,100
2012-02-01,59
2012-03-01,49
2012-04-01,59
2012-05-01,34
2012-06-01,21
2012-07-01,49
2012-08-01,55
2012-09-01,34
2012-10-01,50
2012-11-01,19
2012-12-01,62
2013-01-01,29
2013-02-01,38
2013-03-01,28
2013-04-01,17
2013-05-01,28
2013-06-01,23
2013-07-01,45
2013-08-01,33
2013-09-01,27
2013-10-01,41
2013-11-01,26
2013-12-01,53
2014-01-01,54
2014-02-01,16
2014-03-01,72
2014-04-01,55
2014-05-01,45
2014-06-01,39
2014-07-01,54
2014-08-01,44
2014-09-01,42
2014-10-01,25
2014-11-01,21
2014-12-01,50
2015-01-01,66
2015-02-01,51
2015-03-01,28
2015-04-01,48
2015-05-01,64
2015-06-01,33
2015-07-01,42
2015-08-01,23
2015-09-01,14
2015-10-01,30
2015-11-01,44
2015-12-01,49
2016-01-01,25
2016-02-01,34
2016-03-01,47
2016-04-01,32
2016-05-01,31
2016-06-01,40
2016-07-01,45
2016-08-01,20
2016-09-01,20
2016-10-01,26
2016-11-01,30
2016-12-01,27
2017-01-01,25
