date,how to read someones text messages without their phone
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,22
2011-07-01,21
2011-08-01,21
2011-09-01,20
2011-10-01,19
2011-11-01,19
2011-12-01,19
2012-01-01,18
2012-02-01,43
2012-03-01,69
2012-04-01,24
2012-05-01,17
2012-06-01,17
2012-07-01,34
2012-08-01,17
2012-09-01,25
2012-10-01,15
2012-11-01,23
2012-12-01,31
2013-01-01,71
2013-02-01,31
2013-03-01,21
2013-04-01,14
2013-05-01,28
2013-06-01,24
2013-07-01,14
2013-08-01,23
2013-09-01,27
2013-10-01,25
2013-11-01,26
2013-12-01,39
2014-01-01,32
2014-02-01,13
2014-03-01,24
2014-04-01,29
2014-05-01,29
2014-06-01,28
2014-07-01,20
2014-08-01,49
2014-09-01,26
2014-10-01,37
2014-11-01,17
2014-12-01,33
2015-01-01,35
2015-02-01,33
2015-03-01,19
2015-04-01,39
2015-05-01,57
2015-06-01,77
2015-07-01,27
2015-08-01,34
2015-09-01,30
2015-10-01,32
2015-11-01,21
2015-12-01,44
2016-01-01,62
2016-02-01,58
2016-03-01,74
2016-04-01,46
2016-05-01,83
2016-06-01,87
2016-07-01,40
2016-08-01,65
2016-09-01,39
2016-10-01,65
2016-11-01,100
2016-12-01,87
2017-01-01,82
