date,how to spy on text messages without installing software
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,24
2011-08-01,22
2011-09-01,43
2011-10-01,20
2011-11-01,20
2011-12-01,20
2012-01-01,38
2012-02-01,19
2012-03-01,37
2012-04-01,18
2012-05-01,18
2012-06-01,18
2012-07-01,18
2012-08-01,18
2012-09-01,27
2012-10-01,22
2012-11-01,44
2012-12-01,41
2013-01-01,59
2013-02-01,16
2013-03-01,29
2013-04-01,30
2013-05-01,22
2013-06-01,37
2013-07-01,29
2013-08-01,58
2013-09-01,29
2013-10-01,54
2013-11-01,28
2013-12-01,35
2014-01-01,13
2014-02-01,23
2014-03-01,19
2014-04-01,13
2014-05-01,35
2014-06-01,64
2014-07-01,19
2014-08-01,36
2014-09-01,18
2014-10-01,22
2014-11-01,54
2014-12-01,33
2015-01-01,31
2015-02-01,40
2015-03-01,56
2015-04-01,33
2015-05-01,24
2015-06-01,25
2015-07-01,16
2015-08-01,18
2015-09-01,35
2015-10-01,37
2015-11-01,38
2015-12-01,39
2016-01-01,55
2016-02-01,62
2016-03-01,34
2016-04-01,35
2016-05-01,41
2016-06-01,63
2016-07-01,32
2016-08-01,38
2016-09-01,26
2016-10-01,46
2016-11-01,86
2016-12-01,96
2017-01-01,100
