date,Incognito mode
2011-01-01,10
2011-02-01,12
2011-03-01,13
2011-04-01,14
2011-05-01,13
2011-06-01,13
2011-07-01,16
2011-08-01,15
2011-09-01,13
2011-10-01,15
2011-11-01,19
2011-12-01,19
2012-01-01,20
2012-02-01,22
2012-03-01,23
2012-04-01,22
2012-05-01,28
2012-06-01,28
2012-07-01,34
2012-08-01,40
2012-09-01,52
2012-10-01,55
2012-11-01,59
2012-12-01,46
2013-01-01,48
2013-02-01,46
2013-03-01,50
2013-04-01,78
2013-05-01,64
2013-06-01,72
2013-07-01,74
2013-08-01,75
2013-09-01,73
2013-10-01,69
2013-11-01,83
2013-12-01,100
2014-01-01,76
2014-02-01,77
2014-03-01,75
2014-04-01,66
2014-05-01,64
2014-06-01,68
2014-07-01,79
2014-08-01,76
2014-09-01,76
2014-10-01,79
2014-11-01,74
2014-12-01,77
2015-01-01,82
2015-02-01,83
2015-03-01,75
2015-04-01,79
2015-05-01,84
2015-06-01,84
2015-07-01,85
2015-08-01,87
2015-09-01,84
2015-10-01,84
2015-11-01,79
2015-12-01,86
2016-01-01,81
2016-02-01,76
2016-03-01,81
2016-04-01,82
2016-05-01,84
2016-06-01,81
2016-07-01,80
2016-08-01,82
2016-09-01,90
2016-10-01,88
2016-11-01,88
2016-12-01,86
2017-01-01,84
