date,how to remove facebook,how to delete facebook
2011-01-01,23,62
2011-02-01,22,57
2011-03-01,22,55
2011-04-01,22,57
2011-05-01,23,60
2011-06-01,24,66
2011-07-01,28,72
2011-08-01,29,86
2011-09-01,30,84
2011-10-01,27,86
2011-11-01,26,91
2011-12-01,43,100
2012-01-01,45,99
2012-02-01,45,97
2012-03-01,49,99
2012-04-01,53,91
2012-05-01,41,85
2012-06-01,36,85
2012-07-01,35,84
2012-08-01,40,90
2012-09-01,32,89
2012-10-01,29,77
2012-11-01,26,73
2012-12-01,27,81
2013-01-01,26,78
2013-02-01,24,71
2013-03-01,25,67
2013-04-01,25,65
2013-05-01,24,61
2013-06-01,23,61
2013-07-01,24,61
2013-08-01,24,62
2013-09-01,22,59
2013-10-01,21,55
2013-11-01,20,53
2013-12-01,21,56
2014-01-01,21,59
2014-02-01,21,55
2014-03-01,21,53
2014-04-01,21,52
2014-05-01,21,53
2014-06-01,22,56
2014-07-01,22,59
2014-08-01,24,62
2014-09-01,21,56
2014-10-01,21,52
2014-11-01,20,50
2014-12-01,20,52
2015-01-01,21,54
2015-02-01,20,51
2015-03-01,19,49
2015-04-01,20,48
2015-05-01,19,50
2015-06-01,21,54
2015-07-01,21,56
2015-08-01,21,54
2015-09-01,21,50
2015-10-01,19,49
2015-11-01,20,48
2015-12-01,20,51
2016-01-01,21,54
2016-02-01,19,47
2016-03-01,19,49
2016-04-01,20,51
2016-05-01,20,51
2016-06-01,21,55
2016-07-01,22,57
2016-08-01,21,54
2016-09-01,21,54
2016-10-01,21,53
2016-11-01,21,54
2016-12-01,20,52
2017-01-01,22,56
