date,Cancel facebook,how to delete facebook
2011-01-01,9,61
2011-02-01,8,57
2011-03-01,8,56
2011-04-01,8,59
2011-05-01,8,60
2011-06-01,9,65
2011-07-01,10,74
2011-08-01,12,87
2011-09-01,11,85
2011-10-01,9,85
2011-11-01,8,91
2011-12-01,10,100
2012-01-01,11,98
2012-02-01,10,100
2012-03-01,10,98
2012-04-01,9,90
2012-05-01,8,85
2012-06-01,9,85
2012-07-01,9,84
2012-08-01,9,90
2012-09-01,8,90
2012-10-01,9,78
2012-11-01,8,72
2012-12-01,8,81
2013-01-01,8,78
2013-02-01,8,72
2013-03-01,8,66
2013-04-01,7,65
2013-05-01,7,60
2013-06-01,7,61
2013-07-01,8,63
2013-08-01,7,62
2013-09-01,7,58
2013-10-01,7,56
2013-11-01,7,52
2013-12-01,7,56
2014-01-01,7,60
2014-02-01,7,55
2014-03-01,6,53
2014-04-01,6,52
2014-05-01,6,54
2014-06-01,6,57
2014-07-01,7,58
2014-08-01,7,63
2014-09-01,6,57
2014-10-01,6,52
2014-11-01,6,50
2014-12-01,6,53
2015-01-01,6,54
2015-02-01,6,52
2015-03-01,6,49
2015-04-01,6,48
2015-05-01,6,50
2015-06-01,6,53
2015-07-01,7,57
2015-08-01,6,55
2015-09-01,6,50
2015-10-01,6,50
2015-11-01,6,48
2015-12-01,6,51
2016-01-01,7,54
2016-02-01,6,48
2016-03-01,6,50
2016-04-01,6,51
2016-05-01,6,51
2016-06-01,7,54
2016-07-01,7,57
2016-08-01,7,54
2016-09-01,6,54
2016-10-01,6,53
2016-11-01,6,55
2016-12-01,6,52
2017-01-01,6,57
