date,how to delete a twitter account,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,government monitoring social media,how to delete gmail,how to delete twitter,how to delete youtube,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,12,10,14,0,0,8,2,1,4,6,183,28,0,0,31,0,350,106,300,0,71,13,33,0,0,0,3,0,0,16,0,0,1,1,0,0,1,0,3,0,0,17,2,0,0,1,0,136,33,0,0,2,0,50,1,2,1,0,2,574,0,0,15,0,0,12,1,0
2011-02-01,12,8,15,0,0,6,2,1,5,4,154,30,0,0,26,0,350,112,280,0,67,13,36,0,0,1,4,0,0,16,0,0,3,1,0,0,2,0,1,1,0,26,2,0,0,4,0,112,31,1,0,2,0,61,1,2,4,0,3,460,0,0,17,0,1,17,1,0
2011-03-01,16,8,11,0,0,11,2,1,4,4,142,35,0,0,23,0,350,130,314,0,63,13,36,0,0,0,3,0,0,17,0,0,1,1,0,0,1,0,0,1,0,23,2,0,0,2,0,112,32,0,0,1,0,60,3,2,2,0,3,367,0,0,20,0,1,10,0,0
2011-04-01,13,6,15,0,0,10,1,3,3,5,135,31,0,0,29,1,384,153,320,0,59,12,35,0,1,0,5,0,0,22,0,0,1,1,0,0,1,0,1,0,0,23,2,0,0,3,0,115,28,0,0,2,1,63,1,3,3,0,3,347,0,0,22,0,1,12,2,1
2011-05-01,18,7,11,0,1,19,3,4,4,6,144,27,0,0,37,1,375,165,314,0,58,13,32,0,1,0,8,0,0,18,0,0,1,1,0,0,2,0,2,0,0,23,2,0,0,2,0,118,31,0,0,1,2,47,3,2,2,0,3,340,0,0,23,0,2,12,0,1
2011-06-01,21,11,18,0,0,19,2,1,7,3,154,38,0,1,39,1,434,189,434,0,65,14,28,0,0,1,7,0,1,23,0,0,2,2,1,0,2,0,2,0,0,17,2,0,0,2,0,136,29,0,0,1,0,57,2,2,2,0,2,374,1,0,27,1,1,11,0,0
2011-07-01,30,7,17,0,0,17,1,2,6,7,183,48,0,0,58,0,501,236,467,0,86,11,34,0,1,1,6,0,0,26,0,0,1,1,1,1,1,0,1,1,0,26,1,0,0,2,0,115,25,0,0,2,0,50,7,3,2,0,1,407,1,0,26,0,2,9,2,1
2011-08-01,27,12,16,0,0,17,1,2,4,2,213,45,0,0,50,1,476,212,480,0,91,15,39,0,1,2,7,0,0,31,0,0,3,1,0,0,1,0,1,0,0,23,1,0,0,3,0,174,23,0,0,2,0,56,4,2,3,0,2,387,0,0,32,0,2,10,1,0
2011-09-01,27,31,17,0,0,19,1,2,7,7,196,47,0,1,57,0,467,189,454,0,90,10,39,0,1,2,6,0,0,29,0,0,2,1,1,0,1,0,1,0,0,20,2,1,0,2,0,295,29,0,0,3,0,87,2,3,2,0,3,420,1,0,25,0,1,9,0,1
2011-10-01,31,25,16,0,0,35,1,2,5,5,218,46,0,1,51,1,451,230,447,0,77,16,35,0,1,0,7,0,1,27,0,0,2,3,0,1,1,0,1,0,0,20,0,0,0,2,0,203,29,1,0,2,0,75,1,2,2,0,2,480,2,0,27,0,1,6,1,0
2011-11-01,39,24,18,0,0,37,0,2,3,5,244,49,0,2,56,2,476,265,454,0,65,16,33,0,1,1,6,0,1,17,0,0,3,2,1,1,1,0,2,0,0,23,1,0,0,2,0,177,27,1,0,2,1,70,1,3,2,0,4,440,2,0,31,0,1,5,2,0
2011-12-01,38,18,26,0,0,26,1,2,4,6,227,51,0,1,53,1,517,300,600,0,90,14,38,0,2,0,10,0,2,26,0,1,1,1,0,0,1,0,1,0,0,17,1,1,0,3,0,174,28,0,0,4,0,75,1,2,3,0,3,560,2,0,39,0,1,6,1,1
2012-01-01,44,20,24,0,1,21,3,3,8,7,240,49,0,2,49,1,517,324,567,0,76,14,37,0,1,2,11,0,1,33,0,0,3,1,0,0,2,0,0,0,0,23,3,0,0,4,0,177,47,0,0,4,0,94,2,8,4,0,12,607,5,0,40,0,3,7,1,1
2012-02-01,40,18,23,0,0,21,4,2,8,7,240,41,0,3,46,1,426,318,507,0,67,12,28,0,1,1,13,0,1,37,0,0,2,1,0,0,1,1,1,0,0,36,3,1,0,6,1,162,65,0,0,6,1,103,3,13,6,1,13,547,4,0,41,0,1,8,1,0
2012-03-01,42,19,29,0,0,20,4,3,6,7,227,38,0,2,43,1,417,318,500,0,77,13,41,0,2,1,7,0,2,31,0,0,3,2,1,0,2,1,1,0,0,39,2,1,0,5,0,136,59,0,0,3,0,98,2,10,5,0,13,527,5,1,34,0,1,9,0,1
