date,twitter privacy policy,how to change facebook privacy settings,youtube private channel,how to change instagram privacy settings,most private browser,best anonymous browser,how to browse anonymously,government monitoring social media,how to delete pokemongo,how to uninstall youtube,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,skype privacy policy,gmail privacy issues,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,gmail privacy policy,instagram privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,google hangouts encryption,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,21,112,165,0,19,30,55,13,0,501,0,0,0,0,0,39,26,0,0,0,38,0,13,0,17,21,0,0,17,0,58,0,0,27,0,0,138,13,0
2011-02-01,36,118,200,0,23,20,59,13,0,482,0,0,0,0,0,54,14,0,0,0,14,0,0,0,22,23,0,0,14,0,41,0,0,36,0,0,178,14,0
2011-03-01,36,159,185,0,24,24,70,12,0,582,0,0,0,0,0,16,12,0,0,0,12,0,12,0,12,12,0,0,12,0,25,0,0,12,0,0,150,12,0
2011-04-01,35,65,140,0,13,52,57,20,0,501,0,18,0,0,0,52,26,0,0,0,26,0,0,0,13,20,0,0,20,0,49,0,0,32,0,0,140,13,13
2011-05-01,53,118,205,0,24,28,54,16,0,455,0,0,0,0,0,33,24,0,0,0,0,0,0,0,16,31,0,13,37,0,34,0,0,38,0,0,209,12,13
2011-06-01,38,148,245,0,13,25,88,13,0,446,0,18,0,12,0,29,0,13,0,0,25,0,0,0,25,21,0,0,39,12,19,0,0,34,0,0,161,13,0
2011-07-01,21,112,225,0,25,17,92,0,0,482,12,25,0,0,0,21,29,12,13,0,0,13,0,0,25,21,0,0,25,12,17,0,0,45,0,0,121,37,13
2011-08-01,43,200,320,0,16,23,75,12,0,628,12,15,0,0,0,18,18,0,0,0,0,0,0,0,12,12,0,0,24,12,25,0,0,36,0,0,161,20,0
2011-09-01,49,448,240,0,23,61,65,0,0,555,11,33,0,0,0,23,0,11,0,0,23,0,0,0,19,23,0,12,19,0,50,0,0,38,0,0,142,17,0
2011-10-01,40,377,235,0,22,27,83,0,0,491,11,22,0,0,0,36,38,0,11,0,11,0,11,0,11,27,0,0,40,12,38,0,0,40,0,0,138,22,0
2011-11-01,25,365,280,0,11,32,33,22,0,528,16,11,0,20,0,29,29,0,11,0,11,0,0,0,11,11,0,12,22,12,54,0,0,47,0,0,103,16,13
2011-12-01,22,306,405,0,27,21,68,0,0,610,11,11,0,12,11,18,22,0,0,0,18,0,0,0,21,11,0,0,35,0,26,14,0,43,0,0,98,11,13
2012-01-01,63,283,320,10,43,36,139,10,0,528,10,18,0,16,0,30,20,0,0,0,13,0,0,0,20,43,0,0,62,0,126,20,0,149,0,0,148,10,0
2012-02-01,61,295,390,0,31,36,109,21,0,455,20,18,0,20,0,41,20,10,0,10,14,0,0,0,20,31,10,0,62,17,186,14,10,223,0,10,103,21,0
2012-03-01,71,259,475,20,45,23,107,10,0,564,44,11,0,24,0,29,26,10,20,10,10,0,0,0,29,44,0,0,94,0,169,0,0,214,0,0,105,0,9
2012-04-01,47,271,335,15,25,20,94,10,0,546,34,25,0,44,10,74,15,20,10,10,10,0,0,0,20,13,0,10,57,10,58,20,0,87,0,0,105,15,9
2012-05-01,60,318,315,10,19,25,110,0,0,519,26,18,0,72,9,28,28,0,0,19,66,0,9,0,24,19,0,10,65,10,28,14,0,58,0,0,86,9,9
2012-06-01,29,283,320,15,15,39,104,10,0,582,48,11,0,124,15,23,26,0,10,10,10,11,10,0,19,10,0,0,65,0,21,27,0,43,0,0,117,13,0
2012-07-01,35,265,335,20,26,42,120,19,0,682,39,25,0,152,29,39,34,0,0,0,19,0,0,11,19,16,0,10,77,0,32,7,0,43,0,0,119,14,13
2012-08-01,64,436,430,26,29,35,89,10,0,619,58,25,0,116,10,25,10,10,0,10,14,10,0,0,14,16,0,0,72,10,41,14,0,65,8,9,109,16,9
2012-09-01,63,589,440,162,16,19,84,10,0,737,38,15,0,132,19,28,19,14,0,9,9,0,0,11,28,19,0,0,100,10,38,27,0,36,8,0,63,16,21
2012-10-01,43,577,310,144,29,34,81,17,0,691,38,8,0,148,17,32,20,22,9,9,30,9,0,0,26,13,0,26,57,10,38,27,0,56,0,0,82,17,17
2012-11-01,52,412,330,88,13,32,67,12,0,582,72,25,0,124,9,26,14,13,0,9,13,0,0,9,13,17,9,9,100,12,32,14,9,52,39,9,119,12,9
2012-12-01,55,406,400,110,35,55,104,0,0,664,78,29,0,148,9,14,26,9,9,9,17,10,0,9,0,22,0,9,80,0,36,667,0,40,77,0,98,14,17
2013-01-01,60,359,460,112,21,27,80,10,0,573,42,97,0,232,21,26,13,31,8,0,8,9,0,0,16,12,0,9,167,0,30,167,0,40,70,8,111,12,9
