date,how to change instagram privacy settings,how to change facebook privacy settings,private twitter account,most private browser,best anonymous browser,how to delete a youtube account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on instagram,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,whatsapp security settings,delete hangout history,google hangouts privacy,how to encrypt whatsapp messages,skype privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,uber privacy policy,Gmail privacy,How to make tweets private,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,how to unfollow on Instagram,remove snapchat friends,google hangouts encryption,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,92,62,13,35,300,0,330,90,9,0,638,141,325,0,10,12,0,0,12,12,0,0,9,0,9,9,0,0,0,300,36,556,26,33,13,0,0,0,100,0,0
2011-02-01,0,80,62,25,28,270,0,280,130,9,0,663,130,332,0,0,26,0,0,34,9,0,9,0,0,19,15,0,0,0,293,10,589,15,33,14,0,0,0,119,9,0
2011-03-01,0,96,100,25,33,300,0,310,180,0,0,625,106,407,0,0,31,0,0,20,8,0,0,0,0,14,17,0,0,0,300,11,556,34,20,25,10,0,0,99,0,0
2011-04-01,0,75,131,9,33,285,0,320,170,9,0,513,114,307,9,13,51,0,0,27,15,0,0,0,0,9,21,0,0,0,231,10,645,12,55,33,0,0,0,117,9,0
2011-05-01,0,84,154,21,25,293,0,370,170,8,0,575,100,300,8,18,65,0,0,28,25,0,0,0,0,11,14,0,0,0,316,20,500,28,17,22,0,0,0,141,8,0
2011-06-01,0,88,193,22,20,377,7,460,210,0,0,675,155,350,0,13,55,0,0,23,0,0,0,0,0,13,17,10,0,0,316,35,578,26,27,22,10,0,9,85,0,0
2011-07-01,0,80,177,13,22,516,20,590,290,0,0,825,106,357,9,13,57,0,0,13,17,0,0,0,0,13,14,10,0,0,262,23,500,55,23,22,10,0,0,81,9,0
2011-08-01,0,109,170,16,12,370,0,490,310,8,0,875,160,425,8,8,68,0,0,19,8,0,0,0,0,8,12,0,0,0,231,16,545,22,28,22,0,0,0,109,16,0
2011-09-01,0,296,193,18,26,470,14,620,220,8,0,913,90,344,8,8,61,0,0,8,10,0,0,0,0,18,18,0,0,0,285,16,789,18,32,43,10,0,0,82,16,8
2011-10-01,0,263,362,18,23,431,7,520,310,15,0,700,173,375,15,10,60,15,0,30,34,0,0,8,0,8,11,10,0,0,262,31,800,11,20,38,10,0,0,103,15,0
