date,how to delete twitter,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete facebook,how to delete gmail,how to delete youtube,how to delete snapchat,delete account instagram,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to encrypt emails,encrypted phone calls,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,skype encryption,how to encrypt whatsapp
2011-01-01,19,2,2,0,0,1,0,0,1,1,30,5,0,0,4,2,436,60,48,0,0,0,12,2,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,23,6,0,0,0,0,8,0,0,0,0,0,96,0,0,2,2,0
2011-02-01,20,2,3,0,0,1,0,0,1,1,26,5,0,0,3,2,400,60,45,0,0,0,11,2,6,0,0,0,1,0,0,3,0,1,0,0,0,0,0,4,0,0,1,0,19,5,0,0,0,0,10,0,0,1,0,0,79,0,0,3,3,0
2011-03-01,22,1,2,0,0,2,0,0,1,1,23,6,0,0,4,3,379,60,50,0,0,0,11,2,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,18,5,0,0,0,0,10,0,0,0,0,0,63,0,0,3,2,0
2011-04-01,24,1,2,0,0,2,0,0,0,1,22,5,0,0,5,2,415,65,52,0,0,0,10,2,6,0,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,18,4,0,0,0,0,10,0,1,0,0,0,60,0,0,4,2,0
2011-05-01,28,1,2,0,0,3,1,0,1,1,24,4,0,0,6,3,429,64,50,0,0,0,9,2,5,0,0,0,1,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,19,5,0,0,0,0,8,0,0,0,0,1,57,0,0,4,2,0
2011-06-01,32,2,3,0,0,3,0,0,1,0,25,6,0,0,6,3,465,74,70,0,0,0,11,2,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,22,5,0,0,0,0,9,0,0,0,0,0,62,0,0,4,2,0
2011-07-01,41,1,3,0,0,3,0,0,1,1,30,8,0,0,9,5,500,85,75,0,3,0,14,2,6,0,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,19,4,0,0,0,0,8,1,0,0,0,0,69,0,0,4,2,0
2011-08-01,35,2,3,0,0,3,0,0,1,0,35,7,0,0,8,4,608,81,77,0,3,0,14,2,6,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,29,4,0,0,0,0,9,1,0,0,0,1,64,0,0,5,2,0
2011-09-01,32,5,3,0,0,3,0,0,1,1,32,8,0,0,9,4,593,79,73,0,3,0,14,2,6,0,0,0,1,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,49,5,0,0,1,0,14,0,1,0,0,0,70,0,0,4,2,0
2011-10-01,40,4,3,0,0,6,0,0,1,1,36,7,0,0,8,5,608,77,72,0,3,0,13,3,6,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,33,5,0,0,0,0,12,0,0,0,0,1,78,0,0,4,1,0
2011-11-01,45,4,3,0,0,6,0,0,0,1,41,8,0,0,9,6,650,81,73,0,5,0,11,3,5,0,0,0,1,0,0,3,0,1,0,0,0,0,0,4,0,0,0,0,30,5,0,0,0,0,12,0,0,0,0,1,74,0,0,5,1,0
2011-12-01,50,3,4,0,0,4,0,0,1,1,38,8,0,0,9,7,715,88,96,0,5,0,14,2,6,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,28,5,0,0,0,0,12,0,0,0,0,1,96,0,0,6,1,0
2012-01-01,56,3,4,0,0,3,1,1,1,1,40,8,0,0,9,8,700,88,91,0,7,0,13,2,6,0,0,0,2,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,29,8,0,0,1,0,15,0,1,1,0,2,100,1,0,7,1,0
2012-02-01,54,3,4,0,0,4,1,0,1,1,40,7,0,1,7,6,693,72,81,0,7,0,11,2,5,0,0,0,2,0,0,6,0,0,0,0,0,0,0,6,0,0,1,0,27,11,0,0,1,0,17,1,2,1,0,2,94,1,0,7,1,0
2012-03-01,54,3,5,0,0,3,1,1,1,1,38,6,0,0,7,7,693,71,80,0,9,0,13,2,7,0,0,0,1,0,0,5,0,0,0,0,0,0,0,6,0,0,1,0,22,9,0,0,0,0,16,0,2,1,0,2,88,1,0,6,1,0
2012-04-01,62,3,3,0,0,4,0,0,1,1,27,9,0,1,7,8,643,74,80,0,30,0,10,2,5,0,0,0,1,0,0,6,0,1,0,0,0,0,0,7,0,0,1,0,25,6,0,0,1,0,13,1,1,1,0,1,100,2,0,6,1,0
2012-05-01,61,3,4,0,0,5,0,0,1,1,24,8,0,1,8,8,593,74,77,0,24,0,10,2,6,0,0,0,1,0,1,7,0,0,0,0,1,0,0,5,0,0,1,0,25,5,0,0,1,0,10,0,1,1,0,1,104,2,0,6,2,0
2012-06-01,67,3,3,0,0,5,0,0,1,1,28,10,0,2,8,10,608,84,85,0,30,0,10,3,6,0,0,0,2,0,1,7,0,0,0,0,0,0,0,6,0,0,1,0,26,5,0,0,1,0,8,0,0,1,0,0,112,4,0,7,1,0
2012-07-01,88,3,4,0,0,5,0,1,1,1,37,10,0,2,9,10,586,91,91,0,32,0,11,2,8,0,0,0,1,0,2,7,0,0,0,0,0,0,0,5,0,0,0,0,23,4,0,0,1,0,12,1,0,0,0,0,105,5,0,8,1,0
