date,instagram privacy policy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,20,30,0,0,15,4,5,9,13,375,59,0,0,72,18,2,0,143,26,76,0,0,0,7,0,0,33,0,0,6,4,0,2,3,0,4,0,0,0,34,4,0,3,0,314,56,0,0,2,0,126,2,6,3,0,4,0,0,34,0,2,30,2,0
2011-02-01,0,23,35,0,0,13,4,6,6,8,315,50,0,0,56,23,0,0,132,27,72,0,0,0,5,0,0,35,0,0,5,0,0,0,4,0,2,2,0,0,47,3,0,5,0,254,66,2,0,2,0,122,5,6,5,0,3,0,0,33,0,2,20,2,0
2011-03-01,0,18,31,0,0,23,2,3,8,10,280,77,0,0,72,34,2,0,137,23,87,0,0,0,7,0,0,49,0,0,5,2,0,0,4,0,3,0,0,0,60,3,0,6,0,254,64,0,0,2,2,128,5,5,6,0,2,2,0,42,0,2,24,2,0
2011-04-01,0,12,23,0,0,28,0,9,6,6,265,59,0,0,65,32,2,0,137,24,55,0,0,2,11,0,0,46,0,0,6,3,0,0,0,0,4,0,0,0,60,2,0,5,0,240,56,0,0,3,2,126,3,4,5,0,3,0,0,45,0,2,23,4,0
2011-05-01,0,12,26,0,0,36,4,5,5,13,310,59,0,0,72,36,2,0,119,26,65,0,2,4,12,0,0,43,0,0,5,4,0,0,2,0,2,0,0,0,47,3,0,5,0,267,61,2,0,5,4,96,4,3,5,0,6,0,0,52,0,2,38,3,2
2011-06-01,0,25,37,0,0,41,3,5,11,7,330,80,0,0,96,43,2,0,135,29,62,0,0,2,17,0,2,55,0,0,6,2,0,0,0,0,2,0,0,0,40,4,0,7,2,307,59,0,0,8,4,130,8,4,7,2,4,2,0,59,2,2,14,2,0
2011-07-01,0,21,40,0,0,36,4,5,12,15,370,99,0,2,127,65,0,0,179,18,82,0,2,2,10,0,0,61,0,0,5,3,2,0,2,0,2,2,0,0,47,0,0,3,0,254,54,0,0,8,2,103,9,6,3,0,5,4,0,59,0,5,18,2,2
2011-08-01,0,25,32,0,0,36,2,2,11,7,435,99,0,2,114,60,2,0,198,34,92,0,5,3,13,0,0,60,0,0,6,2,0,0,3,2,2,0,0,0,54,2,0,7,0,374,49,0,0,5,0,111,4,4,7,0,3,4,0,57,0,2,21,2,0
2011-09-01,0,70,37,0,0,36,3,10,10,14,410,102,0,2,138,54,0,0,187,24,78,0,2,4,13,0,0,57,0,0,5,2,2,0,4,0,2,0,0,0,47,3,0,5,0,667,68,0,0,3,0,175,7,8,5,0,4,2,0,49,0,2,27,2,2
2011-10-01,0,63,34,0,0,70,3,5,11,5,430,97,0,2,109,58,0,0,156,35,70,0,2,4,17,0,3,60,0,0,11,4,0,2,2,0,4,0,0,0,47,2,0,8,0,467,61,2,0,8,2,169,2,6,8,0,5,4,0,56,0,6,20,2,0
2011-11-01,2,58,41,0,0,81,2,3,6,7,500,107,0,2,114,78,3,0,127,35,75,0,3,3,10,0,2,38,0,0,3,4,2,2,3,0,2,0,2,0,47,2,0,7,0,400,64,2,0,6,0,147,5,6,7,0,6,2,0,57,0,3,12,2,3
