date,Twitter privacy policy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,best anonymous browser,how to browse anonymously,how to delete a snapchat account,government monitoring social media,how to uninstall gmail,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,Privacy policy Pokemon Go,uber privacy policy,How to make tweets private,Uber privacy,facebook app privacy policy,instagram privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption
2011-01-01,23,154,236,0,37,66,0,14,196,0,0,0,56,0,0,0,0,42,0,14,21,0,28,0,0,28,0,0,29,0,14,0,0,29,0,262,0,14,194
2011-02-01,34,160,265,0,44,45,0,0,209,0,0,0,35,0,0,0,0,39,0,0,29,0,15,0,0,25,0,0,16,0,37,0,0,24,0,254,0,15,175
2011-03-01,44,140,236,0,22,58,0,13,179,0,0,0,54,0,0,0,0,40,0,0,22,0,26,0,0,20,0,0,14,13,40,0,0,17,0,324,0,13,156
2011-04-01,38,67,177,0,66,43,0,14,183,0,0,15,82,0,0,0,0,42,0,0,14,0,28,0,0,19,0,0,21,13,21,0,0,24,0,347,0,14,163
2011-05-01,36,107,195,0,35,40,0,18,196,0,14,29,88,0,0,0,0,40,0,0,27,0,13,0,0,22,0,0,33,26,31,0,0,46,0,400,0,13,233
2011-06-01,50,160,289,0,36,87,0,14,227,0,0,15,128,0,15,0,0,48,0,0,0,0,14,0,0,27,0,14,42,30,62,0,14,29,0,454,14,14,145
2011-07-01,23,160,312,0,36,91,0,0,140,0,14,15,76,0,0,0,0,36,13,0,27,0,14,0,0,0,0,0,55,13,72,0,0,36,0,454,0,36,110
2011-08-01,52,167,248,0,17,86,0,13,261,0,39,25,104,0,0,0,0,43,0,0,19,13,13,0,0,13,0,0,34,0,34,0,0,22,0,439,0,13,138
2011-09-01,38,480,289,0,75,79,0,0,183,0,12,33,95,0,0,0,0,42,12,0,33,0,12,0,0,21,0,0,21,0,50,0,0,34,0,377,0,12,173
2011-10-01,63,480,259,0,35,82,0,0,270,0,18,29,130,0,24,0,0,82,0,12,12,0,28,0,0,18,0,0,59,13,12,0,0,36,0,431,0,47,147
2011-11-01,52,380,318,0,24,48,0,24,270,0,24,25,80,0,10,0,0,24,12,12,16,0,12,12,0,12,0,0,44,0,36,16,0,48,0,447,0,24,94
2011-12-01,51,347,424,0,16,63,0,12,235,0,12,11,140,0,24,0,0,31,0,0,18,0,23,0,0,12,0,0,70,13,20,0,0,36,0,539,0,18,96
2012-01-01,69,287,424,0,65,91,0,16,214,0,11,22,173,0,20,0,0,40,0,0,22,0,11,0,0,22,0,0,63,0,25,24,0,184,0,647,0,21,145
2012-02-01,97,367,436,0,44,115,0,15,157,0,29,18,163,0,20,0,0,39,0,0,11,0,11,0,0,30,0,0,85,10,19,8,0,239,0,631,11,22,98
2012-03-01,74,294,436,0,49,92,0,21,227,0,29,33,133,0,29,0,0,35,21,11,42,21,18,0,0,32,0,0,68,0,32,8,0,212,10,508,0,21,149
2012-04-01,52,340,395,0,22,110,0,11,200,0,38,18,125,0,39,0,0,44,11,0,18,0,18,0,0,11,0,0,85,10,88,31,0,100,0,554,11,40,114
2012-05-01,72,294,324,0,24,94,9,10,140,0,53,22,100,0,62,0,15,21,0,0,10,10,41,0,0,21,0,0,70,0,45,16,0,36,0,600,0,31,105
