date,google hangouts privacy,who can see my snapchat story,most private browser,best anonymous browser,how to browse anonymously,search without history,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to unfriend someone on instagram,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy youtube,how to encrypt emails,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,37,0,75,100,174,253,37,0,500,0,0,146,0,0,0,57,0,74,0,0,0,74,0,61,0,75,0,37,122,61,75,111,0,37,519,37,0
2011-02-01,0,0,79,118,118,153,0,0,534,0,0,91,0,0,0,79,0,40,39,0,0,65,0,90,40,40,0,98,115,90,63,105,0,40,469,39,0
2011-03-01,0,0,48,60,153,195,35,0,456,0,0,141,0,0,0,59,0,71,0,0,0,53,0,116,0,35,34,106,93,116,44,105,0,35,419,35,0
2011-04-01,0,0,0,177,114,124,38,0,467,0,0,214,0,0,0,39,0,76,0,0,0,51,0,100,0,55,34,58,86,100,63,114,0,38,438,75,0
2011-05-01,0,0,89,94,105,253,47,0,500,0,36,232,0,0,0,71,0,36,0,0,0,60,0,95,35,85,67,82,72,95,119,105,0,35,625,53,34
2011-06-01,0,0,53,98,231,142,36,0,578,0,0,337,0,0,0,0,0,37,0,0,0,73,0,132,0,110,75,166,72,132,75,127,37,37,388,36,0
2011-07-01,0,0,71,96,240,295,0,0,356,0,36,201,0,0,0,72,0,37,37,0,0,0,0,61,0,145,34,193,122,61,94,96,0,96,294,36,34
2011-08-01,0,0,46,45,227,136,34,0,667,0,104,273,0,0,0,51,35,35,0,0,0,35,0,137,0,90,0,93,86,137,57,114,0,34,369,45,0
2011-09-01,0,0,67,200,209,271,0,0,467,0,32,251,0,0,0,89,0,33,0,0,0,56,0,100,0,55,0,135,150,100,88,111,0,34,463,33,34
2011-10-01,31,0,63,94,218,100,0,0,689,0,48,341,0,0,0,32,0,74,0,0,0,47,0,166,30,155,34,32,115,166,94,218,0,126,394,47,0
2011-11-01,32,0,32,64,127,148,63,0,689,0,64,210,0,0,0,43,0,32,0,32,0,32,0,137,30,115,0,95,122,137,125,64,0,64,250,47,45
2011-12-01,0,0,48,43,166,224,31,0,600,0,32,369,0,0,0,48,0,63,0,0,0,31,0,135,0,185,34,53,72,135,94,83,0,47,257,31,0
2012-01-01,0,0,95,173,240,271,43,0,545,0,28,455,0,0,0,58,0,29,0,0,0,58,0,182,0,165,0,66,322,182,482,105,0,57,388,38,34
2012-02-01,0,0,138,120,305,359,39,0,400,0,76,428,0,0,0,30,0,30,0,0,0,79,0,256,0,225,25,50,715,256,625,103,30,60,263,39,0
2012-03-01,28,0,140,130,244,200,56,0,578,0,76,351,0,0,0,113,58,48,0,0,0,85,0,195,0,180,0,85,422,195,557,94,0,57,400,28,34
2012-04-01,0,0,87,60,292,230,29,0,512,0,100,328,0,0,0,49,0,49,0,0,0,30,0,137,30,225,25,235,150,137,263,116,29,108,307,44,0
2012-05-01,0,0,97,64,248,271,27,0,356,0,140,264,0,0,41,27,28,110,0,0,0,55,0,190,25,185,0,119,58,190,94,55,0,82,282,41,0
2012-06-01,42,0,57,66,244,336,38,0,656,0,212,373,0,0,43,43,28,58,0,0,0,114,0,132,0,210,25,85,86,132,132,85,28,57,369,85,0
2012-07-01,28,0,55,83,335,395,28,0,623,0,84,214,0,0,56,57,0,0,0,0,0,47,0,103,0,235,0,177,122,103,119,140,0,57,350,28,45
2012-08-01,56,0,93,94,279,306,28,0,600,30,188,219,0,0,0,111,28,38,0,0,0,43,0,156,0,225,25,93,72,156,100,92,0,111,275,28,56
2012-09-01,0,0,63,73,283,312,28,0,500,30,112,246,0,0,82,47,28,55,0,0,0,69,0,145,25,240,25,100,100,145,94,92,0,55,207,55,45
2012-10-01,50,0,57,100,240,318,41,0,667,0,140,314,0,0,25,50,33,99,25,0,0,74,0,90,75,250,25,166,115,90,132,116,0,67,244,33,34
2012-11-01,25,0,0,109,266,265,33,0,545,0,188,382,0,0,50,51,25,42,25,0,0,51,0,124,50,260,50,143,93,124,119,74,0,50,350,63,56
2012-12-01,25,0,75,135,235,312,51,0,723,75,196,351,0,50,25,0,25,64,25,0,0,26,0,177,35,305,0,161,122,177,107,118,0,50,294,42,23
2013-01-01,23,0,46,115,296,300,45,0,678,45,132,337,0,39,46,31,23,35,0,0,0,54,0,158,35,455,0,114,115,158,150,61,23,69,444,53,23
2013-02-01,25,0,124,100,235,295,38,0,567,25,176,214,0,25,25,42,38,51,25,50,24,75,0,243,25,300,25,150,108,243,100,100,0,34,388,100,34
2013-03-01,22,0,89,120,300,330,45,0,678,35,136,273,0,22,67,53,23,46,53,0,0,53,0,193,45,355,0,122,100,193,163,90,0,102,382,52,23
2013-04-01,46,0,99,160,279,365,30,0,612,45,108,346,23,54,68,23,23,38,0,0,24,38,0,203,35,320,42,114,129,203,88,105,0,46,319,68,23
2013-05-01,81,0,67,149,296,259,44,0,689,40,212,323,0,125,78,30,38,22,67,0,24,56,0,111,20,350,25,119,115,111,113,96,0,67,425,33,23
2013-06-01,53,0,99,137,266,395,53,0,734,60,232,241,0,129,68,39,45,46,137,0,24,35,0,137,55,405,0,61,115,137,125,107,23,152,494,45,34
2013-07-01,60,0,89,128,200,448,45,0,889,90,228,264,0,60,82,68,23,46,217,0,0,78,0,140,100,480,25,82,79,140,119,90,22,67,419,22,34
2013-08-01,59,0,97,135,305,465,44,0,867,75,264,264,0,37,22,60,33,22,156,22,24,74,0,103,115,380,25,90,172,103,113,148,22,67,282,22,45
2013-09-01,22,0,65,160,283,395,44,0,789,80,244,310,44,22,29,44,38,55,198,0,0,44,0,161,150,380,34,82,72,161,175,109,22,73,313,29,23
2013-10-01,0,106,69,124,214,336,28,0,756,85,252,300,0,20,28,21,43,21,173,0,20,83,0,150,110,185,17,98,122,150,132,77,21,49,275,31,34
2013-11-01,49,100,97,147,183,389,56,0,778,95,220,237,0,42,31,57,28,57,120,63,20,63,0,140,170,285,34,85,143,140,119,118,28,57,244,42,34
2013-12-01,85,130,120,98,300,406,53,0,934,100,308,273,43,64,56,57,33,71,212,0,20,64,0,148,185,325,42,56,115,148,157,50,21,78,238,49,56
2014-01-01,72,153,85,164,287,395,30,0,1023,105,192,351,20,34,20,80,45,40,164,20,20,33,0,119,250,460,42,79,129,119,188,111,39,40,213,29,56
2014-02-01,72,148,51,115,344,342,36,0,967,80,212,414,22,44,43,43,58,65,189,0,20,55,0,179,220,360,34,116,129,179,188,66,22,108,382,43,34
2014-03-01,77,118,83,124,270,312,39,0,867,45,288,373,0,25,26,39,40,59,181,19,20,39,0,193,235,420,17,66,93,193,88,148,29,84,244,26,45
2014-04-01,80,189,87,154,366,295,33,0,956,60,216,278,30,30,27,21,40,47,181,20,39,54,0,193,320,305,42,74,136,193,100,114,40,67,194,60,34
2014-05-01,67,224,120,107,240,306,34,0,845,330,204,305,62,60,87,41,80,68,237,0,58,61,0,114,330,375,75,135,150,114,119,100,34,70,269,33,45
2014-06-01,67,130,97,83,348,342,33,0,800,145,264,382,37,67,45,30,53,46,217,22,24,23,0,140,240,500,67,164,108,140,88,96,30,60,269,52,45
2014-07-01,58,200,167,96,435,483,33,0,823,110,168,360,23,34,77,66,78,33,242,0,34,58,0,124,325,380,25,169,79,124,107,59,22,76,282,29,56
2014-08-01,51,159,124,139,292,400,33,0,945,80,280,369,44,22,55,33,23,22,189,0,43,22,0,161,205,410,42,264,100,161,132,66,22,44,169,54,89
2014-09-01,70,206,126,132,266,365,35,0,1067,85,168,278,22,42,42,42,33,32,253,0,43,32,0,229,305,345,92,190,93,229,107,105,42,119,263,56,89
2014-10-01,66,183,177,139,335,483,26,0,912,115,188,205,22,54,60,60,53,40,225,0,24,40,0,185,315,245,109,119,108,185,113,92,46,87,219,59,34
2014-11-01,34,153,114,124,257,389,48,0,956,130,180,305,36,75,41,41,73,48,259,0,20,41,0,264,305,370,834,143,158,264,125,129,61,75,238,20,67
2014-12-01,67,148,159,147,292,389,50,0,789,90,244,251,34,40,40,34,40,30,200,20,29,21,0,132,280,240,275,122,115,132,132,81,47,67,219,40,56
