date,how to browse anonymously,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to delete a youtube account,how to delete a instagram account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,google hangouts privacy,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Gmail privacy,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,how to unfollow on Instagram,how to unfollow on twitter,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,39,126,0,0,67,17,17,262,0,110,0,0,120,306,0,0,28,0,0,147,0,0,14,12,0,12,0,25,0,8,0,0,17,0,0,11,0,300,17,0,11,23,11,0,143,0,116,8,0
2011-02-01,44,146,0,0,54,23,15,285,0,110,0,0,125,336,0,9,36,0,0,147,0,0,30,9,0,17,0,9,9,0,0,0,14,0,0,35,0,286,18,0,13,18,35,0,162,9,157,9,0
2011-03-01,42,107,0,0,107,18,13,331,0,146,0,0,125,330,0,0,28,0,0,160,0,0,13,8,0,10,0,0,8,8,0,0,16,0,0,16,0,300,11,0,24,20,16,0,196,12,91,0,0
2011-04-01,25,139,0,0,94,8,25,300,0,119,8,0,113,330,0,0,46,0,0,207,0,0,8,14,0,8,0,11,0,0,0,0,21,0,0,28,0,258,17,10,9,31,28,0,215,8,110,17,8
2011-05-01,34,104,0,8,180,32,29,262,0,164,8,0,123,300,0,0,71,0,0,167,0,0,13,8,0,16,0,16,0,0,0,0,16,0,0,18,0,286,9,17,31,21,18,0,220,16,113,8,8
2011-06-01,68,171,0,0,174,16,19,354,7,191,8,0,135,259,0,14,66,0,9,220,0,0,19,16,8,16,0,16,0,0,0,0,19,0,0,22,0,265,12,8,16,17,22,10,258,11,104,0,0
2011-07-01,54,155,0,0,154,13,21,454,0,273,0,0,105,312,0,9,57,0,0,247,0,0,13,8,8,13,0,8,8,0,8,0,11,0,0,16,0,229,17,0,65,24,16,10,248,21,88,12,8
2011-08-01,41,155,0,0,154,8,11,424,0,246,8,0,143,365,0,16,64,0,0,287,0,0,25,11,0,8,0,8,0,0,0,0,8,0,0,25,0,215,18,8,38,15,25,10,310,15,94,13,0
2011-09-01,62,162,0,0,167,12,17,447,7,246,0,0,93,365,0,22,55,0,0,274,0,0,22,11,7,10,0,7,0,0,0,0,22,9,0,22,0,272,26,0,17,30,22,10,239,7,90,0,8
2011-10-01,49,149,0,0,320,14,18,431,14,282,11,0,155,318,0,14,69,0,6,254,0,0,17,28,0,7,0,14,0,7,7,0,0,0,0,16,0,272,19,0,11,19,16,19,258,7,61,17,0
2011-11-01,26,171,0,0,340,0,19,470,14,355,14,0,153,306,0,7,57,0,6,154,0,0,24,14,7,12,0,14,0,0,7,0,11,14,0,21,0,250,17,8,11,24,21,19,296,11,47,11,0
2011-12-01,37,242,0,0,234,14,14,477,14,346,7,0,130,348,0,14,92,0,18,247,0,7,14,7,0,14,0,14,0,0,0,0,14,9,0,26,0,258,35,0,11,17,26,28,372,14,54,7,8
2012-01-01,72,223,0,6,187,32,23,462,20,401,10,0,130,342,0,16,107,0,9,307,0,0,28,13,0,19,0,0,0,0,0,0,25,5,0,34,0,436,34,0,17,75,34,28,381,26,71,6,8
2012-02-01,78,220,0,0,194,33,24,385,27,364,13,0,110,265,0,11,127,0,12,340,0,0,16,7,0,13,7,13,0,0,0,0,26,9,0,58,7,600,56,7,26,124,58,37,391,11,75,11,0
2012-03-01,54,271,0,0,187,33,27,354,20,382,6,0,128,383,0,14,68,0,18,287,0,0,25,21,6,15,6,13,0,0,0,0,22,5,0,48,0,543,32,7,23,94,48,55,329,9,82,6,8
2012-04-01,81,197,0,13,240,23,9,516,67,464,7,0,128,306,0,11,75,0,24,347,0,6,35,15,6,11,13,9,0,0,7,0,11,9,0,37,0,315,53,0,59,35,37,110,339,20,75,7,8
2012-05-01,73,213,0,18,274,12,20,477,67,410,0,0,120,312,0,9,75,0,48,380,0,12,18,14,6,18,6,36,0,0,6,0,12,5,0,45,0,286,46,0,26,30,45,137,358,15,83,6,8
2012-06-01,59,197,0,9,294,6,21,554,114,573,6,0,148,336,0,7,94,0,77,400,0,8,11,10,0,13,6,6,6,0,16,0,10,5,0,38,0,243,60,0,17,23,38,210,405,0,80,10,0
2012-07-01,73,233,0,9,300,12,29,593,134,546,19,0,123,436,0,14,61,0,100,387,0,6,19,19,0,19,0,19,0,0,6,0,10,0,0,19,0,250,53,0,56,17,19,282,467,10,69,8,8
2012-08-01,59,249,0,20,314,12,19,577,154,673,12,0,150,406,7,20,52,0,83,287,0,6,19,9,6,9,6,9,6,0,6,0,10,9,0,33,6,243,39,7,19,23,33,328,381,9,60,9,0
2012-09-01,57,278,0,88,267,12,16,500,127,673,6,0,128,471,0,27,57,0,103,234,0,9,18,12,9,12,0,12,0,0,0,0,10,14,0,37,0,300,52,7,12,29,37,300,339,12,57,6,8
2012-10-01,65,220,0,90,327,7,19,416,114,537,9,0,123,424,0,11,61,0,83,394,0,6,20,17,8,11,11,8,6,0,6,0,6,14,0,28,0,258,50,7,34,24,28,328,396,6,63,6,8
2012-11-01,47,226,0,54,300,8,28,539,107,537,11,0,140,383,0,20,68,0,86,554,0,8,28,8,7,8,0,11,6,0,6,7,8,14,0,43,6,250,62,7,30,25,43,337,477,13,72,11,5
2012-12-01,62,288,0,62,314,30,34,493,200,564,8,0,150,406,12,16,103,0,115,194,11,8,26,17,6,6,6,6,6,0,6,0,9,435,0,24,0,315,61,0,32,18,24,437,372,11,63,6,13
2013-01-01,60,291,0,59,427,13,22,639,234,682,9,0,160,336,11,70,80,0,133,180,8,10,17,12,18,13,10,8,0,0,8,0,13,135,0,44,0,272,87,0,27,24,44,455,453,10,88,9,8
2013-02-01,62,304,0,37,487,17,25,547,234,664,11,0,128,412,0,55,59,0,150,160,0,6,28,13,6,15,11,9,6,0,6,0,11,48,0,47,0,358,59,7,47,38,47,482,386,11,79,13,15
2013-03-01,63,268,0,56,434,20,24,531,194,564,12,0,135,365,5,98,65,0,156,527,12,13,28,10,7,7,7,10,7,0,5,6,8,35,0,35,0,315,77,0,22,23,35,455,353,12,63,10,8
2013-04-01,75,265,0,36,400,15,19,562,240,491,8,0,148,371,11,166,80,0,168,187,10,8,27,14,5,8,5,5,0,0,5,0,7,35,0,53,5,300,80,5,26,23,53,455,343,15,60,12,5
2013-05-01,60,239,0,53,420,25,38,524,247,564,5,0,160,383,13,94,76,0,148,220,21,10,23,13,5,10,8,8,22,0,22,6,10,27,0,33,0,279,83,0,22,28,33,437,343,10,97,10,10
2013-06-01,70,239,0,47,574,29,34,562,314,610,26,0,180,453,16,55,63,0,145,207,28,15,14,46,5,10,9,10,31,0,14,6,5,18,0,31,0,350,100,5,14,31,31,455,315,24,91,14,5
2013-07-01,55,313,0,57,660,25,32,654,280,591,12,0,190,436,31,90,83,0,195,540,12,13,23,20,0,7,5,5,45,0,13,6,8,27,0,35,0,293,103,5,27,29,35,600,367,23,100,10,8
2013-08-01,58,323,0,56,514,30,42,770,314,537,0,0,210,436,18,140,46,0,168,307,10,12,38,23,5,7,7,5,33,0,10,6,18,31,0,28,5,715,102,20,22,44,28,555,334,18,60,5,10
2013-09-01,63,262,0,39,507,20,28,539,240,519,0,0,208,424,16,118,76,5,171,214,7,12,28,22,10,10,12,8,24,0,6,0,5,44,0,21,5,329,74,8,27,14,21,473,320,24,68,5,8
2013-10-01,46,265,23,20,460,19,31,454,214,546,19,0,183,453,21,46,73,5,98,174,5,8,17,20,5,5,9,14,43,14,7,6,11,40,0,31,0,458,52,5,30,35,31,373,358,14,63,11,8
2013-11-01,49,255,25,35,480,24,32,447,180,482,13,0,183,512,16,66,45,0,159,387,5,14,27,26,5,8,5,9,44,14,19,6,13,14,0,41,5,379,56,10,21,33,41,446,248,12,61,6,10
2013-12-01,51,294,36,41,554,24,27,531,280,528,8,0,190,542,16,109,52,0,198,514,9,19,21,19,5,9,7,12,38,0,9,6,17,83,0,38,5,329,65,7,27,34,38,464,258,11,52,14,10
2014-01-01,66,278,32,38,580,22,32,539,300,701,7,0,233,530,18,183,65,4,174,220,7,10,27,25,4,9,10,6,41,4,13,0,9,70,0,34,4,408,97,10,19,35,34,519,329,13,55,9,13
2014-02-01,59,255,30,35,500,16,34,493,260,655,6,0,175,471,20,135,74,5,148,180,6,5,24,26,5,7,19,8,43,5,14,8,7,22,0,35,5,350,82,5,19,21,35,446,334,16,71,11,5
2014-03-01,71,246,36,31,654,20,22,485,287,655,7,0,203,453,16,92,70,4,124,180,6,9,21,30,7,6,10,9,42,0,21,5,17,305,0,46,0,379,83,7,22,15,46,464,296,16,41,6,8
2014-04-01,60,252,46,19,667,16,39,447,260,564,7,0,198,483,11,118,75,4,195,447,9,9,24,12,6,7,7,19,51,4,19,5,9,27,0,42,5,365,89,8,15,30,42,582,315,24,50,15,8
2014-05-01,49,210,54,31,500,31,21,408,300,582,9,0,185,436,89,142,65,10,183,427,7,12,26,13,4,9,20,15,46,5,19,5,18,22,0,39,0,308,84,11,26,29,39,491,305,11,60,9,10
2014-06-01,78,197,28,40,440,13,20,416,314,628,10,0,183,412,22,216,84,7,162,220,5,10,27,20,10,20,7,5,42,5,12,6,8,31,0,27,15,336,100,11,37,20,27,510,343,18,55,10,13
2014-07-01,100,220,40,42,507,23,21,547,380,782,11,0,170,501,14,218,66,10,198,167,5,6,24,24,11,8,15,12,42,0,16,0,8,27,0,23,5,300,73,10,31,13,23,628,320,16,65,12,15
