date,how to delete a youtube account,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete twitter,how to delete youtube,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,34,13,17,0,0,9,2,2,5,8,228,0,0,33,15,0,139,347,0,88,15,41,0,0,0,4,0,0,19,0,0,2,2,0,0,2,0,3,0,1,0,20,2,0,0,1,0,175,41,0,1,0,63,1,3,1,0,3,0,0,18,0,0,11,1,0
2011-02-01,37,11,19,0,0,7,3,2,7,5,191,0,0,26,15,0,147,324,0,82,16,44,0,0,1,5,0,0,20,0,0,4,1,0,0,2,0,1,1,0,0,32,2,0,0,5,0,141,39,1,2,0,75,2,2,5,0,3,0,0,21,0,1,19,1,0
2011-03-01,43,11,14,0,0,14,2,2,6,5,176,0,0,33,20,0,170,362,0,82,16,44,0,0,0,4,0,0,21,0,0,2,1,0,0,1,0,0,1,1,0,28,2,0,0,2,0,141,40,0,2,0,74,3,3,2,0,3,0,0,25,0,2,11,0,0
2011-04-01,39,7,18,0,0,13,1,3,4,7,167,0,0,37,17,1,200,370,0,74,15,44,0,1,0,6,0,0,27,0,0,1,2,0,0,1,0,1,0,0,0,28,3,0,0,4,0,138,34,0,1,1,78,1,4,4,0,3,0,0,28,0,1,15,2,1
2011-05-01,34,9,14,0,1,24,4,4,5,8,179,0,0,44,23,1,216,362,0,69,16,40,0,1,0,9,0,0,22,0,0,2,1,0,0,2,0,2,0,0,0,28,2,0,0,3,0,149,39,0,1,2,59,4,3,2,0,4,0,0,28,0,2,15,1,1
2011-06-01,46,12,22,0,0,23,2,2,9,3,191,0,1,49,26,1,247,500,0,80,17,35,0,0,2,9,0,1,29,0,0,2,2,1,0,2,0,2,0,0,0,20,2,0,0,3,0,167,36,0,2,1,70,2,2,3,0,2,2,0,33,1,1,12,0,0
2011-07-01,59,8,20,0,0,20,2,3,7,9,228,0,0,68,38,0,308,539,0,105,14,42,0,1,1,7,0,0,32,0,0,2,1,1,0,2,0,1,1,0,0,32,1,0,0,3,0,145,30,0,2,0,63,8,3,2,0,1,2,0,32,0,3,11,2,1
2011-08-01,55,14,20,0,0,21,1,1,5,3,264,0,0,58,34,1,277,554,0,104,19,48,0,1,2,8,0,0,38,0,0,3,2,0,0,1,0,1,0,0,0,28,1,0,0,4,0,219,29,0,2,1,69,5,2,3,0,3,2,0,40,0,2,12,2,0
2011-09-01,58,38,21,0,0,23,2,2,8,8,243,0,1,69,34,0,247,524,0,100,12,48,0,1,3,7,0,0,36,0,0,3,1,1,0,1,0,1,0,0,0,24,3,1,0,3,0,371,36,0,5,0,108,2,4,3,0,3,2,0,31,0,1,11,0,1
2011-10-01,56,33,19,0,0,43,2,2,7,6,270,0,2,61,39,1,300,516,0,96,20,42,0,2,2,9,0,1,33,0,0,2,4,0,1,1,0,2,0,1,0,24,0,0,0,2,0,249,36,1,1,0,93,1,2,2,0,3,3,0,33,0,1,9,2,0
