date,how to encrypt whatsapp,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages
2011-01-01,0,27,41,0,0,24,3,7,10,22,667,78,0,0,110,31,3,0,246,39,118,0,0,0,6,0,0,60,0,0,9,6,0,0,4,0,9,0,3,0,5,0,0,5,0,114,0,4,0,235,6,14,5,0,6,0,0,62,0,0,32,3
2011-02-01,0,29,50,0,0,21,8,5,14,12,550,98,0,0,90,47,3,0,210,47,113,0,0,0,9,0,0,55,0,0,13,3,0,0,5,0,3,0,0,0,5,0,0,9,0,90,0,3,0,197,3,10,9,0,9,0,0,65,0,3,49,3
2011-03-01,0,39,46,0,0,47,4,6,18,13,484,126,0,0,107,66,3,0,228,40,137,0,0,0,18,0,0,80,0,0,4,3,0,0,3,0,3,0,3,0,3,0,0,9,0,111,0,3,0,227,7,6,9,0,3,4,0,73,0,6,35,3
2011-04-01,3,16,35,0,0,47,3,13,13,19,442,83,0,0,120,50,5,0,201,40,118,0,0,5,31,0,0,85,0,0,13,6,0,0,3,0,6,0,0,0,5,0,0,8,0,95,0,5,0,224,4,12,8,0,7,0,0,86,0,5,37,3
2011-05-01,3,29,51,0,0,59,5,7,13,17,476,89,0,0,127,66,4,0,214,39,107,0,0,0,26,0,0,60,0,0,8,6,0,0,4,0,0,0,0,0,7,0,0,13,0,106,3,9,0,204,7,8,13,0,9,0,0,107,0,3,62,3
2011-06-01,0,36,61,0,0,83,3,6,25,14,534,155,0,0,144,74,3,0,223,56,105,0,0,5,14,0,3,88,0,0,7,0,3,0,6,0,6,0,0,0,5,0,0,9,0,87,0,9,3,231,9,5,9,0,8,4,0,110,0,5,38,3
2011-07-01,3,27,56,0,0,62,4,4,23,26,625,192,0,0,197,108,0,0,305,37,113,0,0,6,19,0,0,98,0,0,5,7,3,3,6,0,0,3,0,0,5,0,0,5,0,95,0,6,3,185,20,4,5,0,11,4,0,99,0,4,36,9
2011-08-01,0,48,80,0,0,59,4,6,10,13,734,186,0,0,180,89,3,0,346,50,147,0,0,4,30,0,0,113,0,0,4,4,0,0,3,0,0,0,0,0,3,0,0,10,0,95,0,6,3,197,8,6,10,0,9,0,0,105,0,3,43,5
2011-09-01,0,108,60,0,0,57,6,15,16,24,659,149,0,3,207,85,0,0,337,42,130,0,3,8,20,0,0,115,0,0,6,0,3,0,5,0,6,0,0,0,6,0,0,12,0,119,3,5,0,285,6,12,12,0,9,4,0,86,0,3,34,4
2011-10-01,0,91,59,0,0,111,5,7,21,15,767,135,0,5,170,127,0,0,246,53,115,0,3,5,23,0,0,88,0,0,9,9,0,3,3,0,3,0,0,0,7,0,0,10,0,100,0,10,3,285,5,9,10,0,10,4,0,110,0,18,30,5
2011-11-01,3,88,70,0,0,147,0,8,9,19,834,172,0,3,204,131,5,0,228,68,124,0,5,3,22,0,5,58,0,0,7,7,0,3,3,0,3,0,0,0,3,0,0,6,0,103,3,5,3,293,5,13,6,0,11,4,0,94,0,4,24,4
2011-12-01,3,74,100,0,0,85,11,5,16,18,775,198,0,5,187,139,0,0,291,57,143,0,3,3,36,0,3,85,0,3,4,5,0,0,5,0,4,0,0,0,3,4,0,5,0,106,0,9,0,316,6,6,5,0,10,7,0,138,0,3,31,3
2012-01-01,0,68,80,0,2,65,9,9,34,20,826,169,0,8,224,154,2,0,273,45,124,0,0,4,39,0,4,113,0,0,7,5,0,0,5,0,3,0,0,0,10,5,0,15,0,173,0,15,0,362,3,30,15,0,36,10,0,136,0,7,36,2
2012-02-01,0,71,97,0,0,67,7,9,27,23,809,169,0,12,154,139,5,0,232,45,107,0,5,4,37,0,5,115,0,0,10,5,2,0,5,2,3,0,0,0,7,4,0,15,2,236,0,15,4,385,7,45,15,2,54,10,0,146,0,6,24,5
2012-03-01,2,62,118,0,5,83,11,6,27,20,809,152,0,8,144,147,2,0,228,49,132,0,11,2,26,0,6,115,0,0,7,6,2,5,7,2,2,0,0,0,11,0,0,17,0,214,0,23,0,327,11,41,17,0,52,24,0,120,0,6,24,0
2012-04-01,2,65,83,0,5,98,6,5,20,23,600,186,0,31,154,150,2,0,241,40,128,0,10,6,42,0,11,145,0,3,18,4,5,2,5,2,2,0,0,0,3,5,0,11,0,119,2,14,2,293,28,14,11,0,21,44,0,121,0,5,28,4
2012-05-01,2,77,78,0,2,98,7,6,24,23,534,200,2,36,160,166,0,0,205,41,122,0,8,5,24,0,18,140,0,2,7,7,0,0,6,5,16,0,2,0,5,4,0,15,0,111,2,16,2,189,11,7,15,0,14,60,0,139,0,3,23,2
2012-06-01,0,68,80,0,4,90,6,9,24,25,567,215,2,39,174,212,2,0,210,46,137,0,15,2,42,0,31,163,0,5,6,6,0,2,5,2,2,2,2,0,2,7,0,7,0,109,0,16,0,200,7,5,7,0,10,74,0,155,0,7,27,3
2012-07-01,3,64,83,0,2,113,6,10,28,24,775,232,4,36,184,227,5,0,191,55,160,0,7,6,21,0,38,155,0,0,9,8,0,0,5,0,5,0,0,2,4,2,0,9,0,100,2,19,0,274,9,8,9,0,10,120,0,155,0,4,29,4
2012-08-01,2,105,107,0,5,118,5,8,20,22,709,260,8,46,220,254,2,0,228,54,145,2,17,6,18,0,29,98,0,0,6,2,2,0,3,2,3,2,0,0,4,4,0,15,0,90,0,18,2,212,9,10,15,0,15,107,0,152,2,5,23,4
2012-09-01,5,141,109,0,45,98,2,5,22,29,617,198,6,48,194,224,2,0,205,48,173,2,8,3,18,0,33,85,0,5,7,5,3,0,7,2,2,0,0,2,5,7,0,15,0,109,0,24,2,224,6,9,15,0,8,117,2,138,0,4,10,4
2012-10-01,4,139,77,0,31,131,8,8,21,31,517,172,10,43,164,204,4,0,182,52,162,0,10,2,33,0,36,160,0,0,8,5,5,2,6,2,7,2,0,0,3,7,0,10,0,95,6,14,2,254,10,9,10,0,13,117,0,144,0,4,22,4
2012-11-01,2,99,82,0,23,111,3,8,15,20,675,200,51,39,170,212,3,0,228,48,137,0,15,6,27,0,30,205,2,2,6,4,3,0,3,2,3,0,0,2,4,4,0,13,2,111,2,25,3,324,10,8,13,2,13,120,12,162,2,2,28,3
