date,most private browser,how to browse anonymously,how to uninstall gmail,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfriend someone on instagram,delete hangout history,how to encrypt whatsapp messages
2011-01-01,25,94,225,19,18,0,0,0
2011-02-01,45,62,270,0,44,0,0,0
2011-03-01,48,64,220,0,66,0,0,0
2011-04-01,17,60,140,19,140,0,0,0
2011-05-01,65,73,190,32,140,0,0,0
2011-06-01,42,132,285,19,110,0,0,0
2011-07-01,17,173,200,23,100,0,0,0
2011-08-01,39,124,280,14,157,0,0,0
2011-09-01,38,128,185,14,130,0,0,0
2011-10-01,43,94,335,23,96,0,0,0
2011-11-01,0,58,335,0,100,0,0,0
2011-12-01,21,98,325,14,208,0,0,0
2012-01-01,39,92,260,32,244,0,0,0
2012-02-01,47,147,130,14,210,0,0,0
2012-03-01,70,122,210,28,142,0,0,0
2012-04-01,27,126,260,28,222,0,0,0
2012-05-01,37,118,190,23,132,0,0,0
2012-06-01,65,147,270,14,149,19,0,14
2012-07-01,38,96,235,28,79,13,0,0
2012-08-01,25,94,270,37,140,13,13,0
2012-09-01,19,143,265,28,96,19,0,0
2012-10-01,23,126,290,23,149,11,0,0
2012-11-01,17,126,325,41,152,17,0,0
2012-12-01,52,92,335,41,174,34,11,12
2013-01-01,37,120,295,132,152,26,11,0
2013-02-01,29,98,240,105,127,12,13,12
2013-03-01,31,71,310,178,149,26,31,0
2013-04-01,31,135,315,341,100,31,10,0
2013-05-01,61,118,295,201,144,15,36,0
2013-06-01,31,166,395,119,147,21,63,0
2013-07-01,41,118,350,164,130,26,77,0
2013-08-01,82,113,350,328,103,15,52,10
2013-09-01,35,100,440,260,125,15,70,10
2013-10-01,33,88,350,91,142,19,52,10
2013-11-01,53,105,365,155,142,19,77,10
2013-12-01,91,96,460,210,108,34,91,10
2014-01-01,41,130,490,296,154,18,81,0
2014-02-01,39,147,365,296,188,10,113,10
2014-03-01,44,137,435,173,196,18,88,0
2014-04-01,46,149,325,228,125,41,77,0
2014-05-01,60,79,410,346,135,37,92,19
2014-06-01,61,147,320,373,159,21,92,12
2014-07-01,55,213,425,432,176,40,94,10
2014-08-01,35,128,355,428,176,20,80,21
2014-09-01,62,105,430,205,140,38,114,10
2014-10-01,36,118,405,182,113,18,116,19
2014-11-01,42,139,370,314,164,14,107,10
2014-12-01,77,173,420,405,130,27,77,23
2015-01-01,43,166,425,360,96,26,94,0
2015-02-01,56,111,410,228,81,14,98,0
2015-03-01,29,143,400,219,127,25,118,16
2015-04-01,65,143,360,260,127,22,113,0
2015-05-01,34,100,415,300,157,59,80,10
2015-06-01,51,145,460,455,152,26,98,10
2015-07-01,68,118,500,251,120,17,122,0
2015-08-01,63,162,490,146,105,17,121,10
2015-09-01,45,160,410,273,140,65,107,10
2015-10-01,74,169,375,278,93,12,81,16
2015-11-01,100,143,335,214,132,48,80,12
2015-12-01,52,77,435,160,103,28,97,10
2016-01-01,38,64,400,205,147,15,114,7
2016-02-01,38,126,410,337,113,31,46,7
2016-03-01,93,118,355,260,83,25,61,19
2016-04-01,67,92,325,169,115,26,63,228
2016-05-01,71,92,345,132,79,46,57,32
2016-06-01,63,141,330,269,108,37,59,48
2016-07-01,75,135,385,382,159,45,64,30
2016-08-01,47,90,410,246,118,25,33,26
2016-09-01,54,130,395,178,88,22,26,14
2016-10-01,72,152,355,160,110,28,42,12
2016-11-01,63,100,420,246,105,35,42,32
2016-12-01,35,145,380,351,88,24,31,35
2017-01-01,88,118,365,282,135,26,36,16
