date,how to delete snapchat,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete facebook,how to delete gmail,how to delete twitter,how to delete youtube,delete account instagram,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on instagram,how to unfriend someone on facebook,whatsapp security settings,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,skype encryption,how to encrypt whatsapp
2011-01-01,0,1,1,0,0,1,0,0,1,15,2,0,0,3,1,222,31,9,25,0,6,1,3,0,0,0,0,0,1,0,0,0,2,0,0,0,12,3,0,0,0,0,5,0,0,0,0,47,0,0,1,1,0
2011-02-01,0,1,1,0,0,0,0,0,0,13,3,0,0,2,1,204,30,10,23,0,6,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,10,2,0,0,0,0,5,0,0,0,0,38,0,0,2,1,0
2011-03-01,0,1,1,0,0,1,0,0,0,13,3,0,0,2,2,193,29,11,26,0,5,1,3,0,0,0,0,0,2,0,0,0,2,0,0,0,10,2,0,0,0,0,6,0,0,0,0,31,0,0,2,1,0
2011-04-01,0,0,1,0,0,1,0,0,0,12,3,0,0,3,1,208,35,13,25,0,5,1,3,0,0,0,0,0,2,0,0,0,2,0,0,0,10,3,0,0,0,0,5,0,0,0,0,30,0,0,2,1,0
2011-05-01,0,1,1,0,0,2,0,0,1,13,2,0,0,3,2,218,32,15,26,2,5,1,3,0,0,0,1,0,1,0,0,0,2,0,0,0,10,3,0,0,0,0,4,0,0,0,0,27,0,0,2,1,0
2011-06-01,0,1,2,0,0,2,0,1,0,14,3,0,0,3,2,236,37,16,34,2,6,1,3,0,0,0,0,0,2,0,0,0,2,0,0,0,11,2,0,0,0,0,5,0,0,0,0,31,0,0,2,1,0
2011-07-01,0,1,1,0,0,1,0,1,1,16,4,0,0,5,2,258,43,19,40,2,7,1,3,0,0,0,1,0,3,0,0,0,2,0,0,0,9,2,0,0,0,0,4,0,0,0,0,33,0,0,2,1,0
2011-08-01,0,1,1,0,0,1,0,0,0,18,4,0,0,4,2,311,41,19,39,2,7,1,3,0,0,0,1,0,3,0,0,0,2,0,0,0,14,2,0,0,0,0,5,0,0,0,0,33,0,0,2,1,0
2011-09-01,0,3,2,0,0,2,0,1,1,18,4,0,0,5,2,304,42,16,37,2,7,1,3,0,0,0,1,0,3,0,0,0,2,0,0,0,24,3,0,0,0,0,8,0,0,0,0,35,0,0,2,1,0
2011-10-01,0,2,1,0,0,3,0,0,0,18,4,0,0,4,3,308,38,20,34,2,6,1,3,0,0,0,1,0,2,0,0,0,2,0,0,0,18,2,0,0,0,0,7,0,0,0,0,38,0,0,2,1,0
2011-11-01,0,2,1,0,0,3,0,0,0,21,4,0,0,5,4,322,40,23,37,2,5,1,3,0,0,0,0,0,1,0,0,0,2,0,0,0,15,2,0,0,0,0,7,0,0,0,0,37,0,0,2,0,0
2011-12-01,0,2,3,0,0,2,0,0,1,20,4,0,0,5,3,358,43,24,50,4,7,1,3,0,0,0,0,0,2,0,0,0,1,0,0,0,14,3,0,0,0,0,7,0,0,0,0,46,0,0,3,1,0
2012-01-01,0,2,2,0,0,2,0,1,1,21,4,0,0,4,4,350,43,28,45,5,6,1,3,0,0,0,1,0,3,0,0,0,2,0,0,0,13,4,0,0,0,0,8,0,1,0,1,52,0,0,3,1,0
2012-02-01,0,2,2,0,0,2,0,1,1,21,3,0,0,4,4,354,37,26,40,4,6,1,2,0,0,0,1,0,3,0,0,0,3,0,0,1,13,6,0,0,0,0,8,0,1,1,1,46,0,0,3,1,0
2012-03-01,0,2,3,0,0,2,0,0,1,20,3,0,0,4,3,350,35,25,40,6,6,1,3,0,0,0,1,0,3,0,0,0,3,0,0,0,11,5,0,0,0,0,8,0,1,0,1,45,1,0,2,1,0
2012-04-01,0,2,2,0,0,2,0,1,1,14,5,0,1,4,4,325,38,31,41,15,5,1,3,0,0,0,1,0,3,0,0,0,3,0,0,0,13,2,0,0,0,0,6,0,0,0,0,51,1,0,3,1,0
2012-05-01,0,2,2,0,0,3,0,1,0,13,4,0,1,4,4,308,37,29,39,14,5,1,3,0,0,0,1,0,3,0,0,0,2,0,0,0,13,3,0,0,0,0,4,0,0,0,0,52,2,0,3,1,0
2012-06-01,0,2,2,0,0,3,0,0,0,15,5,0,1,4,5,300,40,35,42,15,5,1,3,0,0,0,1,1,4,0,0,0,3,0,0,0,13,2,0,0,0,0,4,0,0,0,0,54,2,0,4,1,0
2012-07-01,0,2,2,0,0,3,0,1,1,20,5,0,1,5,5,300,44,43,45,16,5,1,4,0,0,0,0,1,3,0,0,0,2,0,0,0,11,2,0,0,0,0,6,0,0,0,0,51,3,0,4,1,0
2012-08-01,1,3,2,0,0,3,0,1,0,18,5,0,1,6,6,325,47,40,45,16,5,1,4,0,0,0,0,1,3,0,0,0,1,0,0,0,16,2,0,0,0,0,5,0,0,0,0,54,3,0,4,1,0
2012-09-01,1,4,2,0,1,3,0,0,1,16,5,0,1,5,6,315,46,35,45,16,5,1,4,0,0,0,1,1,2,0,0,0,1,0,0,0,21,3,0,0,1,0,5,0,0,0,0,48,3,0,3,1,0
2012-10-01,2,4,2,0,1,3,0,1,1,13,4,0,1,4,5,279,41,35,42,18,5,1,4,0,0,0,0,1,4,0,0,0,3,0,0,0,21,2,0,0,0,0,6,0,0,0,0,50,3,0,3,1,0
2012-11-01,5,3,2,0,0,3,0,0,0,16,5,1,1,4,5,261,42,37,41,18,5,1,4,0,0,0,1,1,5,0,0,0,4,0,0,0,18,2,0,0,0,0,6,0,0,0,0,37,3,0,4,1,0
2012-12-01,8,2,2,0,1,3,0,1,1,17,5,1,2,4,5,286,47,43,52,33,5,1,4,0,0,0,1,1,2,0,0,0,4,4,0,0,19,3,0,0,1,0,6,0,0,0,0,26,4,0,3,1,0
2013-01-01,6,2,3,0,1,4,0,0,1,15,6,1,2,5,7,275,48,46,48,37,6,1,3,0,0,1,1,1,2,0,0,0,2,1,0,0,16,3,0,0,1,0,6,0,0,0,0,22,4,0,4,1,0
2013-02-01,5,2,3,0,0,5,0,1,1,14,5,1,2,5,6,254,48,41,48,39,5,1,3,0,0,0,0,1,1,0,0,0,3,0,0,0,16,3,0,0,1,0,6,0,0,0,0,20,4,0,3,1,0
2013-03-01,7,2,2,0,1,4,0,1,1,15,5,1,2,4,5,240,49,40,46,24,4,1,3,0,0,1,1,1,5,0,0,0,2,0,0,0,20,3,0,0,1,0,6,0,0,0,0,18,4,1,3,1,0
2013-04-01,11,2,2,0,0,4,0,1,1,16,5,1,2,5,5,229,51,38,46,23,5,1,3,0,0,1,1,1,2,0,0,0,2,0,0,0,14,3,0,0,1,0,5,0,0,0,0,18,4,1,3,1,0
2013-05-01,14,2,2,0,0,4,0,1,0,12,5,1,2,6,6,222,51,36,46,28,5,1,3,0,0,1,1,1,2,0,0,0,2,0,0,0,14,3,0,0,1,0,5,0,0,0,0,16,4,1,3,1,0
