date,How to make tweets private,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a twitter account,how to delete pokemongo,how to uninstall gmail,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,skype privacy policy,whatsapp security settings,can someone read my text messages from their phone,google hangouts privacy,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,Gmail privacy,private instagram posts,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption
2011-01-01,10,66,100,0,57,11,18,33,57,200,91,0,96,0,0,31,0,150,0,0,23,15,10,0,8,0,0,13,0,0,13,280,0,0,519,15,35,13,0,152,0,0,82
2011-02-01,8,69,122,0,50,13,12,35,35,243,91,0,114,0,0,19,0,138,0,0,32,8,13,0,0,0,0,13,0,0,21,220,0,0,491,8,25,21,0,160,0,8,105
2011-03-01,7,94,113,0,113,15,14,41,38,300,155,0,98,0,0,41,0,200,0,0,10,7,7,0,7,0,0,7,0,0,22,274,0,0,519,17,15,22,0,180,0,14,89
2011-04-01,12,38,85,0,113,8,31,34,46,229,128,0,98,0,11,52,0,213,0,0,31,15,8,0,0,0,0,12,0,0,21,234,0,0,491,10,29,21,0,212,0,12,83
2011-05-01,22,69,125,0,144,15,17,32,40,236,146,0,94,0,0,54,0,150,0,0,19,15,10,0,0,0,0,18,0,0,32,260,7,0,464,17,20,32,0,264,0,7,124
2011-06-01,23,87,149,0,200,8,15,53,48,379,173,0,136,0,11,50,0,219,0,0,18,0,15,0,0,0,0,13,0,0,23,214,0,7,510,22,11,23,0,272,0,11,96
2011-07-01,15,66,137,0,150,15,10,55,57,458,273,0,92,7,15,40,0,244,0,0,12,17,15,0,0,7,0,12,0,0,12,234,0,7,410,50,10,12,0,244,0,10,72
2011-08-01,14,118,194,0,144,9,14,44,35,436,210,0,123,7,9,63,0,282,0,0,10,10,7,0,0,0,0,7,0,0,26,234,0,7,491,19,15,26,0,260,0,7,96
2011-09-01,11,263,146,0,138,14,36,39,66,372,191,0,100,7,20,45,0,288,0,0,14,0,11,0,0,0,0,14,0,0,29,294,7,0,673,14,30,29,0,212,0,7,84
2011-10-01,24,221,143,0,269,13,16,49,41,322,291,0,127,6,13,69,0,219,0,0,22,23,6,0,6,6,0,16,0,0,24,247,0,7,664,13,22,24,0,272,0,45,82
2011-11-01,13,214,170,0,357,6,19,19,41,415,273,0,167,10,7,41,0,144,0,0,17,17,6,0,0,6,0,6,0,0,15,254,6,7,719,13,32,15,0,232,0,10,61
2011-12-01,21,180,246,0,207,16,13,41,56,458,346,0,138,6,7,92,0,213,0,6,11,13,13,0,0,0,0,6,8,0,13,260,0,0,710,15,16,13,0,340,0,9,59
2012-01-01,37,166,194,0,157,26,22,82,56,436,373,0,109,6,11,77,0,282,0,0,18,12,12,0,0,0,0,26,12,0,37,427,0,0,855,8,75,37,0,336,0,17,88
2012-02-01,37,173,237,0,163,18,21,65,65,400,328,0,109,12,11,90,0,288,0,0,24,12,12,6,0,0,0,18,8,0,37,580,0,10,910,18,110,37,6,360,6,15,61
2012-03-01,56,152,288,0,200,27,13,64,46,379,337,0,118,26,7,64,0,288,0,0,17,15,17,6,0,12,0,26,0,0,42,527,0,0,773,27,101,42,0,296,0,13,62
2012-04-01,34,159,204,0,238,15,12,56,57,465,401,0,98,20,15,84,0,363,0,6,44,9,12,6,0,6,0,8,12,0,28,294,6,6,655,68,35,28,0,300,0,12,62
2012-05-01,39,187,191,0,238,11,15,66,60,472,382,0,100,15,11,68,0,350,0,6,17,17,14,11,6,0,0,11,8,0,36,274,6,6,473,28,17,36,0,344,0,7,51
2012-06-01,39,166,194,0,219,9,23,62,66,508,528,0,114,29,7,89,0,407,0,9,14,15,12,6,6,6,0,6,16,0,17,267,0,0,437,17,13,17,0,384,0,17,70
2012-07-01,46,156,204,0,275,15,25,71,59,543,510,0,134,23,15,56,0,388,0,17,23,20,11,0,0,0,6,10,4,0,21,247,6,0,628,21,19,21,0,384,0,10,71
2012-08-01,43,256,261,0,288,17,21,53,50,600,610,0,132,34,15,40,0,244,0,6,15,6,8,6,0,0,0,9,8,0,38,220,0,6,537,23,25,38,0,376,6,11,65
2012-09-01,60,345,267,0,238,9,11,51,75,443,564,0,116,22,9,53,0,213,0,11,17,11,17,6,0,0,6,11,16,0,37,267,0,6,510,15,22,37,0,340,0,9,38
2012-10-01,34,338,188,0,319,17,20,48,81,422,473,0,127,22,5,67,0,400,0,10,19,12,15,5,0,5,0,8,16,0,26,234,15,6,591,24,22,26,0,356,0,10,49
2012-11-01,60,242,200,0,269,8,19,40,59,479,519,0,116,43,15,64,0,513,5,5,15,9,8,5,0,0,5,10,8,0,31,274,5,7,710,24,19,31,5,400,5,5,71
2012-12-01,48,238,243,0,369,21,33,62,49,515,501,0,138,46,18,72,0,200,8,5,9,16,0,5,0,5,5,13,400,0,33,294,5,0,655,24,21,33,0,348,0,5,59
2013-01-01,100,211,279,0,382,13,16,47,61,522,691,0,149,25,58,83,0,132,13,12,16,8,9,0,0,5,0,7,100,0,36,287,5,0,655,19,18,36,0,348,5,9,66
2013-02-01,64,200,261,0,432,17,17,57,69,565,646,0,118,43,41,61,0,175,5,5,12,14,12,5,5,15,0,12,32,0,41,327,0,6,637,29,31,41,0,332,0,10,71
2013-03-01,80,207,261,0,394,15,28,38,57,515,555,0,145,29,90,61,0,513,7,8,21,15,5,5,0,5,0,11,28,0,34,294,7,0,619,12,17,34,0,328,0,15,71
2013-04-01,70,163,213,0,325,23,28,70,91,508,446,0,145,30,147,72,5,244,12,9,14,14,5,5,0,5,0,11,32,0,33,287,9,7,610,25,22,33,0,288,0,12,65
2013-05-01,70,166,204,0,419,14,20,60,48,493,519,0,152,49,88,63,0,213,23,6,12,18,9,7,0,9,5,8,32,0,18,274,5,5,510,18,27,18,0,308,0,9,83
2013-06-01,70,169,219,0,507,31,25,72,102,550,573,0,194,48,39,58,0,194,20,12,19,33,5,12,0,9,0,5,16,0,26,307,7,5,455,14,29,26,0,280,5,33,80
2013-07-01,93,218,273,0,600,28,20,47,86,600,519,0,160,34,73,67,0,507,11,11,32,31,23,0,0,12,5,18,20,0,34,314,15,5,391,31,28,34,0,328,5,15,81
2013-08-01,96,190,304,0,457,33,30,62,91,715,546,0,156,41,130,64,0,269,12,5,26,15,5,5,0,18,5,20,28,0,26,667,36,7,437,21,39,26,5,332,0,11,54
2013-09-01,81,159,264,0,475,16,21,63,72,479,510,0,183,42,113,61,0,225,9,9,21,15,16,7,0,5,5,9,40,0,28,327,27,10,528,16,18,28,4,292,4,16,71
2013-10-01,41,187,234,17,432,13,17,34,67,422,528,0,158,51,39,61,0,169,4,11,18,17,6,4,13,4,4,11,40,0,28,420,31,0,555,17,28,28,0,264,4,11,51
2013-11-01,58,159,210,35,463,25,27,33,71,429,446,0,158,33,58,51,0,344,7,11,20,17,10,4,4,23,4,7,20,0,36,400,32,5,600,13,38,36,6,200,9,9,61
2013-12-01,75,149,252,35,538,26,26,59,64,465,528,0,178,43,92,52,4,513,11,10,14,29,7,4,0,10,4,12,80,0,26,347,30,9,519,20,32,26,4,252,4,10,52
2014-01-01,74,173,252,32,544,16,32,52,84,486,610,0,220,51,164,70,4,194,4,8,13,20,12,8,4,13,0,16,32,0,20,414,47,10,555,23,20,20,4,308,14,16,51
2014-02-01,66,121,267,28,500,13,19,66,84,386,691,0,187,46,126,75,4,169,13,7,27,21,4,15,4,10,7,9,24,0,32,340,49,7,528,24,27,32,4,292,7,15,81
2014-03-01,74,128,246,32,625,13,22,55,74,436,628,0,180,50,81,63,4,188,7,8,24,26,8,11,0,17,4,12,256,0,42,327,58,10,528,16,27,42,4,252,8,8,45
2014-04-01,73,142,207,37,619,22,33,67,88,458,573,0,192,49,111,54,5,394,7,11,15,12,6,14,4,14,8,14,36,0,34,367,57,11,528,18,29,34,4,292,6,18,38
2014-05-01,65,125,207,50,432,30,23,33,78,408,564,0,154,29,126,55,10,394,8,15,29,10,12,12,4,8,4,8,24,0,35,354,48,18,564,26,18,35,4,292,6,14,46
2014-06-01,90,132,210,26,419,14,29,67,63,386,600,0,183,46,175,87,8,194,5,9,23,18,11,12,0,12,0,5,36,0,32,287,49,13,482,28,17,32,5,280,6,18,59
2014-07-01,61,138,200,37,494,21,22,96,94,522,728,0,185,30,200,64,9,188,9,12,22,21,6,22,4,6,9,9,24,0,15,267,70,6,428,30,21,15,5,280,5,13,50
2014-08-01,76,145,191,28,544,15,25,72,82,508,682,0,194,58,160,60,6,169,4,6,18,10,4,10,4,18,13,5,20,0,42,320,43,7,437,54,37,42,4,328,4,18,35
2014-09-01,72,107,204,42,457,39,22,70,76,379,610,0,223,39,107,62,6,175,6,6,19,16,7,9,0,13,7,9,28,0,42,327,59,20,510,32,27,42,0,236,6,23,45
2014-10-01,63,125,176,36,488,26,25,68,94,365,610,0,203,38,81,53,10,144,10,8,11,14,14,12,0,10,4,8,28,0,33,367,66,14,537,30,35,33,6,256,7,18,57
2014-11-01,70,118,191,31,394,18,40,68,82,379,637,0,187,35,115,55,7,150,13,11,34,15,8,10,4,13,13,8,40,0,39,354,64,137,528,32,25,39,10,296,10,13,57
2014-12-01,66,121,216,28,463,32,27,62,84,379,600,0,183,53,177,43,8,188,5,8,25,12,5,12,4,12,8,4,44,0,23,280,59,55,510,27,26,23,10,252,10,18,40
2015-01-01,50,132,210,45,413,18,44,66,78,450,801,0,174,43,164,58,14,144,16,8,23,25,9,10,0,14,4,5,36,0,43,340,68,25,573,37,28,43,12,300,8,15,44
2015-02-01,28,121,228,40,332,19,25,54,78,336,637,0,194,36,120,46,7,157,15,12,17,18,12,14,0,15,0,8,36,0,33,314,79,40,555,18,22,33,8,284,4,15,50
2015-03-01,25,125,234,52,338,19,35,67,82,379,582,0,187,47,86,71,13,150,15,9,15,18,8,19,4,11,4,10,36,0,34,360,52,32,591,24,29,34,8,260,11,21,50
2015-04-01,36,121,207,38,325,31,28,65,88,358,573,0,169,58,115,51,10,232,19,6,28,16,9,19,4,8,0,8,36,0,34,354,48,46,573,19,24,34,13,252,4,13,36
2015-05-01,36,118,219,50,332,19,29,48,94,343,637,0,156,53,164,59,19,475,21,15,20,19,8,8,0,21,15,8,28,0,33,280,64,58,555,15,26,33,14,224,6,14,45
2015-06-01,24,100,210,40,332,22,29,51,90,408,910,0,185,46,213,68,10,325,19,12,24,14,9,11,4,13,6,8,20,0,37,387,42,92,501,22,32,37,46,260,10,17,51
2015-07-01,32,128,210,86,357,28,41,74,99,379,737,0,194,62,105,77,18,182,15,10,22,10,13,11,4,11,4,4,16,0,34,334,49,65,519,19,26,34,20,236,15,20,46
2015-08-01,24,125,219,40,425,29,45,79,96,358,582,0,223,49,90,44,15,207,16,10,21,16,8,8,0,14,4,8,24,0,33,354,64,28,591,21,29,33,11,252,9,21,47
2015-09-01,18,132,200,47,369,22,23,70,96,308,591,0,194,60,122,58,25,507,20,12,30,26,14,10,4,15,4,10,40,4,43,354,48,54,600,31,28,43,14,232,9,20,42
2015-10-01,18,90,170,48,307,30,26,55,84,286,691,0,196,54,118,54,24,432,18,7,30,19,7,9,0,11,6,9,28,0,60,340,51,37,555,12,25,60,14,200,5,19,45
2015-11-01,25,114,200,43,363,30,44,56,90,258,719,0,167,42,75,59,10,182,19,14,19,23,7,12,0,17,5,11,48,0,40,340,54,31,555,18,25,40,13,204,8,18,45
2015-12-01,23,118,207,39,344,32,38,47,115,336,628,0,200,33,90,52,15,163,22,13,22,26,7,10,4,10,5,9,32,0,33,327,50,35,555,17,24,33,5,236,9,13,54
2016-01-01,27,128,231,43,363,27,33,47,84,358,646,0,187,65,103,53,12,282,16,9,23,28,10,15,0,12,3,12,32,0,39,327,60,42,537,14,27,39,17,252,12,17,44
2016-02-01,17,121,219,44,369,23,24,63,104,315,491,0,165,57,132,52,16,450,15,10,34,25,7,16,3,18,5,3,48,0,37,340,49,43,582,20,28,37,7,208,10,10,55
2016-03-01,16,107,207,53,350,22,35,54,98,322,591,0,160,54,96,51,21,400,23,11,22,30,6,11,6,17,5,7,48,0,31,354,63,32,664,15,29,31,4,228,11,13,61
2016-04-01,10,87,204,69,357,20,30,35,103,293,628,0,149,68,69,38,23,182,23,14,29,31,10,48,3,6,86,17,32,0,37,347,72,51,600,16,18,37,14,252,9,19,65
2016-05-01,12,107,200,70,263,32,29,44,100,315,555,0,149,71,66,40,31,150,25,12,30,19,11,10,6,6,14,6,32,0,27,334,62,44,600,21,22,27,13,204,10,13,54
2016-06-01,11,128,191,53,275,27,26,38,89,379,591,0,176,71,94,66,26,332,22,23,29,25,5,19,3,6,19,6,56,0,39,327,77,46,555,18,19,39,16,292,8,10,52
2016-07-01,7,125,179,63,294,25,35,52,110,415,646,38,174,79,160,63,38,494,31,13,30,17,9,10,3,11,11,8,48,120,37,367,84,37,446,26,24,37,11,304,15,12,56
2016-08-01,16,114,207,57,350,24,34,51,107,343,628,15,189,62,79,46,31,244,28,9,25,19,7,14,3,10,5,4,36,36,32,354,76,46,555,25,20,32,9,256,11,12,50
2016-09-01,12,107,204,53,282,28,24,48,106,265,600,7,203,80,88,42,21,169,26,12,15,25,8,37,0,12,3,10,56,11,53,367,84,37,573,9,30,53,10,224,22,13,60
2016-10-01,19,121,216,71,238,32,26,58,96,272,519,3,167,59,94,39,18,175,23,9,32,23,12,13,3,10,5,8,44,5,37,340,85,40,591,23,27,37,18,192,7,12,54
2016-11-01,13,121,185,57,269,23,32,51,100,250,555,3,196,70,124,61,25,625,29,17,34,19,8,17,6,10,9,9,48,4,35,307,76,62,546,14,26,35,18,236,10,26,47
2016-12-01,6,107,204,69,300,23,31,47,92,322,573,3,160,63,143,36,27,257,26,14,32,25,11,18,5,12,12,5,40,8,38,307,82,94,519,11,33,38,33,228,9,23,45
2017-01-01,12,107,252,72,325,32,35,57,112,308,655,6,178,79,139,67,20,232,23,14,31,26,5,12,4,6,8,6,56,4,49,354,85,65,582,30,29,49,25,288,6,13,36
