date,how to unfollow on twitter,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,search without history,how to delete a facebook account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,best private messaging app,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,gmail privacy issues,Twitter privacy policy,uber privacy policy,Gmail privacy,private instagram posts,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,instagram privacy policy,twitter privacy policy,privacy policy uber,how to unfollow on Instagram,remove snapchat friends,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages
2011-01-01,38,17,25,0,0,15,3,4,13,416,0,0,66,23,2,0,150,24,73,0,0,0,8,0,0,37,0,0,6,0,3,0,6,0,0,3,3,0,70,0,0,130,4,9,0,3,0,0,0,0,0,21,2
2011-02-01,40,18,30,0,0,13,3,3,7,337,0,0,54,23,2,0,128,29,70,0,0,0,5,0,0,34,0,0,8,0,3,0,2,0,0,3,5,0,55,0,0,123,2,6,0,5,0,0,0,0,2,26,2
2011-03-01,45,24,28,0,0,29,4,4,8,300,0,0,64,39,2,0,139,25,85,0,0,0,10,0,0,50,0,0,2,0,2,0,2,0,0,2,5,0,69,0,0,130,4,4,0,5,0,3,0,0,4,23,2
2011-04-01,53,10,21,0,0,29,2,8,12,285,0,0,72,32,3,0,123,25,73,0,0,3,13,0,0,53,0,0,8,0,2,0,4,0,0,3,5,0,59,0,0,123,3,7,0,5,0,0,0,0,3,21,2
2011-05-01,66,18,31,0,0,37,4,4,10,300,0,0,76,37,2,0,131,24,66,0,0,0,13,0,0,37,0,0,5,0,2,0,0,0,0,5,8,0,65,2,0,116,4,5,0,8,0,0,0,0,2,31,2
2011-06-01,68,21,37,0,0,51,2,4,9,332,0,0,86,44,2,0,137,35,65,0,0,3,13,0,2,54,0,0,4,2,4,0,4,0,0,3,6,0,54,0,2,128,6,3,0,6,0,3,0,0,3,24,2
2011-07-01,61,16,34,0,0,39,4,2,16,385,0,0,118,69,0,0,187,23,70,0,2,4,10,0,0,60,0,0,3,2,4,0,0,2,0,3,3,0,59,0,2,103,12,2,0,3,0,3,0,0,2,18,6
2011-08-01,65,29,48,0,0,37,2,4,8,464,0,0,108,53,2,0,212,31,91,0,2,2,16,0,0,70,0,0,3,0,2,0,0,0,0,2,6,0,59,0,2,123,5,4,0,6,0,0,0,0,2,24,3
2011-09-01,53,66,36,0,0,35,3,9,15,432,0,2,124,48,0,0,206,26,81,0,2,5,11,0,0,71,0,0,3,2,3,0,3,0,0,3,7,0,74,2,0,169,3,7,0,7,0,3,0,0,2,21,3
2011-10-01,68,55,36,0,0,69,3,4,9,485,0,3,102,73,0,0,150,32,72,0,2,3,17,0,0,54,0,0,5,0,2,0,2,0,0,4,6,0,62,0,2,166,3,5,0,6,0,3,0,0,11,21,3
2011-11-01,58,53,42,0,0,91,2,5,12,527,0,2,122,69,3,0,139,42,77,0,2,2,10,0,3,36,0,0,4,0,2,0,2,0,0,2,4,0,64,2,2,180,3,8,0,4,0,3,0,0,2,15,2
2011-12-01,85,45,61,0,0,53,4,3,11,474,0,3,112,87,0,0,178,35,89,0,2,2,23,0,2,53,0,2,3,0,3,0,3,0,0,2,3,0,65,0,0,178,4,4,2,3,0,5,0,0,2,15,2
2012-01-01,84,42,48,0,1,40,6,5,12,511,0,5,134,94,1,0,167,28,77,0,1,2,19,0,2,70,0,0,4,0,3,0,2,0,0,6,9,0,107,0,0,214,2,19,3,9,0,7,0,0,4,22,1
2012-02-01,90,43,59,0,0,42,5,5,14,501,0,8,92,82,3,0,142,28,66,0,3,3,23,0,3,71,0,0,6,2,3,2,2,0,0,5,9,2,145,0,2,228,5,28,2,9,2,7,0,2,4,15,3
2012-03-01,74,38,72,0,3,51,7,3,12,522,0,5,86,85,1,0,139,30,82,0,7,1,16,0,4,71,0,0,4,1,4,1,1,0,0,7,11,0,132,0,0,194,7,25,0,11,0,15,0,0,3,16,0
2012-04-01,75,40,51,0,2,61,4,3,14,353,0,19,92,101,2,0,148,25,79,0,5,4,21,0,7,90,0,2,11,3,3,2,2,0,0,2,7,0,74,2,2,164,17,9,3,7,0,28,0,0,3,16,2
2012-05-01,86,47,48,0,1,61,3,4,14,332,2,22,96,96,0,0,125,25,75,0,4,3,17,0,11,87,0,1,4,0,4,3,10,0,0,3,9,0,69,1,1,119,7,4,2,9,0,38,0,0,2,13,1
2012-06-01,96,41,49,0,2,56,2,6,16,358,2,24,104,132,1,0,128,29,85,0,7,1,22,0,19,100,0,2,3,0,3,1,1,1,0,1,4,0,67,0,0,110,4,3,4,4,0,46,0,0,4,18,2
2012-07-01,96,39,51,0,3,70,4,6,14,485,3,22,110,128,3,0,117,34,99,0,6,4,14,0,23,96,0,4,6,0,3,0,3,0,1,2,5,0,62,1,0,157,5,5,1,5,0,75,0,0,2,18,2
2012-08-01,94,64,65,0,4,74,4,5,14,443,5,28,132,153,1,0,139,33,90,1,9,4,10,0,18,60,0,1,4,1,2,1,2,1,0,2,10,0,55,0,1,135,6,6,2,10,0,67,2,1,3,16,2
2012-09-01,85,87,67,0,24,61,2,3,18,385,4,29,116,141,1,0,125,30,107,1,6,2,13,0,20,53,0,3,4,2,4,1,1,0,1,3,9,0,67,0,1,128,4,6,4,9,0,73,2,0,2,9,2
2012-10-01,89,85,47,0,21,81,4,5,19,316,7,27,98,119,3,0,112,32,100,0,6,1,17,0,22,99,0,3,5,3,4,1,5,1,0,2,6,0,59,4,1,148,6,6,4,6,0,73,0,0,3,12,3
2012-11-01,100,61,50,0,13,69,2,5,13,406,32,24,102,130,2,0,139,29,85,0,11,4,16,0,19,127,1,1,4,2,2,1,2,0,1,3,8,1,69,1,2,178,6,5,2,8,1,75,6,1,1,18,2
2012-12-01,87,60,60,0,16,94,5,8,11,448,35,48,110,126,0,0,148,35,97,3,12,4,18,0,23,50,2,1,2,1,0,1,3,1,1,3,8,0,74,1,0,164,6,5,100,8,0,92,12,0,1,15,2
2013-01-01,87,53,70,0,17,97,3,4,15,385,25,51,134,173,2,0,148,38,83,2,6,15,21,0,35,33,3,3,4,5,2,0,1,1,0,2,9,0,72,1,0,164,5,4,25,9,0,107,11,1,2,17,2
