date,encrypted phone calls,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,best anonymous browser,how to browse anonymously,search without history,government monitoring social media,how to uninstall gmail,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,best private messaging app,google hangouts privacy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,skype privacy policy,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to encrypt emails,google hangouts encryption,Encrypt phone calls,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,43,364,0,0,58,100,149,21,300,0,0,0,0,0,0,21,0,42,0,0,32,42,0,35,0,0,43,0,21,35,0,43,64,0,21,21,0
2011-02-01,0,410,0,0,68,68,90,0,320,0,0,0,0,0,0,0,0,22,23,0,45,37,0,52,0,24,23,0,56,52,0,36,60,0,22,23,0
2011-03-01,20,364,0,0,35,88,114,20,274,0,0,0,0,0,0,0,0,40,0,0,33,30,0,67,0,0,20,20,60,67,0,25,60,0,20,20,0
2011-04-01,32,273,0,0,102,65,73,22,280,0,0,23,0,0,0,0,0,43,0,0,22,29,0,58,0,0,32,20,33,58,0,36,65,0,22,43,0
2011-05-01,41,300,0,0,54,60,149,27,300,0,21,45,0,0,0,0,0,20,0,0,40,34,0,55,0,21,49,40,47,55,0,68,60,0,20,30,19
2011-06-01,21,446,0,0,57,133,83,21,347,0,0,23,0,0,0,0,0,21,0,0,0,42,0,76,21,0,63,45,95,76,21,43,73,21,21,21,0
2011-07-01,34,482,0,0,55,138,173,0,214,0,21,23,0,0,20,0,0,21,21,0,41,0,0,35,0,0,83,20,109,35,0,54,55,0,55,20,19
2011-08-01,26,382,0,0,26,130,80,19,400,0,60,39,0,0,0,0,20,20,0,0,29,19,0,79,0,0,52,0,53,79,0,33,65,0,19,26,0
2011-09-01,29,446,0,0,115,120,159,0,280,0,19,50,0,0,0,0,0,19,0,0,50,32,0,58,0,0,32,0,77,58,0,50,64,0,19,19,19
2011-10-01,42,401,0,0,54,125,59,0,414,0,28,45,0,0,0,18,0,42,0,0,18,27,0,96,0,18,89,20,18,96,0,54,125,0,72,27,0
2011-11-01,45,491,0,0,37,73,87,36,414,0,37,39,0,0,18,18,0,18,0,0,24,18,0,79,0,18,66,0,54,79,0,72,37,0,36,27,25
