date,Facebook privacy policy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete gmail,how to delete twitter,how to delete youtube,how to delete snapchat,delete account instagram,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,5,3,5,0,0,2,1,1,1,2,58,9,0,0,8,3,114,36,96,0,0,0,22,3,11,0,0,0,1,0,0,5,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,44,8,0,0,1,0,19,0,1,0,0,1,192,0,0,5,0,0,4,0,0
2011-02-01,7,3,6,0,0,2,1,1,1,1,49,7,0,0,7,3,112,40,92,0,0,0,20,5,11,0,0,0,1,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,35,10,0,0,0,0,19,1,1,1,0,0,147,0,0,5,0,0,3,0,0
2011-03-01,9,3,4,0,0,4,0,0,1,2,43,11,0,0,10,5,120,42,98,0,0,0,21,4,13,0,0,0,1,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,37,10,0,0,0,0,19,1,1,1,0,0,118,0,0,6,0,0,3,0,0
2011-04-01,9,1,3,0,0,4,0,1,1,1,41,10,0,0,9,5,123,46,100,0,0,0,19,3,8,0,0,0,2,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,35,8,0,0,0,0,19,0,1,1,0,0,111,0,0,7,0,0,3,1,0
2011-05-01,7,2,4,0,0,6,1,1,1,2,48,9,0,0,11,5,123,54,96,0,0,0,17,3,10,0,0,1,2,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,39,9,0,0,1,1,15,1,1,1,0,1,107,0,0,8,0,0,5,0,0
2011-06-01,6,3,6,0,0,6,0,1,2,1,50,11,0,0,14,6,139,60,125,0,5,0,19,4,9,0,0,0,3,0,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,44,9,0,0,1,0,20,1,1,1,0,1,120,0,0,9,0,0,3,0,0
2011-07-01,7,3,6,0,0,5,1,1,2,2,57,14,0,0,17,10,167,74,147,0,5,0,26,3,12,0,0,0,2,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,8,0,0,1,0,16,1,1,0,0,1,126,1,0,9,0,1,2,0,0
2011-08-01,8,3,5,0,0,5,0,0,2,1,67,13,0,0,15,9,153,74,154,0,5,0,29,5,14,0,1,1,2,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,54,7,0,0,1,0,17,1,1,1,0,0,130,1,0,9,0,0,3,0,0
2011-09-01,7,9,7,0,0,5,1,1,2,2,63,15,0,0,19,8,150,62,135,0,5,0,26,4,12,0,0,1,2,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,91,10,0,0,0,0,27,1,1,1,0,1,132,0,0,7,0,0,3,0,0
2011-10-01,7,9,5,0,0,11,0,1,2,1,66,13,0,0,16,9,145,76,139,0,5,0,24,5,11,0,0,1,3,0,0,9,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,66,9,0,0,1,0,26,0,1,1,0,1,154,1,0,9,0,0,3,0,0
