date,delete hangout history,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a instagram account,government monitoring social media,how to delete pokemongo,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,encrypted phone calls,best private messaging app,skype privacy policy,whatsapp security settings,how to protect against phishing,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,how to unfollow on twitter,how to encrypt emails,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,223,0,0,36,64,94,412,0,14,0,555,0,0,0,54,0,0,234,0,0,27,0,20,0,27,0,0,27,0,0,22,0,400,0,27,0,13,22,0,28,0,243,40,13,185,13,0
2011-02-01,14,250,0,0,42,43,57,356,0,0,0,528,0,0,0,34,0,0,245,0,0,0,0,28,0,14,0,0,24,0,0,33,0,475,15,15,0,35,33,0,23,0,236,38,14,167,14,0
2011-03-01,0,223,0,0,21,56,72,500,0,13,0,637,0,0,0,52,0,0,345,0,0,13,0,21,0,25,0,0,19,0,0,43,0,463,0,13,13,38,43,0,16,0,300,38,13,149,13,0
2011-04-01,0,167,0,0,64,42,46,456,0,14,0,401,0,0,14,79,0,0,323,0,0,20,0,14,0,27,0,0,18,0,0,37,0,400,0,20,13,21,37,0,23,0,322,41,14,156,27,0
2011-05-01,0,184,0,0,34,39,94,412,0,17,0,473,0,13,28,85,0,0,300,0,0,26,0,26,0,13,0,0,21,0,0,34,0,438,13,31,25,30,34,0,44,0,372,38,13,223,19,12
2011-06-01,0,273,0,0,35,85,53,534,0,13,0,455,0,0,14,124,0,14,389,0,0,13,0,0,0,13,0,0,26,0,0,48,13,425,0,40,29,59,48,13,28,0,422,46,13,138,13,0
2011-07-01,13,295,0,0,35,88,109,667,10,0,0,600,0,13,14,74,0,0,434,0,0,22,13,26,0,13,0,0,0,0,0,22,0,388,0,52,13,69,22,0,35,0,422,35,35,105,13,12
2011-08-01,0,234,0,0,16,83,50,634,10,12,0,673,0,38,25,100,0,0,423,0,0,16,0,18,12,12,0,0,12,0,0,49,0,350,0,33,0,33,49,0,21,0,408,41,12,132,16,0
2011-09-01,0,273,0,0,72,77,100,700,10,0,0,573,0,12,32,92,0,0,400,0,0,18,12,32,0,12,0,0,20,0,0,36,0,488,0,20,0,48,36,0,32,0,350,40,12,165,12,12
2011-10-01,0,245,0,0,34,80,37,612,10,0,0,510,0,18,28,125,0,23,423,0,0,26,0,11,0,26,0,0,17,0,0,61,0,438,12,56,13,11,61,0,35,0,400,79,45,140,17,0
2011-11-01,0,300,0,0,23,47,55,678,10,23,0,546,0,23,25,77,0,10,267,0,0,29,11,15,0,11,11,0,11,15,0,50,0,463,12,42,0,34,50,0,46,0,415,23,23,89,17,16
2011-12-01,0,400,0,0,15,61,83,734,20,11,0,610,0,12,11,135,0,23,423,0,0,19,0,17,0,22,0,0,11,0,0,49,0,463,0,67,13,19,49,0,35,0,500,30,17,92,11,0
2012-01-01,0,400,0,12,62,88,100,678,40,16,0,591,0,10,21,167,0,19,534,0,0,17,0,21,0,10,0,0,21,22,0,66,0,650,0,59,0,24,66,0,176,0,600,38,20,138,14,12
2012-02-01,0,412,0,0,43,112,133,612,50,14,0,464,0,28,18,157,0,19,478,0,0,16,0,11,0,11,0,0,28,8,0,93,0,950,0,81,10,18,93,0,228,0,586,37,21,94,14,0
2012-03-01,0,412,0,0,47,89,74,589,40,20,0,610,0,28,32,129,0,28,445,0,0,24,20,41,20,17,0,0,30,8,0,71,0,850,0,65,0,30,71,0,203,10,472,34,20,143,10,12
2012-04-01,0,373,0,21,21,107,85,834,100,11,0,573,0,36,18,120,0,37,500,0,0,18,11,18,0,18,0,0,11,29,0,49,0,438,12,81,10,84,49,0,96,0,515,42,39,109,16,0
2012-05-01,0,306,0,21,23,91,100,767,100,10,0,473,0,50,21,97,0,60,589,0,15,26,0,10,10,40,0,0,20,15,0,70,0,463,10,67,0,43,70,0,35,0,558,20,30,100,15,0
2012-06-01,0,367,0,12,24,89,124,900,120,14,0,519,0,76,18,137,0,123,667,0,15,24,0,15,10,20,0,0,41,8,0,48,0,413,0,75,10,31,48,0,48,0,672,31,21,132,31,0
2012-07-01,0,339,0,10,30,123,146,945,170,10,0,682,0,30,14,79,0,150,700,0,20,35,0,20,0,0,0,0,17,8,0,37,0,388,0,84,0,64,37,0,44,0,672,50,20,125,10,16
2012-08-01,0,417,0,26,33,102,114,1045,220,10,0,655,11,68,21,80,0,132,367,0,0,40,10,40,10,13,0,0,15,22,0,57,0,363,0,81,10,33,57,0,37,10,693,33,40,98,10,20
2012-09-01,0,456,0,186,26,104,116,734,210,10,0,755,11,40,28,90,0,182,378,0,30,30,10,17,10,20,0,0,25,22,0,53,0,525,10,86,10,36,53,0,35,0,558,33,20,74,20,16
2012-10-01,9,339,0,128,36,88,118,656,160,15,0,682,0,50,18,115,0,137,578,0,9,15,9,18,12,36,0,0,27,29,0,33,0,425,28,90,10,60,33,0,48,10,686,42,24,87,12,12
2012-11-01,9,356,0,91,39,97,98,778,190,12,0,773,0,68,28,140,0,132,912,0,18,9,14,18,9,15,0,0,18,15,0,45,9,475,19,93,19,51,45,9,44,37,708,27,18,125,23,20
2012-12-01,9,412,0,104,49,86,116,812,300,18,0,646,27,70,21,129,0,150,289,18,9,24,18,0,9,23,0,0,9,715,0,64,0,525,13,109,0,58,64,0,39,91,629,43,18,105,15,8
2013-01-01,0,428,0,104,41,108,111,923,390,16,0,610,17,48,118,124,0,255,300,14,16,12,25,11,8,12,0,0,19,215,0,58,0,450,13,163,0,41,58,0,55,55,715,22,25,158,19,8
2013-02-01,9,473,0,82,36,86,109,889,380,14,0,628,9,63,90,79,0,223,245,9,9,27,0,15,14,18,18,9,27,65,0,88,0,563,10,108,10,54,88,0,37,91,565,36,12,138,36,12
2013-03-01,19,395,0,73,43,110,122,834,330,16,0,546,13,49,163,100,0,232,856,8,24,16,8,19,8,16,0,0,19,72,0,70,0,525,17,127,0,43,70,0,60,119,522,32,37,136,19,8
2013-04-01,0,400,0,56,57,102,135,800,330,11,0,610,17,39,238,127,8,251,389,19,25,16,17,8,8,14,0,9,14,50,0,74,0,500,13,115,16,41,74,0,32,182,465,38,16,114,25,8
2013-05-01,24,312,0,65,53,108,96,845,370,16,0,591,15,76,163,119,0,196,378,45,28,19,8,11,13,8,0,9,20,29,0,40,0,488,8,125,10,43,40,0,41,282,486,35,24,152,12,8
2013-06-01,49,439,0,58,49,97,146,856,480,19,0,710,22,83,90,89,0,228,323,47,25,63,8,14,16,16,0,9,12,22,0,50,0,500,21,145,0,22,50,0,46,382,436,38,55,176,16,12
2013-07-01,78,495,0,82,46,74,166,1067,400,16,0,764,33,82,121,97,0,310,823,22,30,40,32,24,8,16,0,0,28,43,0,51,0,488,38,172,10,30,51,0,44,300,550,32,24,149,8,12
2013-08-01,56,556,0,50,48,112,172,1112,410,16,0,728,27,95,259,97,0,287,445,13,8,30,8,21,12,8,8,9,27,43,0,38,8,1250,43,136,10,32,38,8,41,237,543,54,24,100,8,16
2013-09-01,71,484,0,82,58,104,146,878,350,16,0,801,29,88,183,114,16,214,367,8,11,37,8,16,13,20,0,0,16,65,0,58,8,563,56,136,13,29,58,8,64,282,450,40,26,112,11,8
2013-10-01,62,423,38,49,45,78,124,667,300,10,0,673,31,90,80,110,0,205,278,8,10,30,11,7,15,7,0,8,30,50,0,55,0,763,41,67,7,35,55,0,48,273,486,27,17,98,11,12
2013-11-01,43,328,36,43,53,67,144,645,300,20,0,801,34,79,111,87,0,241,667,15,11,53,8,20,10,20,23,8,23,36,0,51,8,663,63,102,13,30,51,8,44,264,350,43,20,87,15,12
2013-12-01,76,456,46,43,36,110,150,845,390,19,0,891,36,110,159,100,15,319,856,23,20,38,8,20,11,25,0,8,23,93,0,54,8,563,69,117,16,20,54,8,57,382,465,18,28,85,18,20
2014-01-01,59,445,55,54,59,105,146,912,460,11,0,801,38,69,290,129,7,251,278,12,7,38,7,29,17,14,7,8,12,79,0,43,0,700,93,165,16,28,43,0,69,528,522,40,14,76,11,20
2014-02-01,68,478,53,50,42,126,127,723,330,13,0,791,29,76,225,152,8,246,278,16,16,37,8,16,21,23,0,8,20,43,0,65,8,663,82,129,13,42,65,8,69,355,472,23,39,136,16,12
2014-03-01,65,395,42,56,44,99,116,745,440,14,0,864,17,103,149,137,0,241,334,9,9,49,14,14,14,21,7,8,14,415,0,70,7,638,88,150,7,23,70,7,32,410,443,54,30,87,9,16
2014-04-01,65,439,67,50,55,134,109,745,410,12,0,773,22,78,159,102,11,305,723,11,10,34,22,7,14,17,7,15,19,50,0,70,0,588,119,109,16,26,70,0,37,382,479,41,24,69,22,12
2014-05-01,85,350,80,47,39,88,114,689,450,12,0,701,118,73,218,112,22,278,678,22,31,19,7,15,29,24,0,22,22,50,0,41,7,575,123,134,29,48,41,7,44,346,493,36,25,96,12,16
2014-06-01,78,328,46,47,30,127,127,678,520,12,0,664,52,95,321,140,13,255,323,24,16,27,13,11,19,16,8,9,8,58,0,51,32,513,89,179,25,59,51,32,32,364,508,35,22,96,19,16
2014-07-01,87,373,71,69,34,159,179,856,540,12,0,901,40,60,345,132,8,314,278,12,28,32,21,24,28,12,0,13,21,43,0,45,8,525,121,136,10,60,45,8,39,391,515,21,28,100,11,20
2014-08-01,68,395,57,52,50,107,148,823,530,12,0,855,29,100,252,135,16,300,300,8,20,29,29,12,8,8,0,16,8,43,0,58,13,538,76,147,16,95,58,13,48,382,572,24,16,60,20,32
2014-09-01,91,328,73,49,48,97,135,600,430,13,0,873,31,60,135,102,8,296,256,15,15,28,15,15,11,11,0,16,11,72,0,83,38,613,113,124,35,68,83,38,39,310,393,38,43,94,20,32
2014-10-01,81,289,65,67,50,123,179,556,380,10,0,846,42,68,142,75,7,251,245,19,21,22,24,22,19,14,0,9,14,43,0,67,14,600,117,88,41,43,67,14,41,310,422,34,31,78,22,12
