date,how to encrypt emails,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,most private browser,best anonymous browser,how to browse anonymously,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on instagram,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on twitter,google hangouts encryption,skype encryption,how to encrypt whatsapp
2011-01-01,52,220,0,0,26,40,58,17,0,215,0,0,69,0,0,35,0,0,23,0,52,0,17,0,29,0,0,29,23,0,34,78,29,0,37,346,0,184,0
2011-02-01,73,267,0,0,30,28,79,18,0,255,0,0,42,0,0,18,0,0,30,0,18,0,0,0,30,0,0,49,19,0,19,55,49,0,49,364,0,237,0
2011-03-01,22,247,0,0,33,33,99,16,0,220,0,0,94,0,0,16,0,0,16,0,16,0,16,0,16,0,0,49,16,0,39,33,49,0,16,410,0,200,0
2011-04-01,70,187,0,0,18,71,72,26,0,220,0,0,117,0,0,35,0,0,18,0,35,0,0,0,26,0,0,48,28,0,24,65,48,0,43,482,0,187,17
2011-05-01,44,274,0,0,33,39,72,22,0,210,0,0,121,0,0,33,0,0,22,0,0,0,0,0,41,0,0,72,51,0,39,45,72,0,52,600,0,278,17
2011-06-01,40,327,0,0,17,34,137,17,0,305,0,0,113,0,0,0,17,0,34,0,34,0,0,0,28,0,0,52,53,16,51,25,52,0,46,619,0,214,0
2011-07-01,28,300,0,0,34,23,129,0,0,205,0,17,90,0,0,39,17,17,34,0,0,17,0,0,28,0,0,29,35,16,113,23,29,0,61,555,0,162,17
2011-08-01,24,427,0,0,21,32,58,16,0,275,0,17,144,0,0,24,0,0,16,0,0,0,0,0,16,0,0,59,32,16,42,33,59,0,49,591,0,214,0
2011-09-01,31,320,0,0,31,82,89,0,0,225,0,15,103,0,0,0,15,0,26,0,31,0,0,0,31,0,0,67,26,0,31,68,67,0,52,482,0,189,0
2011-10-01,49,314,0,0,29,37,118,0,0,285,0,15,157,0,0,51,0,15,15,0,15,0,15,0,37,0,0,55,55,16,30,50,55,0,55,619,0,184,0
2011-11-01,39,374,0,0,15,44,49,29,0,375,0,22,92,0,0,39,0,15,15,0,15,0,0,0,15,0,0,34,30,16,30,73,34,0,64,528,0,137,17
2011-12-01,24,540,0,0,36,29,87,0,0,310,0,15,209,0,15,29,0,0,29,0,24,0,0,0,14,19,0,30,48,0,34,35,30,0,58,773,0,131,17
2012-01-01,40,427,0,14,58,49,187,13,0,245,0,13,173,0,0,27,0,0,27,0,18,0,0,0,58,28,0,86,85,0,19,170,86,0,204,764,0,198,0
2012-02-01,55,520,0,0,41,48,152,28,0,245,0,27,203,0,0,28,14,0,28,14,18,0,0,0,42,19,0,83,85,22,42,250,83,14,304,819,14,137,0
