date,how to delete a instagram account,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete twitter,how to delete youtube,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,15,20,0,0,11,3,3,6,9,40,0,39,18,0,164,410,0,102,18,48,0,0,0,4,0,0,23,0,0,2,2,0,0,2,0,4,0,1,0,28,3,0,0,2,0,200,48,0,0,3,0,73,2,3,2,0,4,0,0,21,0,0,18,1,0
2011-02-01,0,13,22,0,0,9,4,2,7,6,44,0,30,18,0,173,382,0,97,19,52,0,0,1,5,0,0,23,0,0,5,1,0,0,3,0,1,1,0,0,37,2,0,0,5,0,166,45,1,0,3,0,87,2,3,5,0,4,0,0,24,0,1,24,1,0
2011-03-01,0,13,17,0,0,18,3,2,6,6,51,0,39,24,0,201,428,0,91,19,51,0,0,0,4,0,0,25,0,0,2,1,0,0,2,0,0,1,1,0,32,2,0,0,2,0,166,48,0,0,2,0,86,4,3,2,0,4,0,0,29,0,2,14,0,0
2011-04-01,0,8,21,0,0,15,1,4,4,8,46,0,43,19,1,237,437,0,85,17,51,0,1,0,7,0,0,33,0,0,1,2,0,0,1,0,2,0,0,0,28,3,0,0,4,0,170,41,0,0,3,1,90,1,5,4,0,3,0,0,32,0,1,17,3,1
2011-05-01,0,11,16,0,1,29,5,4,5,9,40,0,51,27,1,255,428,0,84,18,47,0,1,0,11,0,0,27,0,0,2,1,0,0,2,0,2,0,0,0,32,2,0,0,3,0,174,45,0,0,1,2,68,5,3,3,0,5,0,0,33,0,2,17,1,1
2011-06-01,1,14,26,0,0,28,3,3,10,4,55,0,57,31,1,291,591,0,95,20,41,0,0,1,10,0,1,35,0,0,3,3,1,0,2,0,3,0,0,0,28,3,0,0,3,0,200,42,0,0,2,1,81,3,2,3,0,3,2,0,39,1,2,16,0,0
2011-07-01,0,9,24,0,0,25,2,3,8,10,70,0,79,44,0,364,637,0,125,16,49,0,1,1,9,0,0,39,0,0,2,1,1,1,2,0,1,1,0,0,37,2,0,0,2,0,170,36,0,0,2,0,73,10,4,2,0,1,2,0,37,0,3,14,2,1
2011-08-01,0,16,24,0,0,25,1,2,6,4,65,0,68,40,1,328,655,0,133,22,57,0,1,2,10,0,0,45,0,0,4,2,0,0,1,0,1,0,0,0,32,1,0,0,4,0,257,34,0,0,3,1,80,6,2,4,0,4,0,0,47,0,2,14,2,0
2011-09-01,1,44,25,0,0,27,2,3,9,9,69,0,81,40,0,291,619,0,131,14,57,0,1,3,8,0,0,43,0,0,3,2,1,0,2,0,1,0,0,0,28,3,1,0,3,0,435,43,0,0,4,0,126,3,5,3,0,4,2,0,36,0,1,14,0,1
2011-10-01,2,39,23,0,0,52,2,3,8,8,66,0,71,45,2,355,610,0,112,24,50,0,2,0,10,0,1,40,0,0,3,4,0,1,1,0,2,0,1,0,23,0,0,0,3,0,300,43,1,0,3,0,108,2,3,3,0,5,3,0,39,0,1,9,3,0
