date,facebook delete friends,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete facebook,how to delete gmail,how to delete twitter,how to delete youtube,how to delete snapchat,delete account instagram,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to encrypt emails,encrypted phone calls,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,Encrypt phone calls,skype encryption,how to encrypt whatsapp
2011-01-01,94,1,2,0,0,1,0,0,1,1,29,3,0,0,5,2,407,55,16,46,0,0,0,10,2,5,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,21,5,0,0,0,0,10,0,1,0,0,0,0,0,3,0,1,0
2011-02-01,73,1,2,0,0,1,0,0,1,1,26,4,0,0,4,2,380,56,18,42,0,0,0,9,2,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,18,4,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0
2011-03-01,57,2,2,0,0,2,0,0,1,1,22,5,0,0,5,3,360,56,20,48,0,0,0,10,2,6,0,0,0,1,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,18,5,0,0,0,0,10,0,0,0,0,0,0,0,3,0,2,0
2011-04-01,54,1,2,0,0,2,0,1,1,1,21,4,0,0,5,2,394,60,23,49,0,0,0,9,2,5,0,0,0,1,0,0,4,0,1,0,0,0,0,0,4,0,0,0,0,17,4,0,0,0,0,9,0,1,0,0,0,0,0,4,0,2,0
2011-05-01,52,1,2,0,0,3,0,0,1,1,21,4,0,0,5,3,407,63,26,46,0,0,0,9,2,5,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,20,5,0,0,0,0,9,0,0,1,0,0,0,0,5,0,3,0
2011-06-01,59,2,3,0,0,4,0,0,1,1,23,7,0,0,6,3,440,68,29,64,0,0,0,10,2,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,20,4,0,0,0,0,10,0,0,0,0,0,0,0,5,0,2,0
2011-07-01,62,1,2,0,0,3,0,0,1,1,29,8,0,0,8,5,480,79,37,76,0,3,0,13,2,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,18,4,0,0,0,0,8,1,0,0,0,0,0,0,4,0,2,0
2011-08-01,60,2,3,0,0,3,0,0,1,1,33,8,0,0,8,4,574,75,36,74,0,3,0,15,2,6,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,27,4,0,0,0,0,8,0,0,0,0,0,0,0,5,0,2,0
2011-09-01,65,5,3,0,0,3,0,1,1,1,29,6,0,0,9,3,560,75,31,66,0,3,0,14,2,6,0,0,0,1,0,0,5,0,0,0,0,0,0,0,3,0,0,1,0,43,5,0,0,0,0,12,0,1,1,0,0,0,0,4,0,1,0
2011-10-01,75,4,3,0,0,5,0,0,1,1,37,6,0,0,7,5,567,71,36,67,0,3,0,11,2,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,31,4,0,0,0,0,12,0,0,0,0,0,0,0,4,1,1,0
