date,Encrypt phone calls,youtube private channel,most private browser,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on snapchat,best private messaging app,skype privacy policy,how to encrypt whatsapp messages,gmail privacy issues,Privacy policy Pokemon Go,uber privacy policy,private instagram posts
2011-01-01,0,250,18,0,0,0,0,0,27,0,18,0,0,0
2011-02-01,19,308,29,0,0,0,0,0,29,0,29,0,0,0
2011-03-01,34,258,35,0,0,0,0,0,17,0,17,0,0,0
2011-04-01,37,186,18,0,0,20,0,0,18,0,37,0,0,0
2011-05-01,0,300,35,0,0,0,0,0,17,0,52,0,0,0
2011-06-01,35,365,18,0,0,35,0,0,35,0,36,0,0,0
2011-07-01,26,279,18,0,0,35,0,0,53,0,35,0,0,0
2011-08-01,17,479,25,0,0,25,0,0,16,0,17,0,0,0
2011-09-01,0,358,40,0,18,50,0,16,24,0,32,0,0,0
2011-10-01,0,336,38,0,15,30,0,0,15,0,46,0,0,0
2011-11-01,15,379,0,0,30,15,0,0,15,0,15,0,0,16
2011-12-01,23,586,30,0,15,15,0,0,30,0,15,0,0,0
2012-01-01,41,329,42,0,0,30,0,0,35,0,42,0,0,0
2012-02-01,58,536,43,0,30,30,0,14,29,0,43,0,15,0
2012-03-01,41,715,55,0,62,15,0,14,34,0,62,0,0,0
2012-04-01,29,415,14,0,58,30,0,29,29,0,14,0,0,16
2012-05-01,20,422,27,0,47,25,0,0,33,0,27,0,0,14
2012-06-01,27,493,28,0,83,15,0,0,34,0,14,0,0,0
2012-07-01,20,486,34,0,41,40,0,0,0,14,14,0,0,14
2012-08-01,27,593,27,14,94,40,0,13,20,0,13,0,0,0
2012-09-01,27,572,13,14,47,20,0,20,40,14,27,0,0,0
2012-10-01,24,429,36,0,56,10,0,30,0,0,18,0,0,37
2012-11-01,12,465,18,0,86,35,0,18,24,0,18,0,12,0
2012-12-01,0,572,55,32,111,35,0,12,0,12,31,0,0,14
2013-01-01,33,665,28,22,69,165,0,67,22,0,17,0,0,11
2013-02-01,25,558,37,14,88,95,0,12,37,0,37,0,0,0
2013-03-01,33,558,44,16,60,170,0,22,11,0,33,0,0,22
2013-04-01,33,443,45,11,90,340,0,11,0,0,33,0,0,22
2013-05-01,22,458,33,11,126,230,0,11,22,10,16,0,0,11
2013-06-01,100,522,56,24,124,105,0,11,11,0,11,0,0,18
2013-07-01,38,622,65,56,77,160,0,0,54,10,22,0,0,27
2013-08-01,32,708,87,32,115,335,0,16,11,10,49,0,0,77
2013-09-01,53,600,53,16,92,260,0,11,52,10,21,0,11,53
2013-10-01,30,529,40,50,103,95,0,0,10,10,25,0,0,90
2013-11-01,31,500,72,37,94,140,0,10,15,10,10,0,21,81
2013-12-01,20,600,72,48,109,230,10,0,20,10,21,0,11,87
2014-01-01,38,536,48,24,124,390,9,0,24,0,33,0,0,114
2014-02-01,42,629,37,53,100,290,10,11,10,10,21,0,11,131
2014-03-01,23,558,23,29,132,175,9,19,14,10,9,0,10,150
2014-04-01,39,443,58,19,143,280,15,15,19,10,29,0,10,127
2014-05-01,44,472,74,135,69,310,15,10,25,10,25,0,0,98
2014-06-01,44,393,27,45,126,420,22,16,22,0,11,0,11,120
2014-07-01,32,458,53,53,75,490,26,21,16,22,11,0,11,153
2014-08-01,48,443,32,37,160,400,16,37,11,32,11,0,11,59
2014-09-01,46,465,82,48,88,180,10,62,10,20,15,0,0,111
2014-10-01,44,400,58,35,98,205,20,39,34,10,19,0,10,155
2014-11-01,35,436,50,61,100,275,15,30,20,30,25,0,25,157
2014-12-01,34,508,88,40,143,450,10,34,10,20,10,0,21,170
2015-01-01,27,500,46,240,98,400,41,23,23,0,9,0,10,179
2015-02-01,30,500,54,169,94,255,15,30,30,0,20,0,21,177
2015-03-01,49,493,45,45,122,200,27,31,18,0,18,0,10,98
2015-04-01,37,415,83,87,149,265,32,0,23,0,18,0,37,124
2015-05-01,31,500,54,64,130,390,45,13,9,36,18,0,46,161
2015-06-01,37,450,46,64,128,500,18,27,27,18,18,0,120,105
2015-07-01,54,465,72,140,132,240,36,18,27,10,9,0,36,122
2015-08-01,40,500,71,50,73,195,31,31,18,10,27,0,28,159
2015-09-01,44,479,53,119,145,260,48,18,26,8,22,9,36,127
2015-10-01,54,408,79,58,149,295,54,21,16,12,21,0,42,124
2015-11-01,47,450,77,61,111,195,26,47,0,12,13,0,22,111
2015-12-01,26,465,73,132,88,210,30,26,17,18,22,0,17,116
2016-01-01,37,479,57,90,164,225,37,25,32,8,25,0,49,142
2016-02-01,16,479,49,82,120,320,49,29,16,8,8,0,17,127
2016-03-01,23,508,65,169,122,215,45,30,15,16,19,0,12,144
2016-04-01,55,508,52,211,179,145,47,12,16,200,40,0,33,166
2016-05-01,31,479,81,161,135,155,73,35,27,34,15,0,31,131
2016-06-01,28,408,75,264,183,265,59,32,16,36,12,0,36,185
2016-07-01,28,436,68,148,177,410,99,20,28,20,20,271,28,198
2016-08-01,31,472,43,150,137,205,58,43,12,12,12,98,24,174
2016-09-01,31,472,78,140,196,205,54,43,19,8,8,25,28,200
2016-10-01,33,508,81,156,137,205,37,22,18,14,18,9,34,216
2016-11-01,63,415,56,187,160,265,48,41,22,26,22,9,53,144
2016-12-01,51,458,55,114,128,340,77,18,26,36,11,22,96,196
2017-01-01,38,558,87,108,213,320,35,28,14,24,14,11,60,218
