date,how to unfriend someone on facebook,how to change facebook privacy settings,private twitter account,most private browser,how to browse anonymously,how to delete a facebook account,how to delete a snapchat account,how to delete a google account,how to delete pokemongo,how to uninstall facebook,how to protect against phishing,delete hangout history,Facebook privacy policy,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,how to encrypt emails,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,23,12,10,3,6,257,0,40,0,97,4,0,23,0,0,2,0,185,35,0,2,0,82,1,4,2,0,3,0,0,22,4,0,0,16,1,0
2011-02-01,27,14,9,3,5,217,0,34,0,90,0,0,32,0,0,3,0,147,39,1,1,0,80,3,4,3,0,3,0,0,22,3,0,0,15,1,0
2011-03-01,29,11,15,2,4,197,0,43,0,95,0,0,41,0,0,4,0,158,40,0,1,1,84,3,3,3,0,2,2,0,27,3,0,1,13,1,0
2011-04-01,28,7,18,0,5,184,0,38,0,84,2,0,46,0,0,3,0,147,31,0,2,1,82,2,3,4,0,2,0,0,29,4,0,1,14,2,0
2011-05-01,27,7,23,3,4,210,0,42,0,75,0,0,32,0,0,3,0,166,46,1,3,2,63,3,2,3,0,4,0,0,34,3,0,1,20,2,1
2011-06-01,40,15,27,2,8,207,0,59,0,83,1,0,32,0,0,4,1,185,42,0,4,2,85,5,2,5,1,2,2,0,39,4,1,1,12,1,0
2011-07-01,47,13,23,0,7,250,0,72,0,115,1,0,32,0,0,2,0,147,37,0,5,1,67,6,4,2,0,2,3,0,38,3,0,2,9,1,1
2011-08-01,40,15,23,2,9,304,0,66,0,127,1,0,32,0,0,4,0,227,33,0,3,0,73,3,3,3,0,2,3,0,38,4,0,1,12,1,0
2011-09-01,44,42,23,2,8,277,0,82,0,117,1,0,32,0,0,3,0,385,44,0,2,0,114,4,5,4,0,3,2,0,32,4,0,1,15,1,1
2011-10-01,42,38,45,2,7,304,0,67,0,109,3,0,28,0,0,5,0,281,40,1,5,1,110,1,4,4,0,3,3,0,37,7,0,0,13,2,0
2011-11-01,27,36,53,1,6,327,0,71,0,90,1,0,28,2,0,4,0,239,47,1,4,0,96,3,4,5,0,5,2,0,38,2,0,1,8,2,2
2011-12-01,40,29,38,1,6,300,0,72,0,124,2,0,23,0,0,4,0,243,45,0,6,1,107,2,2,4,0,4,3,0,46,3,0,1,8,1,0
2012-01-01,51,25,28,2,9,304,0,74,0,106,1,0,37,2,0,6,0,247,55,0,5,0,130,2,11,5,0,18,4,0,55,3,0,2,12,1,1
2012-02-01,43,34,23,5,9,334,0,60,0,90,1,0,55,1,0,8,0,231,91,0,7,1,139,2,24,9,0,22,7,0,54,3,1,2,8,1,0
2012-03-01,41,26,27,5,8,304,0,60,0,102,1,0,51,1,0,6,0,181,81,0,6,0,117,3,14,8,0,13,10,1,43,3,0,2,13,1,1
2012-04-01,52,26,31,2,6,234,0,62,0,84,2,0,60,2,0,4,0,212,45,1,7,1,105,8,5,5,0,10,19,0,47,4,1,4,10,1,0
2012-05-01,58,28,39,4,8,207,0,63,0,81,4,0,37,1,0,6,0,208,41,1,6,0,75,4,2,7,0,3,27,0,51,2,0,3,9,1,0
2012-06-01,60,30,36,2,8,224,1,64,0,81,1,0,51,1,0,4,0,204,40,0,7,1,64,3,3,4,0,4,39,0,62,3,1,2,12,3,0
2012-07-01,60,20,48,2,10,300,3,70,0,102,0,0,46,1,0,3,0,189,37,0,8,0,91,6,4,2,0,3,47,0,62,5,0,1,11,1,1
2012-08-01,35,38,46,3,7,317,2,87,0,81,1,0,23,2,0,5,0,250,30,0,7,1,87,3,2,5,0,3,39,0,63,3,0,4,9,1,2
2012-09-01,36,63,43,2,10,240,1,75,0,74,2,0,23,2,0,5,0,354,52,1,8,1,77,3,3,5,0,3,44,0,51,3,0,1,7,2,2
2012-10-01,59,51,47,2,7,207,6,58,0,81,3,1,41,2,0,3,0,343,35,2,8,1,102,5,4,3,0,5,48,0,63,4,0,2,8,1,2
2012-11-01,80,43,45,0,11,274,19,58,0,83,1,1,69,2,0,4,1,297,40,2,8,2,95,5,3,5,1,4,43,3,65,2,0,0,11,2,1
2012-12-01,30,37,57,2,8,284,24,79,0,79,3,1,60,66,0,6,0,297,48,1,10,0,106,5,4,7,0,4,57,9,58,4,0,0,9,1,1
2013-01-01,28,31,61,2,10,247,17,82,0,99,2,0,37,20,0,5,0,266,42,1,15,0,96,4,4,6,0,5,66,5,65,2,1,2,14,2,1
2013-02-01,28,36,68,4,8,210,8,82,0,86,2,1,51,6,0,8,0,281,59,1,10,1,102,5,4,9,0,4,68,7,52,3,0,1,12,3,2
2013-03-01,81,30,67,3,7,240,18,75,0,75,1,2,37,6,0,6,0,327,49,1,11,0,98,4,3,5,0,4,75,11,48,3,0,4,12,2,1
2013-04-01,38,25,55,3,8,250,20,76,0,86,2,0,41,4,0,7,0,208,46,1,10,1,87,4,4,7,0,2,64,16,43,3,0,1,10,2,1
2013-05-01,33,32,71,2,10,190,21,83,0,75,1,2,32,2,0,4,0,208,44,1,11,1,81,4,4,3,0,4,60,25,44,3,0,2,13,1,1
2013-06-01,29,27,83,3,9,204,29,86,0,75,2,4,32,2,0,4,0,208,45,2,13,0,70,2,4,5,0,4,64,34,40,3,1,5,16,1,1
2013-07-01,79,34,97,3,6,237,34,100,0,74,1,7,28,4,0,5,0,254,44,3,15,1,70,3,3,5,0,4,85,26,50,3,1,3,13,1,1
2013-08-01,41,32,85,4,9,247,27,107,0,74,0,4,28,4,0,3,1,197,109,4,12,1,73,3,6,4,1,3,82,24,50,5,1,2,9,1,1
2013-09-01,32,30,77,3,8,180,27,88,0,72,2,7,41,6,0,5,1,208,53,5,12,1,81,3,2,5,1,5,68,26,41,4,1,3,10,1,1
2013-10-01,26,31,69,3,8,184,28,98,0,65,1,4,132,5,0,5,0,285,66,4,6,1,84,3,4,4,0,5,58,24,45,2,1,2,9,1,1
