date,google hangouts privacy,who can see my snapchat story,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete pokemongo,how to uninstall gmail,how to uninstall snapchat,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,how to encrypt text messages
2011-01-01,37,0,75,100,174,253,0,500,0,0,146,0,0,0,111,76,57,0,74,0,0,0,0,61,0,0,75,0,37,122,61,0,75,0,37
2011-02-01,0,0,79,118,118,153,0,534,0,0,91,0,0,0,105,0,79,0,40,39,0,0,0,90,0,40,40,0,98,115,90,0,63,0,39
2011-03-01,0,0,48,60,153,195,0,456,0,0,141,0,0,0,105,36,59,0,71,0,0,0,0,116,0,0,35,34,106,93,116,0,44,0,35
2011-04-01,0,0,0,177,114,124,0,467,0,37,214,0,0,0,114,57,39,0,76,0,0,0,0,100,0,0,55,34,58,86,100,0,63,0,75
2011-05-01,0,0,89,94,105,253,0,500,0,73,232,0,0,0,105,72,71,0,36,0,0,0,0,95,0,35,85,67,82,72,95,0,119,0,53
2011-06-01,0,0,53,98,231,142,0,578,0,37,337,0,0,0,127,37,0,0,37,0,0,0,0,132,38,0,110,75,166,72,132,38,75,37,36
2011-07-01,0,0,71,96,240,295,0,356,0,37,201,0,0,0,96,60,72,0,37,37,0,0,0,61,0,0,145,34,193,122,61,0,94,0,36
2011-08-01,0,0,46,45,227,136,0,667,0,64,273,0,0,0,114,46,51,35,35,0,0,0,0,137,0,0,90,0,93,86,137,0,57,0,45
2011-09-01,0,0,67,200,209,271,0,467,0,82,251,0,0,0,111,51,89,0,33,0,0,0,0,100,0,0,55,0,135,150,100,0,88,0,33
2011-10-01,31,0,63,94,218,100,0,689,0,73,341,0,0,0,218,74,32,0,74,0,0,0,0,166,0,30,155,34,32,115,166,0,94,0,47
2011-11-01,32,0,32,64,127,148,0,689,0,64,210,0,0,0,64,79,43,0,32,0,32,0,0,137,0,30,115,0,95,122,137,0,125,0,47
2011-12-01,0,0,48,43,166,224,0,600,0,28,369,0,0,0,83,53,48,0,63,0,0,0,0,135,0,0,185,34,53,72,135,0,94,0,31
2012-01-01,0,0,95,173,240,271,0,545,0,55,455,0,0,0,105,48,58,0,29,0,0,0,0,182,0,0,165,0,66,322,182,0,482,0,38
2012-02-01,0,0,138,120,305,359,0,400,0,46,428,0,0,0,103,44,30,0,30,0,0,0,0,256,0,0,225,25,50,715,256,0,625,30,39
2012-03-01,28,0,140,130,244,200,0,578,0,82,351,0,0,0,94,65,113,58,48,0,0,0,0,195,0,0,180,0,85,422,195,0,557,0,28
2012-04-01,0,0,87,60,292,230,0,512,0,46,328,0,0,0,116,50,49,0,49,0,0,0,0,137,0,30,225,25,235,150,137,0,263,29,44
2012-05-01,0,0,97,64,248,271,0,356,0,55,264,0,0,41,55,74,27,28,110,0,0,0,0,190,0,25,185,0,119,58,190,0,94,0,41
2012-06-01,42,0,57,66,244,336,0,656,0,46,373,0,0,43,85,67,43,28,58,0,0,0,0,132,0,0,210,25,85,86,132,0,132,28,85
2012-07-01,28,0,55,83,335,395,0,623,0,37,214,0,0,56,140,99,57,0,0,0,0,0,0,103,0,0,235,0,177,122,103,0,119,0,28
2012-08-01,56,0,93,94,279,306,0,600,30,55,219,0,0,0,92,113,111,28,38,0,0,0,0,156,0,0,225,25,93,72,156,0,100,0,28
2012-09-01,0,0,63,73,283,312,0,500,30,73,246,0,0,82,92,83,47,28,55,0,0,0,0,145,0,25,240,25,100,100,145,0,94,0,55
2012-10-01,50,0,57,100,240,318,0,667,0,46,314,0,0,25,116,43,50,33,99,25,0,0,0,90,0,75,250,25,166,115,90,0,132,0,33
2012-11-01,25,0,0,109,266,265,0,545,0,73,382,0,0,50,74,25,51,25,42,25,0,28,0,124,26,50,260,50,143,93,124,26,119,0,63
2012-12-01,25,0,75,135,235,312,0,723,75,55,351,0,50,25,118,69,0,25,64,25,0,0,0,177,0,35,305,0,161,122,177,0,107,0,42
2013-01-01,23,0,46,115,296,300,0,678,45,310,337,0,39,46,61,36,31,23,35,0,0,0,0,158,0,35,455,0,114,115,158,0,150,23,53
2013-02-01,25,0,124,100,235,295,0,567,25,237,214,0,25,25,100,76,42,38,51,25,50,28,0,243,0,25,300,25,150,108,243,0,100,0,100
2013-03-01,22,0,89,120,300,330,0,678,35,428,273,0,22,67,90,46,53,23,46,53,0,23,0,193,0,45,355,0,122,100,193,0,163,0,52
2013-04-01,46,0,99,160,279,365,0,612,45,628,346,23,54,68,105,46,23,23,38,0,0,0,0,203,0,35,320,42,114,129,203,0,88,0,68
2013-05-01,81,0,67,149,296,259,0,689,40,428,323,0,125,78,96,53,30,38,22,67,0,23,0,111,0,20,350,25,119,115,111,0,113,0,33
2013-06-01,53,0,99,137,266,395,0,734,60,237,241,0,129,68,107,176,39,45,46,137,0,23,0,137,0,55,405,0,61,115,137,0,125,23,45
2013-07-01,60,0,89,128,200,448,0,889,90,319,264,0,60,82,90,113,68,23,46,217,0,0,0,140,0,100,480,25,82,79,140,0,119,22,22
2013-08-01,59,0,97,135,305,465,0,867,75,682,264,0,37,22,148,83,60,33,22,156,22,23,0,103,23,115,380,25,90,172,103,23,113,22,22
2013-09-01,22,0,65,160,283,395,0,789,80,482,310,44,22,29,109,102,44,38,55,198,0,0,0,161,23,150,380,34,82,72,161,23,175,22,29
2013-10-01,0,106,69,124,214,336,0,756,85,210,300,0,20,28,77,83,21,43,21,173,0,23,0,150,0,110,185,17,98,122,150,0,132,21,31
2013-11-01,49,100,97,147,183,389,0,778,95,291,237,0,42,31,118,148,57,28,57,120,63,23,0,140,21,170,285,34,85,143,140,21,119,28,42
2013-12-01,85,130,120,98,300,406,0,934,100,419,273,43,64,56,50,108,57,33,71,212,0,23,0,148,23,185,325,42,56,115,148,23,157,21,49
2014-01-01,72,153,85,164,287,395,0,1023,105,764,351,20,34,20,111,106,80,45,40,164,20,19,0,119,0,250,460,42,79,129,119,0,188,39,29
2014-02-01,72,148,51,115,344,342,0,967,80,591,414,22,44,43,66,102,43,58,65,189,0,28,0,179,23,220,360,34,116,129,179,23,188,22,43
