date,youtube private channel,how to change instagram privacy settings,private twitter account,search without history,how to delete a facebook account,how to delete pokemongo,how to uninstall facebook,how to uninstall youtube,how to unfollow someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,google hangouts privacy,Facebook privacy policy,gmail privacy issues,Uber privacy,Youtube Privacy,privacy policy uber
2011-01-01,39,0,15,23,482,0,166,82,2,0,0,2,50,2,0,158,0
2011-02-01,47,0,17,10,400,0,187,79,0,0,0,0,50,5,0,149,0
2011-03-01,28,0,29,14,344,0,166,112,0,0,0,0,67,4,0,155,0
2011-04-01,37,0,35,12,350,0,145,77,2,0,0,0,50,5,2,170,0
2011-05-01,41,0,47,18,375,0,145,64,4,0,0,0,59,4,2,140,0
2011-06-01,46,0,49,9,394,0,187,90,2,0,0,0,59,5,0,143,0
2011-07-01,43,0,49,15,450,0,218,94,3,0,0,0,67,5,2,137,0
2011-08-01,58,0,47,19,575,0,214,117,2,0,0,0,84,3,0,131,0
2011-09-01,45,0,49,17,488,0,242,94,2,0,0,0,50,3,0,207,0
2011-10-01,48,0,86,15,600,0,183,102,3,0,0,2,59,4,2,194,0
2011-11-01,42,0,115,17,607,0,169,92,0,0,0,0,50,2,2,213,0
2011-12-01,80,0,72,16,588,0,225,90,2,0,0,0,42,2,0,194,0
2012-01-01,59,2,54,17,625,0,190,107,4,0,0,2,59,5,0,270,0
2012-02-01,71,0,49,25,600,0,190,74,2,0,0,0,84,4,4,304,0
2012-03-01,70,0,52,17,557,0,180,109,4,0,0,2,92,5,0,246,0
2012-04-01,48,4,68,21,444,0,169,89,4,0,0,0,92,2,0,213,0
2012-05-01,74,5,80,10,407,0,156,92,3,0,0,0,67,3,2,128,0
2012-06-01,66,3,64,18,438,0,163,107,2,0,3,2,100,9,2,134,0
2012-07-01,61,0,84,14,582,0,194,115,4,0,2,0,75,3,0,176,0
2012-08-01,76,5,90,14,544,0,169,115,5,0,2,0,42,3,0,158,0
2012-09-01,75,28,76,22,432,0,166,134,3,0,3,0,42,7,2,170,0
2012-10-01,54,16,96,22,375,0,145,117,3,0,2,2,84,3,0,204,0
2012-11-01,68,20,72,18,513,0,166,119,6,2,2,2,126,3,2,207,2
2012-12-01,70,20,105,17,513,0,156,117,6,2,5,2,117,3,2,200,0
2013-01-01,91,19,115,16,444,0,200,94,18,2,4,1,67,5,0,197,0
2013-02-01,79,11,147,20,432,0,138,122,14,2,2,2,84,4,2,213,0
2013-03-01,69,11,123,15,463,0,132,92,25,3,4,1,59,4,0,182,0
2013-04-01,75,5,115,21,482,0,145,104,47,1,4,3,59,4,1,170,0
2013-05-01,66,16,107,18,363,0,135,95,27,6,2,6,59,2,1,146,0
2013-06-01,70,13,149,20,382,0,149,127,17,9,3,5,42,1,0,152,0
2013-07-01,86,15,182,23,482,0,152,127,23,6,4,4,59,0,0,143,0
2013-08-01,100,16,131,25,475,0,159,139,45,3,2,4,42,4,0,149,0
2013-09-01,73,11,145,24,319,0,149,130,36,1,2,1,67,3,3,143,1
2013-10-01,73,8,135,19,344,0,111,127,12,1,3,3,251,3,1,164,0
2013-11-01,71,5,147,26,363,0,145,144,21,1,3,5,67,3,2,182,0
2013-12-01,79,9,158,25,438,0,135,140,29,3,5,5,50,3,2,152,1
2014-01-01,78,11,168,24,413,0,152,160,40,1,2,2,42,2,2,164,0
2014-02-01,87,9,147,26,319,0,135,137,40,4,1,4,50,3,4,161,1
2014-03-01,69,10,188,22,307,0,142,130,24,2,2,2,42,1,1,164,0
2014-04-01,69,9,205,22,394,0,132,130,31,3,6,6,59,4,3,167,1
2014-05-01,61,10,135,21,407,0,125,119,47,2,5,2,50,5,4,143,2
2014-06-01,47,11,135,20,363,0,128,117,51,2,3,3,67,1,3,155,4
