date,how to encrypt emails,how to change facebook privacy settings,who can see my snapchat story,how to change instagram privacy settings,most private browser,best anonymous browser,how to browse anonymously,search without history,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall snapchat,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,gmail privacy issues,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,how to encrypt text messages
2011-01-01,51,177,0,0,34,45,80,120,17,0,237,0,0,67,0,0,34,0,17,25,0,34,0,0,34,0,0,35,0,57,29,0,35,0,17
2011-02-01,48,185,0,0,36,54,54,73,0,0,253,0,0,42,0,0,0,0,0,36,0,18,18,0,30,0,19,19,0,54,42,0,29,0,18
2011-03-01,48,162,0,0,21,27,70,92,16,0,216,0,0,65,0,0,16,0,0,27,0,32,0,0,24,0,0,16,16,44,54,0,20,0,16
2011-04-01,52,77,0,0,0,81,52,59,17,0,222,0,18,98,0,0,26,0,0,17,0,34,0,0,23,0,0,26,16,40,47,0,29,0,34
2011-05-01,48,124,0,0,40,43,48,120,21,0,237,0,35,107,0,0,32,0,0,32,0,16,0,0,27,0,17,39,31,34,44,0,55,0,24
2011-06-01,58,185,0,0,25,44,106,67,16,0,274,0,18,155,0,18,17,0,0,0,0,17,0,0,33,17,0,51,35,34,61,17,35,17,17
2011-07-01,44,185,0,0,33,44,110,139,0,0,169,0,18,92,0,0,27,16,0,33,0,16,17,0,0,0,0,66,16,57,29,0,43,0,16
2011-08-01,52,193,0,0,21,21,104,64,16,0,316,0,31,126,0,0,21,0,0,23,16,16,0,0,16,0,0,41,0,40,64,0,26,0,21
2011-09-01,51,554,0,0,30,91,96,128,0,0,222,0,40,115,0,0,23,0,0,40,0,15,0,0,25,0,0,26,0,70,47,0,40,0,15
2011-10-01,100,554,0,0,29,43,100,48,0,0,327,0,35,157,0,30,34,0,14,14,0,33,0,0,21,0,14,71,16,54,77,0,43,0,21
2011-11-01,29,439,0,0,15,29,58,70,29,0,327,0,31,96,0,12,36,15,14,19,0,15,0,0,14,0,14,53,0,57,64,0,58,0,22
2011-12-01,38,400,0,0,21,19,76,106,14,0,285,0,14,169,0,30,24,14,0,21,0,28,0,0,14,0,0,85,16,34,63,0,43,0,14
2012-01-01,48,331,0,14,44,79,110,128,20,0,258,0,27,209,0,24,22,0,0,26,0,13,0,0,26,0,0,75,0,150,85,0,220,0,17
2012-02-01,47,424,0,0,63,54,140,170,18,0,190,0,22,196,0,24,20,0,0,13,0,13,0,0,36,0,0,103,12,334,119,0,286,13,18
2012-03-01,43,339,0,0,64,60,112,95,26,0,274,0,40,161,0,36,30,26,13,51,27,21,0,0,38,0,0,82,0,197,91,0,255,0,13
2012-04-01,53,393,0,26,40,27,134,109,13,0,243,0,22,150,0,48,22,0,0,22,0,22,0,0,13,0,14,103,12,70,64,0,120,13,20
2012-05-01,25,339,0,26,44,29,114,128,13,0,169,0,27,121,0,77,34,0,0,13,13,50,0,0,25,0,12,85,0,27,88,0,43,0,19
