date,who can see my snapchat story,how to change facebook privacy settings,youtube private channel,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a twitter account,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Youtube Privacy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,skype encryption,how to encrypt whatsapp
2011-01-01,0,85,132,0,58,12,32,32,73,279,0,0,82,0,567,127,289,0,0,11,0,0,107,0,0,11,11,0,8,8,0,8,8,0,8,0,0,12,279,0,33,500,30,12,0,16,0,0,144,0,90,0
2011-02-01,0,74,149,0,58,22,25,25,34,250,0,0,119,0,589,118,295,0,0,23,0,0,160,0,0,31,8,0,0,17,0,8,0,0,14,0,0,13,272,8,9,530,30,13,0,17,0,0,148,0,107,0
2011-03-01,0,89,104,0,93,23,30,36,56,279,0,0,164,0,556,96,362,0,0,28,0,0,214,0,0,18,8,0,0,13,0,11,0,0,15,0,0,23,279,0,10,500,18,23,0,11,9,0,209,0,89,0
2011-04-01,0,70,132,0,122,8,30,27,35,265,0,0,155,0,456,103,273,0,8,46,0,0,174,0,0,24,14,0,0,8,0,12,0,0,19,0,0,30,215,0,9,580,50,30,0,33,0,0,214,0,106,0
2011-05-01,0,77,125,0,143,19,23,33,54,272,0,0,155,0,512,91,267,0,8,59,0,0,147,0,0,25,23,0,0,13,0,11,0,0,13,0,0,20,293,0,18,450,15,20,0,13,0,0,231,0,127,0
2011-06-01,0,81,149,0,179,20,18,55,34,350,0,6,191,0,600,140,312,0,0,50,0,0,220,0,0,21,0,8,0,12,0,8,0,0,16,9,0,20,293,0,31,520,24,20,0,26,9,0,270,8,76,0
2011-07-01,0,74,138,0,165,12,20,70,47,479,0,18,264,0,734,96,317,0,8,52,0,0,247,0,0,12,16,8,0,13,0,8,0,0,13,9,0,20,243,0,21,450,21,20,0,19,9,0,222,0,73,0
2011-08-01,0,100,204,0,158,15,11,51,56,343,0,0,282,0,778,144,378,0,7,61,0,0,260,0,0,17,7,0,0,7,0,7,0,0,11,0,0,20,215,0,15,490,26,20,0,19,0,0,257,0,98,0
2011-09-01,0,274,145,0,179,17,24,52,64,436,0,12,201,0,812,81,306,0,7,56,0,0,280,0,0,7,9,7,0,17,0,11,0,0,17,0,0,39,265,7,15,710,29,39,0,25,9,0,214,0,74,8
2011-10-01,0,243,152,0,336,16,20,46,44,400,0,0,282,0,623,157,334,0,14,55,0,14,214,0,0,27,31,0,7,7,0,14,0,0,10,9,0,34,243,7,28,720,18,34,0,23,9,0,253,0,93,0
2011-11-01,0,200,149,0,400,7,10,23,55,465,0,12,337,0,578,147,339,0,10,45,0,8,140,0,0,14,10,7,0,14,0,0,7,0,7,9,0,23,272,7,21,750,27,23,0,32,9,0,248,0,59,8
2011-12-01,0,208,256,0,265,13,16,36,50,458,0,12,364,0,745,161,328,0,9,95,0,14,234,0,0,16,13,0,0,13,0,17,0,0,7,9,0,34,286,0,31,660,27,34,0,13,17,0,327,0,47,8
2012-01-01,0,158,214,6,200,29,33,60,64,429,0,24,391,0,634,118,362,0,6,104,0,6,314,0,0,31,15,0,6,9,0,9,0,0,29,0,0,27,415,0,29,860,75,27,0,110,34,0,340,0,73,0
2012-02-01,0,197,242,0,179,19,29,68,70,386,0,24,346,0,678,93,284,0,17,115,0,6,327,0,0,13,13,0,0,15,6,19,0,0,13,5,0,45,629,0,55,1000,150,45,0,123,34,0,357,0,83,0
2012-03-01,0,189,228,0,179,28,26,50,55,343,0,30,382,0,623,100,350,0,27,65,0,27,280,0,0,12,18,0,6,18,6,9,0,0,16,9,0,36,508,0,39,840,103,36,0,130,34,5,318,6,56,0
2012-04-01,0,170,180,9,265,16,15,70,79,500,0,59,419,0,578,113,284,0,25,89,0,37,294,0,0,30,17,6,0,11,6,6,0,0,11,14,0,13,272,6,34,700,27,13,0,42,126,0,322,6,74,0
2012-05-01,0,174,235,12,293,14,20,57,45,472,0,77,401,0,512,86,306,0,25,64,0,45,360,0,6,20,16,0,0,18,6,6,0,0,9,9,0,39,293,6,55,480,24,39,0,38,142,0,322,0,69,5
2012-06-01,0,197,204,9,243,24,12,57,66,565,0,83,491,0,512,137,345,0,41,72,0,69,400,0,8,16,15,0,6,6,6,9,0,7,18,27,0,26,243,0,59,490,11,26,0,26,226,0,409,6,71,8
