date,skype encryption,private twitter account,best anonymous browser,how to delete a snapchat account,how to delete a google account,how to uninstall gmail,how to uninstall youtube,how to unfriend someone on snapchat,skype privacy policy,google hangouts privacy,Twitter privacy policy,uber privacy policy,privacy policy youtube,remove snapchat friends
2011-01-01,53,41,10,0,200,63,193,0,8,0,8,0,13,0
2011-02-01,80,46,6,0,162,78,172,0,8,0,14,0,17,0
2011-03-01,57,82,12,0,173,73,236,0,5,0,10,0,5,0
2011-04-01,61,82,29,0,206,60,193,0,5,0,16,0,16,0
2011-05-01,100,114,15,0,200,58,172,0,5,0,22,0,18,0
2011-06-01,62,146,10,0,228,109,168,0,10,0,21,0,15,0
2011-07-01,59,110,8,0,350,73,183,0,15,0,10,0,10,0
2011-08-01,69,101,7,0,312,74,261,0,5,0,17,0,14,0
2011-09-01,56,87,33,0,350,74,218,0,7,0,26,0,21,0
2011-10-01,49,164,11,0,312,87,204,0,4,0,13,0,18,0
2011-11-01,40,246,11,0,334,127,208,0,4,4,11,0,20,0
2011-12-01,50,123,11,0,306,100,243,0,9,0,11,0,18,0
2012-01-01,58,105,18,0,339,68,208,0,10,0,20,0,64,0
2012-02-01,40,101,13,0,273,63,179,0,8,0,27,4,90,0
2012-03-01,40,146,10,0,239,87,236,0,10,8,28,0,79,0
2012-04-01,46,137,8,0,256,69,236,0,8,0,23,0,35,0
2012-05-01,37,169,12,4,262,79,200,0,10,0,23,0,23,0
2012-06-01,44,155,12,0,306,74,247,0,10,4,12,0,18,0
2012-07-01,47,205,18,7,312,87,254,0,0,0,14,0,18,0
2012-08-01,37,210,16,17,362,86,247,0,6,0,21,0,19,0
2012-09-01,15,173,10,7,300,86,304,0,11,0,29,0,12,4
2012-10-01,35,232,14,24,273,86,293,0,0,4,21,0,26,0
2012-11-01,46,182,16,80,284,82,222,4,7,0,25,4,21,19
2012-12-01,46,269,19,114,328,102,268,5,0,4,25,0,16,32
2013-01-01,48,255,19,60,389,104,211,8,6,3,23,0,11,35
2013-02-01,48,300,14,37,345,84,218,4,11,0,22,0,16,35
2013-03-01,49,282,21,87,284,102,190,5,3,0,21,0,19,54
2013-04-01,39,210,19,117,356,104,225,10,0,3,14,0,23,60
2013-05-01,52,278,13,77,406,102,218,11,6,5,14,0,16,119
2013-06-01,51,341,19,137,417,137,290,16,3,6,19,0,13,166
2013-07-01,47,405,9,124,423,109,297,8,16,11,17,0,17,116
2013-08-01,36,300,20,134,456,102,286,8,3,13,20,0,11,97
2013-09-01,52,310,9,107,389,135,290,6,15,3,20,3,31,125
2013-10-01,42,291,13,124,445,115,308,3,3,3,17,0,20,100
2013-11-01,37,314,15,130,423,112,343,3,4,15,27,6,19,116
2013-12-01,28,378,19,177,523,135,318,7,6,6,18,3,13,150
2014-01-01,36,355,22,240,556,145,350,3,7,7,14,0,15,194
2014-02-01,53,351,14,144,528,123,283,9,3,9,15,3,23,154
2014-03-01,33,455,18,174,473,115,300,4,4,9,30,3,26,172
2014-04-01,27,432,27,160,478,135,293,4,6,8,20,3,24,150
2014-05-01,36,287,6,257,445,104,290,6,7,4,27,0,16,135
2014-06-01,35,296,24,224,450,140,258,3,6,9,24,3,14,113
2014-07-01,37,346,14,194,550,128,358,9,5,5,11,3,14,160
2014-08-01,25,360,18,164,528,133,358,3,3,11,29,3,12,135
2014-09-01,33,314,9,174,462,158,340,4,3,12,31,0,19,129
2014-10-01,38,328,20,220,439,133,336,7,10,7,24,3,17,125
2014-11-01,37,264,30,184,439,122,322,10,6,9,26,7,17,169
2014-12-01,27,319,23,240,462,133,336,4,3,7,20,6,10,172
2015-01-01,24,273,20,334,489,119,318,12,7,9,32,3,28,313
2015-02-01,34,232,17,220,445,119,283,7,9,10,20,6,26,116
2015-03-01,36,223,24,247,445,133,293,8,5,6,23,3,22,72
2015-04-01,25,205,15,217,417,109,300,12,7,3,23,11,25,88
2015-05-01,26,214,21,170,484,123,275,13,3,14,21,13,25,82
2015-06-01,38,232,21,214,478,138,283,12,8,9,24,34,20,85
2015-07-01,29,246,31,267,478,133,358,9,8,8,22,10,12,91
2015-08-01,23,291,36,280,528,164,354,9,5,9,23,8,21,88
2015-09-01,30,251,15,210,473,137,347,14,8,10,34,10,37,91
2015-10-01,29,219,19,174,456,141,300,12,5,5,43,12,30,66
2015-11-01,32,264,36,187,406,119,315,15,0,12,28,6,27,57
2015-12-01,37,232,24,214,467,140,300,10,5,5,30,5,19,88
2016-01-01,28,232,20,247,528,127,283,12,9,9,28,14,21,69
2016-02-01,33,246,12,220,467,115,272,11,5,11,33,5,24,88
2016-03-01,49,232,23,257,450,112,275,16,4,14,22,3,27,94
2016-04-01,49,251,21,260,456,105,247,16,5,3,29,9,31,91
2016-05-01,42,169,21,327,417,112,243,15,8,4,16,9,25,100
2016-06-01,32,169,21,307,445,117,275,13,5,3,28,10,24,82
2016-07-01,38,201,24,320,550,115,283,18,8,9,26,8,25,119
2016-08-01,36,237,29,284,545,120,283,21,3,9,20,7,24,107
2016-09-01,36,187,15,257,489,130,254,16,6,9,36,8,37,72
2016-10-01,41,169,18,290,484,109,293,17,5,10,21,10,23,88
2016-11-01,25,178,24,270,512,135,272,19,6,3,19,15,28,91
2016-12-01,25,210,24,287,528,110,293,17,7,11,27,27,23,94
2017-01-01,21,214,27,287,534,123,272,18,4,3,36,17,21,110
