date,can someone read my text messages from their phone,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,most private browser,best anonymous browser,how to browse anonymously,search without history,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall youtube,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on instagram,how to encrypt emails,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,google hangouts encryption,Encrypt phone calls,how to encrypt text messages
2011-01-01,0,1000,0,0,119,157,286,430,60,0,900,2034,0,0,0,0,0,176,0,59,90,0,176,0,0,0,0,96,0,0,0,59,189,96,0,120,0,0,59,59
2011-02-01,0,1125,0,0,125,184,193,260,0,0,960,1934,0,0,0,0,0,166,0,0,125,0,0,61,0,0,0,142,0,67,0,155,178,142,0,100,0,0,64,62
2011-03-01,0,1000,0,0,75,94,250,330,56,0,820,2334,0,0,0,0,0,166,0,0,93,0,0,0,0,0,0,184,0,0,58,167,145,184,0,70,0,0,57,56
2011-04-01,0,750,0,0,0,277,186,210,61,0,840,1467,0,58,0,0,0,180,0,0,61,0,120,0,0,0,0,159,0,0,58,92,134,159,0,100,0,0,61,120
2011-05-01,0,825,0,0,141,147,172,430,75,0,900,1734,57,115,0,0,0,166,0,0,113,0,0,0,0,0,0,150,0,59,115,130,112,150,0,190,0,0,57,85
2011-06-01,0,1225,0,0,85,154,379,240,58,0,1040,1667,0,58,0,60,0,200,0,0,0,0,58,0,0,0,0,209,60,0,129,263,112,209,60,120,0,59,59,58
2011-07-01,0,1325,0,0,113,150,393,500,0,0,640,2200,57,58,0,0,0,152,58,0,115,0,57,57,0,0,0,96,0,0,58,305,189,96,0,150,0,0,154,58
2011-08-01,0,1050,0,0,72,70,372,230,55,0,1200,2467,163,100,0,0,0,180,0,0,81,56,55,0,0,0,0,217,0,0,0,146,134,217,0,90,0,0,54,72
2011-09-01,0,1225,0,0,107,314,343,460,0,0,840,2100,50,129,0,0,0,176,52,0,142,0,53,0,0,0,0,159,0,0,0,213,234,159,0,140,0,0,54,53
2011-10-01,0,1100,0,0,100,147,358,170,0,0,1240,1867,75,115,0,100,0,345,0,50,50,0,125,0,0,0,0,263,0,50,58,50,178,263,0,150,0,0,203,75
2011-11-01,51,1350,0,0,50,100,208,250,102,0,1240,2001,100,100,0,40,0,100,50,51,68,0,51,0,0,67,0,217,0,50,0,150,189,217,0,200,0,0,103,75
2011-12-01,0,1800,0,0,75,67,272,380,50,0,1080,2234,50,43,0,100,0,132,0,0,75,0,99,0,0,0,0,213,0,0,58,84,112,213,0,150,0,0,76,50
2012-01-01,0,1800,0,50,150,270,393,460,69,0,980,2167,44,86,0,80,0,166,0,0,92,0,46,0,0,100,0,288,0,0,0,105,500,288,0,770,0,0,91,61
2012-02-01,0,1850,0,0,219,187,500,610,63,0,720,1701,119,72,0,80,0,163,0,0,47,0,48,0,0,34,0,405,0,0,43,80,1112,405,0,1000,0,48,96,62
2012-03-01,0,1850,0,0,222,204,400,340,90,0,1040,2234,119,129,0,120,0,149,90,45,179,92,44,0,0,34,0,309,0,0,0,134,656,309,0,890,34,0,91,45
2012-04-01,0,1675,0,92,138,94,479,390,47,0,920,2100,157,72,0,160,0,183,46,0,77,0,93,0,0,134,0,217,0,50,43,371,234,217,0,420,0,46,174,70
2012-05-01,0,1375,0,92,154,100,408,460,44,0,640,1734,219,86,0,260,66,87,0,0,43,44,174,0,0,67,0,300,0,42,0,188,89,300,0,150,0,0,132,66
2012-06-01,0,1650,0,50,91,104,400,570,61,0,1180,1901,332,72,0,540,69,135,0,67,68,44,46,0,0,34,0,209,0,0,43,134,134,209,0,210,0,45,91,135
2012-07-01,0,1525,0,42,88,130,550,670,45,0,1120,2500,132,58,0,660,90,221,0,45,90,0,0,0,0,34,0,163,0,0,0,280,189,163,0,190,0,0,91,45
2012-08-01,0,1875,0,117,147,147,458,520,45,0,1080,2400,294,86,0,580,0,145,0,89,175,44,44,0,0,100,0,246,0,0,43,146,112,246,0,160,34,0,179,45
2012-09-01,0,2050,0,834,100,114,465,530,44,0,900,2767,175,115,0,800,131,145,44,0,74,44,88,0,0,100,0,230,0,42,43,159,156,230,0,150,0,0,88,88
2012-10-01,0,1525,0,575,91,157,393,540,66,0,1200,2500,219,72,0,600,40,183,0,80,79,52,157,40,0,134,0,142,0,126,43,263,178,142,0,210,34,0,108,53
2012-11-01,0,1600,0,409,0,170,436,450,54,0,980,2834,294,115,0,580,79,118,60,40,81,40,60,40,0,67,0,196,41,84,86,226,145,196,41,190,134,0,81,100
2012-12-01,0,1850,0,467,119,210,386,530,81,0,1300,2367,307,86,0,660,40,187,80,40,0,40,162,40,0,3334,0,280,0,59,0,255,189,280,0,170,334,0,81,67
2013-01-01,0,1925,0,467,72,180,486,510,73,0,1220,2234,207,486,0,1120,73,97,72,37,49,36,72,0,0,1001,0,251,0,59,0,180,178,251,0,240,200,37,110,85
2013-02-01,79,2125,0,367,197,157,386,500,60,0,1020,2300,275,372,0,980,40,159,0,40,67,60,99,40,39,300,0,384,0,42,43,238,167,384,0,160,334,0,54,159
2013-03-01,0,1775,0,325,141,187,493,560,72,0,1220,2001,213,672,0,1020,107,142,0,35,84,36,71,83,0,334,0,305,0,75,0,192,156,305,0,260,434,0,164,83
2013-04-01,0,1800,0,251,157,250,458,620,49,0,1100,2234,169,986,37,1100,110,166,0,74,36,36,72,0,39,234,0,321,0,59,72,180,200,321,0,140,667,0,74,108
2013-05-01,0,1400,0,292,107,234,486,440,71,0,1240,2167,332,672,0,860,123,152,36,129,47,60,36,105,39,134,0,175,0,34,43,188,178,175,0,180,1034,0,108,53
2013-06-01,0,1975,0,259,157,214,436,670,85,0,1320,2600,363,372,0,1000,108,169,36,85,61,72,108,214,39,100,0,217,0,92,0,96,178,217,0,200,1400,37,244,72
2013-07-01,0,2225,0,367,141,200,329,760,72,0,1600,2800,357,500,0,1360,131,142,0,96,108,36,71,340,0,200,0,221,0,167,43,130,123,221,0,190,1100,35,108,35
