date,instagram privacy policy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,16,25,0,0,16,3,4,8,14,411,50,0,0,68,24,0,0,153,24,73,0,0,0,8,0,0,37,0,0,6,4,0,0,3,0,6,0,2,0,43,3,0,3,0,307,70,0,0,3,0,133,2,9,3,0,4,0,0,38,0,0,21,2,0
2011-02-01,0,14,31,0,0,17,3,2,9,9,364,60,0,0,56,24,2,0,125,29,70,0,0,0,5,0,0,34,0,0,8,2,0,0,3,0,2,0,0,0,50,3,0,5,0,257,55,0,0,2,0,126,2,6,5,0,5,0,0,32,0,2,26,2,0
2011-03-01,0,22,28,0,0,31,4,5,10,10,311,74,0,0,66,40,0,0,137,25,85,0,0,0,10,0,0,50,0,0,2,2,0,0,2,0,2,0,2,0,58,2,0,5,0,263,69,0,0,2,0,133,5,4,5,0,2,3,0,48,0,4,23,2,0
2011-04-01,0,13,22,0,0,31,2,11,8,12,290,57,0,0,74,33,2,0,123,25,73,0,0,3,13,0,0,53,0,0,8,4,0,0,2,0,4,0,0,0,58,3,0,5,0,238,59,0,0,3,0,126,3,7,5,0,5,0,0,58,0,3,21,2,2
2011-05-01,0,17,31,0,0,43,4,6,8,10,295,58,0,0,78,38,2,0,128,24,66,0,0,0,14,0,0,37,0,0,5,4,0,0,2,0,0,0,0,0,50,5,0,8,0,294,65,2,0,6,0,119,5,5,8,0,6,0,0,73,0,2,31,2,2
2011-06-01,0,25,37,0,0,55,2,4,13,12,327,93,0,0,88,45,2,0,142,35,65,0,0,3,13,0,2,54,0,0,4,0,2,0,4,0,4,0,0,0,43,3,0,6,0,300,54,0,0,6,2,131,6,3,6,0,5,3,0,72,0,3,24,2,0
2011-07-01,0,14,34,0,0,41,4,3,14,14,395,113,0,0,121,70,0,0,175,23,70,0,2,4,10,0,0,60,0,0,3,4,2,2,4,0,0,2,0,0,65,3,0,3,0,263,59,0,0,4,2,105,13,3,3,0,7,3,0,61,0,2,18,6,2
2011-08-01,0,29,48,0,0,38,2,3,11,9,464,108,0,0,111,54,2,0,206,31,91,0,2,2,16,0,0,70,0,0,3,3,0,0,2,0,0,0,0,0,58,2,0,6,0,363,59,0,10,4,2,126,4,4,6,0,5,0,0,66,0,2,24,3,0
2011-09-01,0,67,36,0,0,33,3,12,10,17,411,92,0,2,127,49,0,0,195,26,81,0,2,5,11,0,0,71,0,0,3,0,2,0,3,0,3,0,0,0,50,3,0,7,0,625,74,2,0,3,0,173,3,7,7,0,6,3,0,55,0,2,21,3,0
2011-10-01,0,53,36,0,0,62,3,4,12,10,511,79,0,3,105,75,0,0,148,33,72,0,2,3,17,0,0,54,0,0,5,6,0,2,2,0,2,0,2,0,43,4,0,6,0,450,62,0,0,6,2,170,3,5,6,0,6,3,0,61,0,11,21,3,0
