date,how to encrypt text messages,who can see my snapchat story,most private browser,best anonymous browser,search without history,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Twitter privacy policy,uber privacy policy,How to make tweets private,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt whatsapp
2011-01-01,34,0,52,80,245,0,0,138,0,0,0,102,70,0,0,46,0,102,0,34,0,57,0,46,57,0,71,0,0,367,0
2011-02-01,36,0,61,56,135,0,0,84,0,0,0,144,37,0,0,61,0,36,0,0,0,98,0,37,98,0,95,0,37,473,0
2011-03-01,32,0,64,66,145,0,0,188,0,0,0,44,33,0,0,33,0,32,0,32,0,98,0,32,98,0,30,0,66,400,0
2011-04-01,34,0,35,141,215,0,0,234,0,0,0,138,70,0,0,35,0,69,0,0,0,95,0,55,95,0,83,0,54,373,34
2011-05-01,33,0,66,78,190,0,0,242,0,0,0,87,67,0,0,43,0,0,0,0,0,144,0,101,144,0,100,0,33,556,34
2011-06-01,34,0,33,68,160,0,0,226,0,0,0,79,0,34,0,68,0,67,0,0,0,103,0,105,103,0,89,0,52,428,0
2011-07-01,100,0,66,45,295,0,33,180,0,0,0,55,78,33,33,67,0,0,33,0,0,57,0,69,57,0,118,0,45,323,34
2011-08-01,52,0,42,64,150,0,33,288,0,0,0,48,48,0,0,31,0,0,0,0,0,117,0,64,117,0,95,0,33,428,0
2011-09-01,46,0,61,164,270,0,29,205,0,0,0,61,0,31,0,50,0,62,0,0,0,133,0,51,133,0,100,0,31,378,0
2011-10-01,58,0,57,74,165,0,29,313,0,0,0,97,102,0,29,29,0,29,0,29,0,109,0,110,109,0,106,0,205,367,0
2011-11-01,43,0,30,88,215,0,43,184,0,0,0,77,78,0,29,29,0,29,0,0,0,68,0,60,68,0,124,0,43,273,34
2011-12-01,29,0,73,58,205,0,29,417,0,0,29,48,58,0,0,58,0,48,0,0,0,60,0,96,60,0,112,0,39,262,34
2012-01-01,27,0,114,98,225,0,25,346,0,0,0,79,53,0,0,54,0,36,0,0,0,171,0,169,171,0,395,0,80,395,0
2012-02-01,55,0,82,96,260,0,54,405,0,0,0,108,55,27,0,55,28,37,0,0,0,165,28,169,165,28,589,28,70,273,0
2012-03-01,0,0,121,62,220,0,118,288,0,0,0,77,70,26,52,78,26,27,0,0,0,192,0,255,192,0,565,0,62,278,23
2012-04-01,41,0,68,56,255,0,90,384,0,0,28,197,42,54,27,55,28,27,0,0,0,128,0,155,128,0,230,0,56,278,23
2012-05-01,25,0,50,68,255,0,68,305,0,0,26,75,77,0,0,63,49,176,0,25,0,163,0,178,163,0,153,0,35,228,23
2012-06-01,35,0,38,105,285,0,129,405,0,0,39,61,70,0,26,53,26,27,28,26,0,79,0,178,79,0,112,0,78,312,0
2012-07-01,39,0,69,113,265,0,104,255,0,0,77,102,92,0,0,52,0,51,0,0,27,95,0,210,95,0,112,0,43,317,34
2012-08-01,42,0,76,94,250,28,154,180,0,0,26,67,25,25,0,38,26,39,25,0,0,173,0,196,173,0,171,26,52,289,23
2012-09-01,42,0,42,52,325,23,100,238,0,0,51,75,50,38,0,75,26,25,0,0,27,171,0,273,171,0,95,0,43,167,56
2012-10-01,46,0,76,92,345,0,100,305,0,0,47,85,55,57,23,69,24,81,22,0,0,117,0,155,117,0,148,0,47,217,45
2012-11-01,31,0,35,86,230,0,193,288,0,23,24,69,39,35,0,35,24,36,0,0,24,141,23,273,141,23,136,23,23,317,23
2012-12-01,39,0,92,147,205,60,208,330,0,36,24,38,70,23,23,0,24,46,25,0,24,149,0,219,149,0,106,0,23,262,45
2013-01-01,31,0,56,74,270,41,111,375,0,57,56,69,36,84,21,42,0,22,22,0,0,163,0,455,163,0,106,21,43,295,23
2013-02-01,47,0,78,78,310,23,193,275,0,24,24,53,62,24,69,55,24,46,36,23,0,190,0,291,190,0,106,0,47,317,34
2013-03-01,34,0,69,125,280,41,133,280,0,31,35,97,70,34,21,21,22,55,22,0,0,155,0,364,155,0,159,0,70,317,34
2013-04-01,63,0,106,127,380,23,133,325,21,53,43,63,64,21,21,21,22,57,0,0,0,149,0,319,149,0,118,0,58,289,23
2013-05-01,31,0,61,90,225,32,218,284,0,103,28,55,83,21,42,41,30,22,111,0,20,84,0,319,84,0,118,0,41,373,34
2013-06-01,21,0,138,113,465,41,218,263,0,92,56,83,148,21,42,21,52,83,133,0,0,119,0,319,119,0,77,21,147,356,23
2013-07-01,41,0,123,90,365,82,150,305,0,48,52,144,139,41,55,103,0,41,200,0,20,152,0,423,152,0,100,21,70,362,45
2013-08-01,20,0,149,137,375,69,186,292,0,55,20,116,70,31,82,21,22,22,184,0,20,117,21,437,117,21,100,41,49,239,34
2013-09-01,40,0,73,94,335,60,190,280,0,40,42,93,68,20,21,70,30,41,149,0,20,130,21,369,130,21,253,21,74,317,34
2013-10-01,19,77,57,78,300,101,229,280,0,20,51,83,77,19,20,26,20,32,136,57,20,130,0,187,130,0,124,20,52,228,34
2013-11-01,39,154,109,125,305,69,150,230,0,33,49,91,78,19,104,45,20,46,130,19,20,165,30,264,165,30,118,20,39,273,23
2013-12-01,45,154,116,119,300,91,197,238,19,48,46,65,131,0,46,30,20,39,228,0,20,119,19,341,119,19,89,20,45,234,34
2014-01-01,27,143,73,145,340,82,229,317,19,19,36,59,92,0,60,55,37,36,206,18,0,92,19,337,92,19,148,63,74,228,23
2014-02-01,59,124,59,86,405,87,204,342,21,60,30,118,93,20,47,20,66,34,179,20,31,146,21,300,146,21,159,46,68,362,34
2014-03-01,27,143,59,100,315,46,225,288,17,30,36,106,120,41,77,36,47,48,171,0,20,192,19,337,192,19,136,35,35,200,34
2014-04-01,67,166,99,149,375,37,222,242,24,31,50,67,56,25,61,28,64,55,179,18,39,157,19,332,157,19,153,28,84,167,34
2014-05-01,37,224,135,107,365,264,129,251,43,37,69,130,45,19,38,56,56,32,225,19,20,157,19,296,157,19,100,28,64,206,34
2014-06-01,34,116,63,131,280,132,208,396,34,22,42,102,83,41,55,48,56,34,206,0,0,146,21,410,146,21,100,32,84,262,34
2014-07-01,46,166,94,100,395,78,133,288,39,40,54,99,95,30,27,27,100,39,160,20,39,68,21,278,68,21,95,21,62,223,67
2014-08-01,47,127,68,115,370,60,261,271,28,20,27,81,48,54,81,21,47,27,200,20,62,190,21,346,190,21,83,21,82,156,45
2014-09-01,58,185,173,98,395,82,175,280,29,30,26,83,71,77,58,32,39,39,265,0,31,190,0,328,190,0,106,49,105,200,56
2014-10-01,86,158,116,111,420,73,172,242,46,44,37,50,62,67,43,62,56,55,271,0,20,149,28,287,149,28,118,38,80,256,45
2014-11-01,25,139,82,184,395,101,158,246,31,57,51,150,70,56,56,38,43,76,195,19,58,179,48,319,179,48,130,38,58,256,45
2014-12-01,43,124,142,125,385,87,240,192,38,26,37,110,56,62,56,25,56,74,217,18,39,106,46,300,106,46,83,38,80,178,67
2015-01-01,29,200,82,198,330,441,193,263,63,70,35,104,111,41,64,41,43,64,157,0,20,195,53,228,195,53,153,35,70,195,56
2015-02-01,37,177,87,113,380,260,161,209,31,70,56,75,81,43,69,57,62,44,130,0,0,152,38,128,152,38,171,19,70,223,34
2015-03-01,57,231,85,160,400,114,211,321,60,70,40,67,80,51,51,34,86,46,182,17,16,155,34,114,155,34,142,51,98,223,78
2015-04-01,17,166,138,129,465,173,261,230,46,88,30,126,70,17,36,41,88,36,228,17,0,152,59,164,152,59,148,52,60,162,34
2015-05-01,34,224,85,131,435,114,236,267,85,96,68,91,86,28,93,34,35,23,187,0,70,149,63,164,149,63,159,23,64,200,67
2015-06-01,46,177,97,133,385,110,208,309,46,86,52,108,64,40,57,40,52,64,200,17,27,168,209,110,168,209,142,29,76,228,45
2015-07-01,43,385,125,184,465,246,279,350,80,70,44,97,46,60,52,57,52,60,211,17,16,157,92,146,157,92,100,121,92,206,56
