date,how to delete facebook,how to change facebook privacy settings,youtube private channel,private twitter account,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete gmail,how to delete twitter,how to delete youtube,how to delete snapchat,delete account instagram,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to unfollow someone on facebook,how to unfollow someone on instagram,how to unfriend someone on facebook,Facebook privacy policy,instagram privacy policy,Facebook Privacy settings,Gmail privacy,pokemon go settings,Youtube Privacy,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,how to encrypt whatsapp
2011-01-01,62,0,0,0,4,1,0,0,1,0,9,3,7,0,0,2,0,1,0,0,0,0,0,3,1,0,1,14,0,0,0,0
2011-02-01,57,0,0,0,4,1,0,0,0,0,9,3,6,0,0,2,0,1,0,0,0,1,0,3,1,0,1,11,0,0,0,0
2011-03-01,54,0,0,0,3,1,0,0,1,0,8,3,7,0,0,1,0,1,0,0,0,1,0,3,1,0,2,9,0,0,0,0
2011-04-01,59,0,0,0,3,1,0,0,1,0,9,4,7,0,0,1,0,1,0,0,1,1,0,3,1,0,1,8,0,0,0,0
2011-05-01,60,0,0,0,3,1,0,0,1,0,9,4,7,0,0,1,0,1,0,0,0,1,0,3,1,0,1,8,0,0,1,0
2011-06-01,66,0,0,0,4,1,0,0,1,0,11,5,10,0,0,2,0,1,0,0,1,0,0,3,1,0,1,9,0,0,1,0
2011-07-01,72,0,0,0,4,1,0,0,1,1,12,6,11,0,0,2,0,1,0,0,1,0,0,3,1,0,1,10,0,0,1,0
2011-08-01,88,0,0,0,5,1,0,0,1,1,12,5,11,0,0,2,0,1,0,0,1,1,0,4,1,0,1,9,0,0,1,0
2011-09-01,83,1,0,0,5,1,0,0,1,1,11,4,10,0,0,2,0,1,0,0,1,0,0,7,1,0,2,10,0,0,1,0
2011-10-01,86,1,0,1,5,1,0,0,1,1,11,5,10,0,0,2,0,1,0,0,1,0,0,5,1,0,2,11,0,0,1,0
2011-11-01,91,1,0,1,6,1,0,0,1,1,12,6,10,0,0,2,0,1,0,0,0,1,0,4,1,0,1,10,0,0,1,0
2011-12-01,99,0,1,1,5,1,0,0,1,1,12,7,14,0,1,2,0,1,0,0,1,0,0,4,1,0,2,13,0,0,1,0
2012-01-01,100,0,1,0,6,1,0,0,1,1,12,8,13,0,1,2,0,1,0,0,1,0,0,4,1,0,2,14,0,0,1,0
2012-02-01,99,0,1,1,6,1,0,0,1,1,10,8,11,0,1,2,0,1,0,0,1,1,0,4,2,0,2,13,0,0,1,0
2012-03-01,98,0,1,0,5,1,0,0,1,1,10,8,11,0,1,2,0,1,0,0,1,1,0,3,1,0,2,12,0,0,1,0
2012-04-01,91,0,0,1,4,1,0,0,1,1,11,9,11,0,4,1,0,1,0,0,1,1,0,4,1,0,2,14,0,0,1,0
2012-05-01,84,1,1,1,3,1,0,0,1,1,10,9,11,0,3,1,0,1,0,0,1,1,0,3,1,0,1,14,0,0,1,0
2012-06-01,86,0,0,1,4,1,0,0,1,1,12,10,12,0,4,1,0,1,0,0,1,1,0,4,1,0,1,16,1,0,1,0
2012-07-01,84,0,1,1,5,1,0,0,1,1,13,12,13,0,4,1,0,1,0,0,1,1,0,3,1,0,2,15,1,0,1,0
2012-08-01,89,1,1,1,5,1,0,0,1,2,14,11,13,0,4,1,0,1,0,0,1,0,0,4,1,0,1,14,1,0,1,0
2012-09-01,90,1,1,1,4,1,0,0,1,2,13,10,12,0,4,1,0,1,0,0,1,0,0,6,1,0,1,13,1,0,1,0
2012-10-01,78,1,1,1,3,1,0,0,1,1,12,10,12,0,5,1,0,1,0,0,1,1,0,6,1,0,2,14,1,0,1,0
2012-11-01,72,1,1,1,4,1,0,0,1,1,12,10,12,1,5,1,0,1,0,0,1,1,0,5,1,0,2,11,1,0,1,0
2012-12-01,80,1,1,1,5,1,0,0,1,1,14,12,14,2,9,1,0,1,0,0,0,1,1,5,1,0,2,7,1,0,1,0
2013-01-01,79,1,1,1,4,2,0,1,1,2,14,12,13,2,10,2,0,1,0,0,0,1,0,5,1,0,2,6,1,0,1,0
2013-02-01,71,1,1,1,4,2,0,1,1,2,14,12,13,1,11,1,0,1,0,0,0,1,0,5,1,0,2,6,1,0,1,0
2013-03-01,67,1,1,1,4,1,0,0,1,1,14,11,13,2,7,1,0,1,0,0,1,1,0,6,1,0,2,5,1,0,1,0
2013-04-01,64,0,1,1,4,1,0,1,1,1,14,10,13,3,7,1,0,1,0,0,0,1,0,4,1,0,1,5,1,0,1,0
2013-05-01,60,0,1,1,3,1,0,1,2,1,14,10,13,4,8,1,0,1,0,0,1,1,0,4,1,0,1,5,1,0,1,0
2013-06-01,61,1,1,1,3,1,1,1,2,2,16,11,14,5,11,1,0,1,0,0,1,0,0,3,1,0,1,4,1,1,1,0
2013-07-01,61,1,1,2,4,2,1,1,2,2,16,13,15,5,8,1,0,1,0,0,1,0,0,5,1,0,1,4,1,0,1,0
2013-08-01,62,1,1,1,4,2,0,1,2,1,16,12,15,5,7,1,1,1,0,0,1,0,0,4,2,0,1,4,1,0,1,0
2013-09-01,57,1,1,1,3,1,0,1,2,1,16,11,13,4,7,1,1,1,0,0,1,1,0,4,1,0,1,4,1,0,1,0
2013-10-01,56,1,1,1,3,1,0,1,2,1,16,10,12,9,7,1,0,1,0,0,0,2,0,5,1,0,2,3,1,0,1,0
2013-11-01,53,0,1,1,3,1,1,0,2,1,16,10,12,8,6,1,0,1,0,0,1,0,0,3,1,0,1,3,1,0,1,0
2013-12-01,56,0,1,1,4,1,1,1,2,1,18,11,13,9,7,1,0,1,0,1,1,1,0,3,1,0,2,3,1,1,1,0
2014-01-01,58,1,1,1,4,1,1,1,2,2,20,12,13,13,9,1,1,1,0,0,1,0,0,3,1,0,2,3,1,1,1,0
2014-02-01,54,0,1,1,3,1,1,1,2,2,18,11,12,9,11,1,0,1,0,0,0,1,0,2,1,0,1,3,1,1,1,0
2014-03-01,53,0,1,2,3,1,1,1,2,2,18,12,12,10,9,1,0,1,0,0,0,1,1,2,1,0,1,3,1,1,1,0
2014-04-01,54,0,1,2,3,1,1,1,2,1,18,11,13,11,8,1,0,1,0,1,1,0,0,3,1,0,2,3,1,1,1,0
2014-05-01,53,0,1,1,4,1,1,1,2,1,17,11,12,27,8,1,0,1,0,0,1,1,0,3,1,0,1,3,1,1,1,0
2014-06-01,57,0,0,1,3,1,1,1,2,2,18,11,12,14,12,1,0,1,1,0,1,1,0,2,1,0,1,3,1,0,1,0
2014-07-01,58,0,1,1,3,1,1,1,2,2,19,12,14,12,13,1,0,1,1,0,0,1,0,2,1,0,1,3,2,1,1,0
2014-08-01,63,0,1,1,3,1,1,1,2,2,20,12,15,11,10,3,1,1,0,1,0,1,0,3,1,0,1,3,1,1,1,0
2014-09-01,55,0,1,1,3,1,1,1,2,2,20,11,13,12,8,2,1,1,0,0,0,1,0,2,1,0,1,3,1,0,1,0
2014-10-01,51,0,0,1,3,1,1,1,2,2,18,11,12,12,8,1,1,1,0,0,0,1,0,2,1,0,2,3,1,0,1,0
2014-11-01,50,0,0,1,3,1,1,1,2,2,19,11,13,14,10,1,1,1,0,0,0,1,0,2,1,0,2,3,1,1,1,0
2014-12-01,52,0,1,1,3,1,1,1,2,2,17,12,14,15,12,1,1,1,0,1,0,1,0,3,1,0,1,3,2,1,1,0
2015-01-01,54,0,1,1,4,1,1,1,2,2,18,13,14,18,12,1,0,1,0,1,0,7,0,3,1,0,2,3,2,1,1,0
2015-02-01,51,0,1,1,3,1,1,1,2,2,16,12,12,16,10,1,1,1,0,0,0,1,0,2,1,0,1,3,1,0,1,0
2015-03-01,49,0,1,1,3,1,1,1,2,2,17,12,12,14,10,1,0,1,0,0,0,0,0,2,1,0,1,2,1,0,1,0
