date,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,22,35,0,0,15,3,8,8,19,465,74,0,0,77,23,2,0,155,34,77,0,0,2,3,0,0,29,0,0,3,3,0,2,2,0,2,0,2,0,47,2,0,0,3,0,307,74,0,8,2,137,6,8,3,0,4,0,0,38,0,0,24,0,0
2011-02-01,19,39,0,0,15,6,7,7,9,365,67,0,0,66,33,2,0,161,31,78,0,0,0,6,0,0,43,0,0,8,2,0,0,4,0,2,2,0,0,54,4,0,0,3,0,240,72,2,2,0,129,4,8,3,0,4,0,0,40,0,2,28,2,0
2011-03-01,23,27,0,0,25,6,8,9,15,324,74,0,0,73,45,0,0,152,25,96,0,0,0,7,0,0,58,0,0,5,2,0,0,3,0,3,0,0,0,62,4,0,0,6,0,267,74,0,3,0,135,8,5,6,0,3,3,0,56,0,0,23,0,0
2011-04-01,18,35,0,0,32,2,8,7,9,324,70,0,0,75,43,2,0,125,27,73,0,2,3,12,0,0,47,0,0,6,4,0,0,2,0,3,0,0,0,54,5,0,0,8,0,280,57,0,2,2,148,3,13,8,0,9,0,0,57,0,0,28,2,0
2011-05-01,20,33,0,0,38,5,6,9,14,353,72,0,0,87,43,2,0,140,24,71,0,2,4,15,0,0,40,0,0,7,6,0,0,3,0,3,0,0,0,62,3,0,0,5,0,294,78,0,5,2,122,7,4,5,0,3,0,0,61,0,2,34,2,0
2011-06-01,21,39,0,0,47,5,5,15,9,383,93,0,2,107,53,0,0,164,37,83,0,0,3,13,0,0,59,0,0,6,0,2,0,3,0,2,0,0,0,47,4,3,0,5,0,314,78,0,8,2,124,6,6,5,0,7,3,0,72,0,0,20,0,0
2011-07-01,19,37,0,0,43,3,5,19,12,424,127,0,5,138,73,0,0,200,25,84,0,2,3,14,0,0,67,0,0,3,4,2,0,3,0,2,0,0,0,62,3,3,0,5,0,254,65,0,5,2,119,13,5,5,0,5,3,0,59,0,4,19,2,0
2011-08-01,26,55,0,0,41,4,3,14,15,506,91,0,0,114,78,2,0,213,38,100,0,2,2,16,0,0,70,0,0,4,2,0,0,2,0,2,0,0,0,70,3,0,0,5,0,400,57,0,4,2,114,5,7,5,0,5,0,0,68,0,2,26,4,0
2011-09-01,71,39,0,0,47,4,6,14,17,465,116,0,4,145,55,2,0,222,21,81,0,2,2,14,0,0,75,0,0,2,2,2,0,4,0,3,0,0,0,47,4,0,0,10,0,667,70,2,4,0,179,4,8,10,0,7,3,0,57,0,2,19,4,2
2011-10-01,63,40,0,0,88,4,5,12,11,536,106,0,2,121,78,4,0,170,41,89,0,4,2,14,0,4,58,0,0,7,8,0,2,2,0,4,0,0,0,62,3,3,0,9,0,487,65,2,7,2,169,3,5,9,0,6,5,0,67,0,2,25,4,0
