date,skype privacy policy,who can see my snapchat story,most private browser,how to browse anonymously,search without history,how to delete pokemongo,how to uninstall gmail,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to encrypt emails,best private messaging app,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,skype encryption,how to encrypt text messages
2011-01-01,50,0,67,154,227,0,450,0,0,0,128,0,0,100,0,0,66,0,0,66,0,55,0,0,66,0,33,114,55,0,462,33
2011-02-01,70,0,71,104,137,0,480,0,0,0,80,0,0,95,0,0,35,35,0,58,0,81,0,37,35,0,87,107,81,0,417,35
2011-03-01,52,0,43,135,174,0,410,0,0,0,124,0,0,95,0,0,62,0,0,47,0,105,0,0,31,31,94,87,105,0,373,31
2011-04-01,34,0,0,100,111,0,420,0,0,34,188,0,0,102,0,0,67,0,0,45,0,91,0,0,48,31,52,80,91,0,389,67
2011-05-01,63,0,79,93,227,0,450,0,32,67,204,0,0,95,0,0,31,0,0,53,0,86,0,32,74,62,73,67,86,0,556,47
2011-06-01,0,0,48,204,127,0,520,0,0,34,296,0,0,114,0,0,32,0,0,65,0,120,33,0,96,70,147,67,120,33,345,32
2011-07-01,64,0,64,212,264,0,320,0,32,34,176,0,0,87,32,0,32,32,0,0,0,55,0,0,127,31,170,114,55,0,262,32
2011-08-01,45,0,41,200,122,0,600,0,90,59,240,0,0,102,0,32,30,0,0,31,0,124,0,0,79,0,82,80,124,0,328,40
2011-09-01,79,0,60,185,243,0,420,0,28,75,220,0,0,100,0,0,29,0,0,50,0,91,0,0,48,0,119,140,91,0,412,29
2011-10-01,28,0,57,193,90,0,620,0,42,67,300,0,0,197,0,0,65,0,0,42,0,150,0,28,135,31,28,107,150,0,350,42
2011-11-01,38,0,29,112,132,0,620,0,56,59,184,0,0,57,28,0,28,0,28,29,0,124,0,28,100,0,84,114,124,0,223,42
2011-12-01,42,0,43,147,200,0,540,0,28,25,324,0,0,75,28,0,55,0,0,28,0,122,0,0,161,31,47,67,122,0,228,28
2012-01-01,51,0,85,212,243,0,490,0,25,50,400,0,0,95,0,0,25,0,0,52,0,165,0,0,144,0,59,300,165,0,345,34
2012-02-01,26,0,123,270,322,0,360,0,66,42,376,0,0,93,0,0,26,0,0,70,0,231,0,0,196,24,45,667,231,0,234,35
2012-03-01,100,0,125,216,179,0,520,0,66,75,308,0,0,85,50,52,41,0,0,75,0,177,0,0,157,0,75,394,177,0,356,25
2012-04-01,43,0,78,258,206,0,460,0,87,42,288,0,0,104,0,0,43,0,0,27,0,124,0,28,196,24,207,140,124,0,273,39
2012-05-01,24,0,86,220,243,0,320,0,121,50,232,0,0,50,0,25,98,0,0,49,0,172,0,23,161,0,105,54,172,0,250,37
2012-06-01,38,0,51,216,300,0,590,0,183,42,328,0,0,77,0,25,50,0,0,102,0,120,0,0,183,24,75,80,120,0,328,76
2012-07-01,50,0,50,297,353,0,560,0,73,34,188,0,0,126,0,0,0,0,0,42,0,93,0,0,205,0,156,114,93,0,312,25
2012-08-01,98,0,83,247,274,0,540,27,163,50,192,0,0,83,25,25,33,0,0,38,0,141,0,0,196,24,82,67,141,0,245,25
2012-09-01,41,0,57,250,279,0,450,27,97,67,216,0,0,83,24,25,49,0,0,61,0,131,0,23,209,24,89,94,131,0,184,49
2012-10-01,44,0,51,212,285,0,600,0,121,42,276,0,0,104,22,29,88,22,0,66,0,81,0,69,218,24,147,107,81,0,217,29
2012-11-01,45,0,0,235,237,0,490,0,163,67,336,0,0,67,34,23,37,22,0,45,0,112,23,46,227,47,126,87,112,23,312,56
2012-12-01,0,0,67,208,279,0,650,66,169,50,308,0,45,106,56,23,56,22,0,23,0,160,0,32,266,0,142,114,160,0,262,37
2013-01-01,27,0,41,262,269,0,610,40,114,284,296,0,35,55,81,20,30,0,0,48,0,143,0,32,396,0,100,107,143,0,395,47
