date,best anonymous browser,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,most private browser,how to browse anonymously,search without history,how to uninstall gmail,how to uninstall snapchat,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Privacy policy Pokemon Go,uber privacy policy,private instagram posts,How to make tweets private
2011-01-01,67,170,272,0,0,25,68,154,274,0,22,0,0,0,0,22,22,0,17,17,0,17,0,17,0,0,0,0,68
2011-02-01,53,147,308,0,0,47,54,72,253,0,49,0,0,0,0,65,18,0,0,35,0,18,18,0,0,0,0,17,18
2011-03-01,64,177,215,0,0,48,76,118,206,0,59,0,0,0,0,37,16,0,0,27,0,24,0,0,0,0,0,0,20
2011-04-01,63,139,272,0,0,17,58,75,222,0,98,0,0,0,0,51,28,0,0,17,0,26,0,0,0,0,0,0,18
2011-05-01,48,154,258,0,0,40,72,113,195,0,125,0,0,0,0,54,48,0,0,21,0,24,0,0,0,0,0,0,38
2011-06-01,39,162,308,0,0,41,117,72,300,0,105,0,0,0,0,44,0,17,0,25,0,17,0,0,0,0,0,0,65
2011-07-01,41,147,286,0,0,25,149,101,206,0,110,0,0,0,0,25,33,16,0,25,0,16,0,0,0,0,0,0,43
2011-08-01,23,200,422,0,0,31,109,118,311,0,130,0,0,0,0,36,15,0,0,15,0,15,0,0,0,0,0,0,30
2011-09-01,50,547,300,0,0,35,113,136,174,0,118,0,0,0,0,15,20,15,0,35,0,22,0,0,0,0,0,16,30
2011-10-01,43,485,315,0,0,33,96,93,337,0,115,0,28,0,0,57,65,0,14,14,0,29,0,0,0,0,0,16,58
2011-11-01,21,400,308,0,0,14,49,116,316,0,96,0,17,0,0,29,21,14,0,33,0,0,0,14,0,0,0,14,43
2011-12-01,33,416,529,0,0,28,76,106,348,0,200,0,28,0,0,33,28,0,0,28,0,35,0,0,0,0,0,0,65
2012-01-01,69,316,443,0,14,61,127,136,253,0,220,0,12,0,0,65,32,0,13,17,0,19,0,0,0,0,0,0,60
2012-02-01,60,393,500,0,0,40,145,149,200,0,244,0,12,0,0,27,27,0,0,27,14,40,0,0,0,0,0,0,115
2012-03-01,55,377,472,0,0,59,109,116,216,0,137,0,56,0,0,25,38,0,13,51,14,19,0,0,0,0,0,0,80
2012-04-01,31,339,372,0,20,33,149,167,243,0,188,0,78,0,0,62,35,13,0,18,14,13,0,0,0,0,0,14,70
2012-05-01,41,347,486,0,25,29,121,95,185,0,135,0,95,0,12,41,33,0,0,37,12,12,0,0,0,0,0,14,115
2012-06-01,26,393,422,0,20,52,123,139,295,0,152,0,145,0,17,34,32,0,13,17,14,19,0,0,13,0,0,0,123
2012-07-01,47,293,450,0,14,38,121,111,248,0,86,0,128,0,25,42,57,0,0,21,0,13,0,0,0,0,0,0,130
2012-08-01,33,539,508,0,45,29,115,106,285,0,127,0,167,0,12,42,17,12,13,31,12,21,13,0,0,0,0,0,108
2012-09-01,25,770,572,0,193,21,123,154,232,0,113,0,150,0,19,37,25,25,0,29,19,25,0,0,0,0,0,0,115
2012-10-01,30,770,393,0,164,30,135,172,322,0,125,0,212,0,11,34,28,17,17,11,23,19,0,0,0,0,0,23,128
2012-11-01,57,500,472,0,139,17,109,147,300,0,142,0,167,11,17,38,27,11,11,11,0,11,0,11,0,0,11,23,113
2012-12-01,46,539,486,0,120,53,117,118,306,35,181,0,212,11,23,42,46,17,11,0,12,23,11,0,11,0,0,0,140
2013-01-01,45,462,579,0,125,31,113,124,332,21,154,0,328,14,28,59,26,36,10,24,11,10,11,0,0,0,0,14,173
2013-02-01,54,470,558,0,81,34,105,159,243,0,127,0,295,11,11,57,38,12,12,27,23,29,13,0,11,0,0,0,130
2013-03-01,58,385,550,0,97,27,105,142,306,10,159,0,273,20,27,27,31,10,10,34,11,30,21,0,0,0,0,17,145
2013-04-01,72,331,536,0,35,34,152,177,316,10,113,0,356,16,28,41,21,10,16,21,11,21,11,0,0,0,10,21,155
2013-05-01,68,354,429,0,99,51,103,131,343,17,149,0,256,61,17,34,37,10,41,20,11,10,34,0,0,0,0,10,178
2013-06-01,42,408,486,0,74,41,143,175,390,17,130,0,295,48,24,41,76,0,45,10,18,21,63,0,0,0,0,16,165
2013-07-01,51,416,565,0,110,48,105,175,400,35,154,0,378,34,20,44,54,26,24,56,16,20,92,0,0,0,0,48,250
2013-08-01,58,354,715,0,112,74,113,206,411,31,120,0,450,20,17,68,30,10,24,17,15,10,61,10,11,0,0,70,188
2013-09-01,56,347,565,0,81,40,98,172,448,45,130,20,350,10,13,46,45,10,10,35,20,10,94,0,11,0,10,93,180
2013-10-01,53,416,500,47,49,31,80,157,332,45,122,9,250,9,19,56,25,14,22,14,10,28,57,0,9,0,0,82,103
2013-11-01,74,316,472,52,52,48,111,185,390,49,125,0,273,13,14,35,34,10,32,22,14,26,78,19,11,0,10,80,108
2013-12-01,58,331,572,71,74,73,121,167,422,28,130,10,389,24,48,26,29,10,29,10,15,24,99,0,9,0,10,89,130
