date,whatsapp security settings,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,how to delete a snapchat account,how to delete a instagram account,government monitoring social media,how to delete pokemongo,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on instagram,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,facebook app privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages
2011-01-01,0,165,250,0,0,113,30,40,71,0,0,15,0,610,0,0,0,0,0,45,30,0,15,22,30,0,0,0,0,25,0,0,30,15,25,0,31,0,15,203,15
2011-02-01,0,172,282,0,0,100,31,47,48,0,0,0,0,580,0,0,0,0,0,42,0,0,0,31,16,16,0,0,0,37,0,17,16,39,37,0,26,0,16,183,16
2011-03-01,0,150,250,0,0,175,19,24,62,0,0,14,0,700,0,0,0,0,0,43,14,0,0,24,28,0,0,0,0,47,0,0,14,43,47,0,18,0,14,164,14
2011-04-01,0,72,188,0,0,213,0,71,46,0,0,15,0,440,0,0,0,0,0,45,23,0,0,15,30,0,0,0,0,41,0,0,22,24,41,0,26,0,15,171,30
2011-05-01,0,115,207,0,0,275,36,38,43,0,0,19,0,520,0,15,0,0,0,43,29,0,0,28,14,0,0,0,0,39,0,15,34,33,39,0,49,0,14,244,21
2011-06-01,0,172,307,0,0,313,22,39,93,0,0,15,0,500,0,0,16,0,0,51,15,0,0,0,15,0,0,0,0,54,15,0,44,67,54,15,31,15,15,152,15
2011-07-01,0,172,332,0,0,275,29,38,97,0,12,0,0,660,0,15,0,0,0,39,24,14,0,29,14,15,0,0,0,25,0,0,58,77,25,0,39,0,39,115,14
2011-08-01,14,179,263,0,0,275,18,18,92,0,12,14,0,740,0,42,0,0,0,46,18,0,0,21,14,0,0,0,0,56,0,0,36,37,56,0,24,0,14,144,18
2011-09-01,0,515,307,0,0,275,27,80,85,0,12,0,0,630,0,13,0,0,0,45,20,0,0,36,13,0,0,0,0,41,0,0,22,54,41,0,36,0,13,181,13
2011-10-01,0,515,275,0,0,538,25,38,88,0,12,0,0,560,0,20,27,0,0,88,30,0,13,13,29,0,0,0,0,68,0,13,62,13,68,0,39,0,51,154,19
2011-11-01,0,408,338,0,0,625,13,25,51,0,12,25,0,600,0,26,11,0,0,26,32,13,13,17,13,0,0,17,0,56,0,13,46,38,56,0,52,0,26,98,19
2011-12-01,0,372,450,0,0,450,19,17,67,0,23,13,0,670,0,13,27,0,0,33,21,12,0,19,25,0,0,0,0,55,0,0,74,22,55,0,39,0,19,100,13
2012-01-01,0,308,450,0,13,325,38,69,97,0,45,17,0,650,0,12,22,0,0,42,19,0,0,23,12,0,0,25,0,74,0,0,66,27,74,0,198,0,23,152,15
2012-02-01,0,393,463,0,0,275,55,47,123,0,56,16,0,510,0,31,22,0,0,42,18,0,0,12,12,0,0,9,0,104,0,0,90,20,104,0,257,12,24,103,16
2012-03-01,23,315,463,0,0,313,56,53,99,0,45,23,0,670,0,31,32,0,0,38,26,23,11,45,19,0,0,9,0,79,0,0,72,34,79,0,229,0,23,157,11
2012-04-01,0,365,419,0,23,363,35,23,118,0,112,12,0,630,0,40,43,0,0,47,20,0,0,20,20,0,0,34,0,56,0,13,90,94,56,0,108,12,43,120,18
2012-05-01,11,315,344,0,23,463,39,26,100,10,112,11,0,520,0,56,69,0,17,22,30,0,0,11,44,0,0,17,0,77,0,11,74,48,77,0,39,0,33,110,17
2012-06-01,11,358,413,0,13,425,23,27,99,10,134,15,0,570,0,85,143,0,17,34,27,0,17,17,23,0,0,9,0,54,0,0,84,34,54,0,54,11,23,144,34
2012-07-01,0,308,382,0,11,575,22,34,136,37,189,11,0,750,0,34,174,0,22,56,40,0,11,22,0,0,0,9,0,42,0,0,94,71,42,0,49,0,22,137,11
