date,skype privacy policy,how to change instagram privacy settings,most private browser,best anonymous browser,how to browse anonymously,government monitoring social media,how to delete pokemongo,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,best private messaging app,google hangouts privacy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,gmail privacy issues,Privacy policy Pokemon Go,uber privacy policy,How to make tweets private,Uber privacy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,50,0,67,89,154,33,0,0,0,0,0,0,0,100,0,33,0,66,0,0,66,0,0,66,0,114,55,0,67,0,462,33,0
2011-02-01,70,0,71,104,104,0,0,0,0,0,0,0,0,95,0,0,0,35,35,0,58,0,0,35,0,107,81,0,56,0,417,35,0
2011-03-01,52,0,43,53,135,31,0,0,0,0,0,0,0,95,0,0,0,62,0,0,47,0,0,31,31,87,105,0,39,0,373,31,0
2011-04-01,34,0,0,157,100,34,0,0,0,34,0,0,0,102,0,0,0,67,0,0,45,0,0,48,31,80,91,0,56,0,389,67,0
2011-05-01,63,0,79,84,93,42,0,0,32,67,0,0,0,95,0,0,0,31,0,0,53,0,0,74,62,67,86,0,106,0,556,47,30
2011-06-01,0,0,48,87,204,32,0,0,0,34,0,0,0,114,0,0,0,32,0,0,65,0,33,96,70,67,120,33,67,33,345,32,0
2011-07-01,64,0,64,85,212,0,0,0,32,34,0,0,0,87,32,0,0,32,32,0,0,0,0,127,31,114,55,0,84,0,262,32,30
2011-08-01,45,0,41,40,200,30,0,0,90,59,0,0,0,102,0,0,32,30,0,0,31,0,0,79,0,80,124,0,50,0,328,40,0
2011-09-01,79,0,60,178,185,0,0,0,28,75,0,0,0,100,29,0,0,29,0,0,50,0,0,48,0,140,91,0,78,0,412,29,30
2011-10-01,28,0,57,84,193,0,0,0,42,67,0,0,0,197,0,28,0,65,0,0,42,0,0,135,31,107,150,0,84,0,350,42,0
2011-11-01,38,0,29,57,112,56,0,0,56,59,0,0,0,57,28,28,0,28,0,0,29,0,0,100,0,114,124,0,112,0,223,42,40
2011-12-01,42,0,43,38,147,28,0,0,28,25,0,0,0,75,0,0,0,55,0,0,28,0,0,161,31,67,122,0,84,0,228,28,0
2012-01-01,51,28,85,153,212,39,0,0,25,50,0,0,0,95,0,0,0,25,0,0,52,0,0,144,0,300,165,0,428,0,345,34,30
2012-02-01,26,0,123,106,270,35,0,0,66,42,0,0,0,93,0,0,0,26,0,0,70,0,0,196,24,667,231,0,556,26,234,35,0
2012-03-01,100,0,125,116,216,50,0,0,66,75,0,0,0,85,50,25,52,41,0,0,75,0,0,157,0,394,177,0,495,0,356,25,30
2012-04-01,43,51,78,53,258,26,0,0,87,42,0,0,0,104,26,0,0,43,0,0,27,0,0,196,24,140,124,0,234,26,273,39,0
2012-05-01,24,51,86,57,220,24,0,0,121,50,0,0,36,50,0,0,25,98,0,0,49,0,0,161,0,54,172,0,84,0,250,37,0
2012-06-01,38,28,51,59,216,34,0,0,183,42,0,0,38,77,0,38,25,50,0,0,102,0,0,183,24,80,120,0,117,25,328,76,0
2012-07-01,50,23,50,74,297,25,0,0,73,34,0,0,50,126,0,25,0,0,0,0,42,0,0,205,0,114,93,0,106,0,312,25,40
2012-08-01,98,64,83,84,247,25,0,27,163,50,0,0,0,83,25,49,25,33,0,0,38,0,0,196,24,67,141,0,89,0,245,25,50
2012-09-01,41,455,57,65,250,24,0,27,97,67,0,0,73,83,24,0,25,49,0,0,61,0,0,209,24,94,131,0,84,0,184,49,40
2012-10-01,44,314,51,89,212,37,0,0,121,42,0,0,22,104,22,44,29,88,22,0,66,0,0,218,24,107,81,0,117,0,217,29,30
2012-11-01,45,223,0,97,235,30,0,0,163,67,0,0,44,67,33,22,23,37,22,0,45,0,23,227,47,87,112,23,106,0,312,56,50
2012-12-01,0,255,67,119,208,45,0,66,169,50,0,45,22,106,45,23,23,56,22,0,23,0,0,266,0,114,160,0,95,0,262,37,20
2013-01-01,27,255,41,102,262,40,0,40,114,284,0,35,40,55,61,20,20,30,0,0,48,0,0,396,0,107,143,0,134,20,395,47,20
2013-02-01,37,201,111,89,208,33,0,22,152,217,0,23,22,91,0,22,34,45,22,22,67,0,0,261,24,100,220,0,89,0,345,89,30
2013-03-01,47,178,79,106,266,40,0,31,118,392,0,20,60,81,20,20,20,40,47,0,47,0,0,309,0,94,174,0,145,0,339,47,20
2013-04-01,20,137,88,142,247,27,0,40,94,575,20,48,61,95,41,41,20,34,0,22,34,0,0,279,39,120,184,0,78,0,284,61,20
2013-05-01,26,160,60,133,262,39,0,35,183,392,0,112,69,87,20,72,34,20,59,22,50,0,0,305,24,107,100,0,100,0,378,30,20
2013-06-01,34,141,88,121,235,47,0,53,200,217,0,115,61,97,20,47,40,40,120,22,31,0,0,353,0,107,124,0,112,20,439,40,30
2013-07-01,60,201,79,114,177,40,0,79,197,292,0,54,73,81,79,53,20,40,191,0,69,0,0,418,24,74,127,0,106,20,373,20,30
2013-08-01,53,123,86,119,270,39,0,66,228,625,0,33,20,134,20,53,29,20,137,22,66,0,20,331,24,160,93,20,100,20,250,20,40
2013-09-01,39,201,58,142,250,39,0,70,211,442,39,20,26,99,19,19,34,49,174,0,39,0,20,331,31,67,146,20,156,19,278,26,20
2013-10-01,18,119,62,110,189,24,0,74,218,192,0,18,24,69,28,0,38,18,152,18,74,0,0,161,16,114,136,0,117,19,245,28,30
